"","gene_id","source","gene_version","gene_name","gene_biotype","phase"
"ENSMUSG00000000001","ENSMUSG00000000001","ensembl_havana","4","Gnai3","protein_coding",NA
"ENSMUSG00000000003","ENSMUSG00000000003","ensembl_havana","15","Pbsn","protein_coding",NA
"ENSMUSG00000000028","ENSMUSG00000000028","ensembl_havana","14","Cdc45","protein_coding",NA
"ENSMUSG00000000031","ENSMUSG00000000031","ensembl_havana","15","H19","lincRNA",NA
"ENSMUSG00000000037","ENSMUSG00000000037","ensembl_havana","16","Scml2","protein_coding",NA
"ENSMUSG00000000049","ENSMUSG00000000049","ensembl_havana","11","Apoh","protein_coding",NA
"ENSMUSG00000000056","ENSMUSG00000000056","ensembl_havana","7","Narf","protein_coding",NA
"ENSMUSG00000000058","ENSMUSG00000000058","ensembl_havana","6","Cav2","protein_coding",NA
"ENSMUSG00000000078","ENSMUSG00000000078","ensembl","6","Klf6","protein_coding",NA
"ENSMUSG00000000085","ENSMUSG00000000085","ensembl_havana","16","Scmh1","protein_coding",NA
"ENSMUSG00000000088","ENSMUSG00000000088","ensembl","6","Cox5a","protein_coding",NA
"ENSMUSG00000000093","ENSMUSG00000000093","ensembl_havana","6","Tbx2","protein_coding",NA
"ENSMUSG00000000094","ENSMUSG00000000094","ensembl_havana","12","Tbx4","protein_coding",NA
"ENSMUSG00000000103","ENSMUSG00000000103","ensembl_havana","12","Zfy2","protein_coding",NA
"ENSMUSG00000000120","ENSMUSG00000000120","ensembl_havana","6","Ngfr","protein_coding",NA
"ENSMUSG00000000125","ENSMUSG00000000125","ensembl_havana","5","Wnt3","protein_coding",NA
"ENSMUSG00000000126","ENSMUSG00000000126","ensembl_havana","11","Wnt9a","protein_coding",NA
"ENSMUSG00000000127","ENSMUSG00000000127","ensembl","14","Fer","protein_coding",NA
"ENSMUSG00000000131","ENSMUSG00000000131","ensembl_havana","15","Xpo6","protein_coding",NA
"ENSMUSG00000000134","ENSMUSG00000000134","ensembl_havana","17","Tfe3","protein_coding",NA
"ENSMUSG00000000142","ENSMUSG00000000142","ensembl_havana","15","Axin2","protein_coding",NA
"ENSMUSG00000000148","ENSMUSG00000000148","ensembl_havana","17","Brat1","protein_coding",NA
"ENSMUSG00000000149","ENSMUSG00000000149","ensembl_havana","10","Gna12","protein_coding",NA
"ENSMUSG00000000154","ENSMUSG00000000154","ensembl_havana","16","Slc22a18","protein_coding",NA
"ENSMUSG00000000157","ENSMUSG00000000157","ensembl_havana","15","Itgb2l","protein_coding",NA
"ENSMUSG00000000159","ENSMUSG00000000159","ensembl_havana","15","Igsf5","protein_coding",NA
"ENSMUSG00000000167","ENSMUSG00000000167","ensembl_havana","14","Pih1d2","protein_coding",NA
"ENSMUSG00000000168","ENSMUSG00000000168","ensembl_havana","9","Dlat","protein_coding",NA
