"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"BIOCARTA_SALMONELLA_PATHWAY",13,0.846153846153846,0,"Down",0.001,0.0120545454545455,"ENSMUSG00000031972, ENSMUSG00000079426, ENSMUSG00000008475, ENSMUSG00000029621, ENSMUSG00000020152, ENSMUSG00000026341, ENSMUSG00000029622, ENSMUSG00000006304, ENSMUSG00000001847, ENSMUSG00000006699","Acta1, Arpc4, Arpc5, Arpc1a, Actr2, Actr3, Arpc1b, Arpc2, Rac1, Cdc42"
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",13,0,0.692307692307692,"Up",0.001,0.0120545454545455,"ENSMUSG00000028957, ENSMUSG00000030103, ENSMUSG00000020889, ENSMUSG00000068742, ENSMUSG00000020893, ENSMUSG00000055116","Per3, Bhlhe40, Nr1d1, Cry2, Per1, Arntl"
"REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS",13,0.0769230769230769,0.692307692307692,"Up",0.001,0.0120545454545455,"ENSMUSG00000033400, ENSMUSG00000034055, ENSMUSG00000031295, ENSMUSG00000036879, ENSMUSG00000025537, ENSMUSG00000033059","Agl, Phka1, Phka2, Phkb, Phkg1, Pygb"
"PID_CIRCADIAN_PATHWAY",15,0.0666666666666667,0.666666666666667,"Up",0.001,0.0120545454545455,"ENSMUSG00000032409, ENSMUSG00000055116, ENSMUSG00000030103, ENSMUSG00000068742, ENSMUSG00000020889, ENSMUSG00000020893","Atr, Arntl, Bhlhe40, Cry2, Nr1d1, Per1"
"BIOCARTA_MPR_PATHWAY",33,0.606060606060606,0.0606060606060606,"Down",0.001,0.0120545454545455,"ENSMUSG00000025499, ENSMUSG00000010505, ENSMUSG00000031972, ENSMUSG00000057614, ENSMUSG00000028656, ENSMUSG00000032171, ENSMUSG00000005034, ENSMUSG00000027523, ENSMUSG00000079426, ENSMUSG00000008475, ENSMUSG00000029621, ENSMUSG00000029064, ENSMUSG00000020152, ENSMUSG00000020612, ENSMUSG00000026341, ENSMUSG00000029622, ENSMUSG00000025855, ENSMUSG00000063065, ENSMUSG00000006304, ENSMUSG00000003644","Hras, Myt1, Acta1, Gnai1, Cap1, Pin1, Prkacb, Gnas, Arpc4, Arpc5, Arpc1a, Gnb1, Actr2, Prkar1a, Actr3, Arpc1b, Prkar1b, Mapk3, Arpc2, Rps6ka1"
"REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA",20,0.6,0.05,"Down",0.001,0.0120545454545455,"ENSMUSG00000051177, ENSMUSG00000029064, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000021303, ENSMUSG00000048240, ENSMUSG00000038607, ENSMUSG00000038811, ENSMUSG00000025739, ENSMUSG00000040061, ENSMUSG00000043004, ENSMUSG00000027669","Plcb1, Gnb1, Gnb2, Gng3, Gng4, Gng7, Gng10, Gngt2, Gng13, Plcb2, Gng2, Gnb4"
"REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION",22,0.0454545454545455,0.590909090909091,"Up",0.001,0.0120545454545455,"ENSMUSG00000055116, ENSMUSG00000022383, ENSMUSG00000032238, ENSMUSG00000020538, ENSMUSG00000027630, ENSMUSG00000020889","Arntl, Ppara, Rora, Srebf1, Tbl1xr1, Nr1d1"
"REACTOME_ADP_SIGNALLING_THROUGH_P2RY12",21,0.571428571428571,0.0476190476190476,"Down",0.001,0.0120545454545455,"ENSMUSG00000057614, ENSMUSG00000029064, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000021303, ENSMUSG00000048240, ENSMUSG00000038607, ENSMUSG00000038811, ENSMUSG00000025739, ENSMUSG00000043004, ENSMUSG00000027669, ENSMUSG00000036353","Gnai1, Gnb1, Gnb2, Gng3, Gng4, Gng7, Gng10, Gngt2, Gng13, Gng2, Gnb4, P2ry12"
"BIOCARTA_ACTINY_PATHWAY",20,0.55,0.05,"Down",0.001,0.0120545454545455,"ENSMUSG00000031972, ENSMUSG00000079426, ENSMUSG00000027566, ENSMUSG00000008475, ENSMUSG00000029621, ENSMUSG00000020152, ENSMUSG00000026341, ENSMUSG00000029622, ENSMUSG00000006304, ENSMUSG00000001847","Acta1, Arpc4, Psma7, Arpc5, Arpc1a, Actr2, Actr3, Arpc1b, Arpc2, Rac1"
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING",13,0.538461538461538,0,"Down",0.001,0.0120545454545455,"ENSMUSG00000022841, ENSMUSG00000008036, ENSMUSG00000028478, ENSMUSG00000002957, ENSMUSG00000035152, ENSMUSG00000026825, ENSMUSG00000027859","Ap2m1, Ap2s1, Clta, Ap2a2, Ap2b1, Dnm1, Ngf"
