"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_NEGATIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION",12,0.0833333333333333,0.666666666666667,"Up",0.001,0.0323125
"GO_ENAMEL_MINERALIZATION",10,0,0.6,"Up",0.001,0.0323125
"GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING",17,0.0588235294117647,0.588235294117647,"Up",0.001,0.0323125
"GO_TOOTH_MINERALIZATION",12,0,0.583333333333333,"Up",0.001,0.0323125
"GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS",9,0,0.555555555555556,"Up",0.001,0.0323125
"GO_VENTRAL_SPINAL_CORD_INTERNEURON_SPECIFICATION",11,0,0.545454545454545,"Up",0.001,0.0323125
"GO_CELL_FATE_SPECIFICATION_INVOLVED_IN_PATTERN_SPECIFICATION",11,0,0.545454545454545,"Up",0.001,0.0323125
"GO_CELLULAR_RESPONSE_TO_STEROL",14,0,0.5,"Up",0.001,0.0323125
"GO_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",14,0.0714285714285714,0.5,"Up",0.001,0.0323125
"GO_CELLULAR_RESPONSE_TO_CHOLESTEROL",12,0,0.5,"Up",0.001,0.0323125
"GO_NEGATIVE_REGULATION_OF_GLYCOLYTIC_PROCESS",10,0.1,0.5,"Up",0.001,0.0323125
"GO_NEGATIVE_REGULATION_OF_COENZYME_METABOLIC_PROCESS",10,0.1,0.5,"Up",0.001,0.0323125
"GO_NEGATIVE_REGULATION_OF_COFACTOR_METABOLIC_PROCESS",10,0.1,0.5,"Up",0.001,0.0323125
"GO_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY",62,0.032258064516129,0.483870967741935,"Up",0.001,0.0323125
"GO_PROSTATE_GLAND_MORPHOGENESIS",23,0.0869565217391304,0.478260869565217,"Up",0.001,0.0323125
"GO_POLYSACCHARIDE_CATABOLIC_PROCESS",21,0.0476190476190476,0.476190476190476,"Up",0.001,0.0323125
"GO_CARNITINE_METABOLIC_PROCESS",13,0,0.461538461538462,"Up",0.001,0.0323125
"GO_POSITIVE_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY",35,0.457142857142857,0.0857142857142857,"Down",0.001,0.0323125
"GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH",11,0.181818181818182,0.454545454545455,"Up",0.001,0.0323125
"GO_LYSINE_METABOLIC_PROCESS",11,0,0.454545454545455,"Up",0.001,0.0323125
"GO_HYDROGEN_ION_TRANSMEMBRANE_TRANSPORT",95,0.452631578947368,0.0526315789473684,"Down",0.001,0.0323125
"GO_ATP_HYDROLYSIS_COUPLED_TRANSMEMBRANE_TRANSPORT",36,0.444444444444444,0.111111111111111,"Down",0.001,0.0323125
"GO_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING",16,0.125,0.4375,"Up",0.001,0.0323125
"GO_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS",28,0.107142857142857,0.428571428571429,"Up",0.001,0.0323125
"GO_GLYCOGEN_BIOSYNTHETIC_PROCESS",24,0.208333333333333,0.416666666666667,"Up",0.001,0.0323125
