"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_NEGATIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION",12,0.0833333333333333,0.666666666666667,"Up",0.001,0.0323125,"ENSMUSG00000079516, ENSMUSG00000021469, ENSMUSG00000022510, ENSMUSG00000029687, ENSMUSG00000026923","Reg3a, Msx2, Trp63, Ezh2, Notch1"
"GO_ENAMEL_MINERALIZATION",10,0,0.6,"Up",0.001,0.0323125,"ENSMUSG00000021469, ENSMUSG00000022383, ENSMUSG00000044976, ENSMUSG00000020614","Msx2, Ppara, Wdr72, Fam20a"
"GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING",17,0.0588235294117647,0.588235294117647,"Up",0.001,0.0323125,"ENSMUSG00000037335, ENSMUSG00000022383, ENSMUSG00000021469, ENSMUSG00000019789, ENSMUSG00000047034","Hand1, Ppara, Msx2, Hey2, Ankrd33"
"GO_TOOTH_MINERALIZATION",12,0,0.583333333333333,"Up",0.001,0.0323125,"ENSMUSG00000022383, ENSMUSG00000028766, ENSMUSG00000021469, ENSMUSG00000020614, ENSMUSG00000044976","Ppara, Alpl, Msx2, Fam20a, Wdr72"
"GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS",9,0,0.555555555555556,"Up",0.001,0.0323125,"ENSMUSG00000033717, ENSMUSG00000026923, ENSMUSG00000021071, ENSMUSG00000000838","Adra2a, Notch1, Trim9, Fmr1"
"GO_VENTRAL_SPINAL_CORD_INTERNEURON_SPECIFICATION",11,0,0.545454545454545,"Up",0.001,0.0323125,"ENSMUSG00000048402, ENSMUSG00000021318, ENSMUSG00000025231, ENSMUSG00000027168","Gli2, Gli3, Sufu, Pax6"
"GO_CELL_FATE_SPECIFICATION_INVOLVED_IN_PATTERN_SPECIFICATION",11,0,0.545454545454545,"Up",0.001,0.0323125,"ENSMUSG00000048402, ENSMUSG00000021318, ENSMUSG00000025231, ENSMUSG00000027168","Gli2, Gli3, Sufu, Pax6"
"GO_CELLULAR_RESPONSE_TO_STEROL",14,0,0.5,"Up",0.001,0.0323125,"ENSMUSG00000032238, ENSMUSG00000021466, ENSMUSG00000030201, ENSMUSG00000001761, ENSMUSG00000021340, ENSMUSG00000035805","Rora, Ptch1, Lrp6, Smo, Gpld1, Mlc1"
"GO_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",14,0.0714285714285714,0.5,"Up",0.001,0.0323125,"ENSMUSG00000028341, ENSMUSG00000055782, ENSMUSG00000038894, ENSMUSG00000022383, ENSMUSG00000004056","Nr4a3, Abcd2, Irs2, Ppara, Akt2"
"GO_CELLULAR_RESPONSE_TO_CHOLESTEROL",12,0,0.5,"Up",0.001,0.0323125,"ENSMUSG00000021466, ENSMUSG00000001761, ENSMUSG00000021340, ENSMUSG00000030201, ENSMUSG00000035805","Ptch1, Smo, Gpld1, Lrp6, Mlc1"
