"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_BLOC_1_COMPLEX",8,0.75,0,"Down",0.001,0.0322777777777778
"GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_CATALYTIC_DOMAIN",16,0.6875,0.0625,"Down",0.001,0.0322777777777778
"GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX",45,0.622222222222222,0.0222222222222222,"Down",0.001,0.0322777777777778
"GO_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE_MEMBRANE",12,0.416666666666667,0,"Down",0.001,0.0322777777777778
"GO_CLATHRIN_COAT_OF_TRANS_GOLGI_NETWORK_VESICLE",10,0.4,0,"Down",0.001,0.0322777777777778
"GO_RECYCLING_ENDOSOME_MEMBRANE",38,0.315789473684211,0.0263157894736842,"Down",0.001,0.0322777777777778
"GO_SNARE_COMPLEX",50,0.3,0.02,"Down",0.001,0.0322777777777778
"GO_RECYCLING_ENDOSOME",114,0.271929824561404,0.114035087719298,"Down",0.001,0.0322777777777778
"GO_MEMBRANE_PROTEIN_COMPLEX",937,0.259338313767343,0.109925293489861,"Down",0.001,0.0322777777777778
"GO_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX",20,0.75,0,"Down",0.002,0.0581
"GO_METHYLOSOME",12,0.666666666666667,0,"Down",0.002,0.0581
"GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_PROTON_TRANSPORTING_DOMAIN",20,0.55,0,"Down",0.002,0.0581
"GO_CELL_PROJECTION_CYTOPLASM",47,0.361702127659574,0.0425531914893617,"Down",0.002,0.0581
"GO_TELOMERASE_HOLOENZYME_COMPLEX",19,0.315789473684211,0.157894736842105,"Down",0.002,0.0581
"GO_GOLGI_APPARATUS_PART",814,0.178132678132678,0.113022113022113,"Down",0.002,0.0581
"GO_CLATHRIN_VESICLE_COAT",22,0.454545454545455,0.0909090909090909,"Down",0.003,0.0764473684210526
"GO_AXON_CYTOPLASM",28,0.285714285714286,0,"Down",0.003,0.0764473684210526
"GO_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE",25,0.28,0.08,"Down",0.003,0.0764473684210526
"GO_EARLY_ENDOSOME_MEMBRANE",97,0.216494845360825,0.144329896907216,"Down",0.003,0.0764473684210526
"GO_CLATHRIN_COAT",45,0.288888888888889,0.155555555555556,"Down",0.004,0.0884130434782609
"GO_CLATHRIN_COATED_VESICLE_MEMBRANE",70,0.285714285714286,0.1,"Down",0.004,0.0884130434782609
"GO_COATED_MEMBRANE",79,0.227848101265823,0.10126582278481,"Down",0.004,0.0884130434782609
"GO_COATED_VESICLE_MEMBRANE",120,0.216666666666667,0.075,"Down",0.004,0.0884130434782609
"GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX",26,0.576923076923077,0,"Down",0.005,0.093375
"GO_DENDRITE_CYTOPLASM",16,0.5625,0.0625,"Down",0.005,0.093375
"GO_U2_SNRNP",18,0.444444444444444,0,"Down",0.005,0.093375
"GO_U5_SNRNP",16,0.4375,0,"Down",0.005,0.093375
"GO_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_OUTER_MEMBRANE",21,0.428571428571429,0.142857142857143,"Down",0.005,0.093375
"GO_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX",23,0.521739130434783,0,"Down",0.006,0.099859375
"GO_CILIARY_BASE",21,0.285714285714286,0.333333333333333,"Up",0.006,0.099859375
"GO_PROTEIN_LIPID_COMPLEX",35,0.0571428571428571,0.228571428571429,"Up",0.006,0.099859375
"GO_VESICLE_MEMBRANE",479,0.204592901878914,0.104384133611691,"Down",0.006,0.099859375
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",22,0,0.227272727272727,"Up",0.007,0.1079
"GO_TRANSPORT_VESICLE",310,0.225806451612903,0.0967741935483871,"Down",0.007,0.1079
"GO_HOST",11,0,0.181818181818182,"Up",0.007,0.1079
"GO_U4_U6_X_U5_TRI_SNRNP_COMPLEX",21,0.619047619047619,0,"Down",0.008,0.114671052631579
"GO_U12_TYPE_SPLICEOSOMAL_COMPLEX",25,0.44,0,"Down",0.008,0.114671052631579
"GO_ENDOLYSOSOME",15,0.4,0.0666666666666667,"Down",0.008,0.114671052631579
"GO_ENDOLYSOSOME_MEMBRANE",11,0.454545454545455,0.0909090909090909,"Down",0.009,0.122655555555556
"GO_INVADOPODIUM",11,0.272727272727273,0.0909090909090909,"Down",0.009,0.122655555555556
"GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",96,0.625,0.0104166666666667,"Down",0.01,0.122655555555556
"GO_PRECATALYTIC_SPLICEOSOME",21,0.476190476190476,0.0952380952380952,"Down",0.01,0.122655555555556
"GO_MYELIN_SHEATH",165,0.363636363636364,0.0787878787878788,"Down",0.01,0.122655555555556
"GO_HISTONE_DEACETYLASE_COMPLEX",57,0.087719298245614,0.210526315789474,"Up",0.01,0.122655555555556
"GO_GOLGI_MEMBRANE",643,0.188180404354588,0.105754276827372,"Down",0.01,0.122655555555556
"GO_ESCRT_III_COMPLEX",9,0.777777777777778,0,"Down",0.011,0.129797872340426
"GO_EXTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE",25,0.08,0,"Down",0.011,0.129797872340426
"GO_PROTEASOME_CORE_COMPLEX",20,0.55,0,"Down",0.012,0.136357142857143
"GO_ORGANELLE_SUBCOMPARTMENT",283,0.162544169611307,0.0989399293286219,"Down",0.012,0.136357142857143
"GO_NADH_DEHYDROGENASE_COMPLEX",41,0.731707317073171,0,"Down",0.013,0.137605263157895
"GO_MITOCHONDRIAL_MEMBRANE_PART",152,0.5,0.0592105263157895,"Down",0.013,0.137605263157895
"GO_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O_",10,0.7,0,"Down",0.014,0.137605263157895
"GO_RESPIRATORY_CHAIN",73,0.589041095890411,0.0136986301369863,"Down",0.014,0.137605263157895
"GO_TRANSPORT_VESICLE_MEMBRANE",133,0.255639097744361,0.0601503759398496,"Down",0.014,0.137605263157895
"GO_ENDOSOME",719,0.218358831710709,0.108484005563282,"Down",0.014,0.137605263157895
"GO_CLATHRIN_COATED_VESICLE",143,0.202797202797203,0.104895104895105,"Down",0.014,0.137605263157895
"GO_INTEGRATOR_COMPLEX",11,0,0.181818181818182,"Up",0.014,0.137605263157895
"GO_ARP2_3_PROTEIN_COMPLEX",10,0.9,0.1,"Down",0.015,0.14278813559322
"GO_SPERM_MIDPIECE",12,0.166666666666667,0.333333333333333,"Up",0.015,0.14278813559322
"GO_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX",14,0.428571428571429,0,"Down",0.016,0.1497890625
"GO_SMALL_RIBOSOMAL_SUBUNIT",60,0.65,0,"Down",0.017,0.1497890625
"GO_MITOCHONDRIAL_PROTEIN_COMPLEX",124,0.564516129032258,0.0403225806451613,"Down",0.017,0.1497890625
"GO_HEMOGLOBIN_COMPLEX",7,0.428571428571429,0,"Down",0.017,0.1497890625
"GO_RETROMER_COMPLEX",20,0.4,0,"Down",0.017,0.1497890625
"GO_VACUOLAR_MEMBRANE",531,0.239171374764595,0.0828625235404896,"Down",0.019,0.165361538461538
"GO_ENDOSOMAL_PART",384,0.244791666666667,0.0963541666666667,"Down",0.021,0.177768656716418
"GO_INTRINSIC_COMPONENT_OF_GOLGI_MEMBRANE",51,0.215686274509804,0.0588235294117647,"Down",0.021,0.177768656716418
"GO_CLATHRIN_COAT_OF_COATED_PIT",16,0.5625,0.125,"Down",0.022,0.17845
"GO_CYTOSOLIC_PART",187,0.438502673796791,0.0427807486631016,"Down",0.022,0.17845
"GO_VESICLE_COAT",43,0.27906976744186,0.0465116279069767,"Down",0.022,0.17845
"GO_ESCRT_COMPLEX",21,0.523809523809524,0,"Down",0.024,0.189631944444444
"GO_CYTOPLASMIC_VESICLE_PART",555,0.198198198198198,0.115315315315315,"Down",0.024,0.189631944444444
"GO_RIBOSOME",197,0.487309644670051,0.0456852791878173,"Down",0.025,0.192358108108108
"GO_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX",59,0.338983050847458,0.101694915254237,"Down",0.025,0.192358108108108
"GO_PHOSPHATASE_COMPLEX",41,0.219512195121951,0.0487804878048781,"Down",0.026,0.194892405063291
"GO_INTRACELLULAR_VESICLE",1173,0.183290707587383,0.119352088661552,"Down",0.026,0.194892405063291
"GO_RIBOSOMAL_SUBUNIT",140,0.578571428571429,0,"Down",0.027,0.194892405063291
"GO_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_MEMBRANE",42,0.333333333333333,0.142857142857143,"Down",0.027,0.194892405063291
"GO_CHROMOCENTER",13,0,0.230769230769231,"Up",0.027,0.194892405063291
"GO_PRC1_COMPLEX",12,0,0.0833333333333333,"Up",0.028,0.19971875
"GO_CYTOSOLIC_RIBOSOME",93,0.67741935483871,0.021505376344086,"Down",0.031,0.2075
"GO_LARGE_RIBOSOMAL_SUBUNIT",80,0.525,0,"Down",0.031,0.2075
"GO_BLOC_COMPLEX",13,0.461538461538462,0,"Down",0.031,0.2075
"GO_HETEROTRIMERIC_G_PROTEIN_COMPLEX",32,0.3125,0.1875,"Down",0.031,0.2075
"GO_CORTICAL_ACTIN_CYTOSKELETON",56,0.232142857142857,0.0892857142857143,"Down",0.031,0.2075
"GO_TRANSLATION_PREINITIATION_COMPLEX",15,0.6,0,"Down",0.032,0.2075
"GO_CLATHRIN_COAT_OF_ENDOCYTIC_VESICLE",12,0.583333333333333,0.166666666666667,"Down",0.032,0.2075
"GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT",37,0.810810810810811,0,"Down",0.033,0.2075
"GO_PROTEASOME_ACCESSORY_COMPLEX",23,0.260869565217391,0,"Down",0.033,0.2075
"GO_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE",96,0.208333333333333,0.114583333333333,"Down",0.033,0.2075
"GO_TRANS_GOLGI_NETWORK",175,0.182857142857143,0.0914285714285714,"Down",0.033,0.2075
"GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE",12,0.0833333333333333,0.25,"Up",0.034,0.208338383838384
"GO_CATION_TRANSPORTING_ATPASE_COMPLEX",16,0.1875,0.375,"Up",0.035,0.208338383838384
"GO_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX",36,0.277777777777778,0.111111111111111,"Down",0.035,0.208338383838384
"GO_NUCLEAR_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX",15,0,0.133333333333333,"Up",0.035,0.208338383838384
"GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT",48,0.666666666666667,0,"Down",0.036,0.208338383838384
"GO_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX",15,0.6,0,"Down",0.036,0.208338383838384
"GO_PROTEASOME_COMPLEX",74,0.283783783783784,0.0405405405405405,"Down",0.036,0.208338383838384
"GO_TRANS_GOLGI_NETWORK_MEMBRANE",69,0.202898550724638,0.0869565217391304,"Down",0.036,0.208338383838384
"GO_COATED_VESICLE",212,0.183962264150943,0.0990566037735849,"Down",0.037,0.212065
"GO_CLATHRIN_ADAPTOR_COMPLEX",27,0.333333333333333,0.111111111111111,"Down",0.039,0.215081730769231
