"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_BLOC_1_COMPLEX",8,0.75,0,"Down",0.001,0.0322777777777778,"ENSMUSG00000009894, ENSMUSG00000027273, ENSMUSG00000057506, ENSMUSG00000057531, ENSMUSG00000057667","Snap47, Snap25, Bloc1s2, Dtnbp1, Bloc1s3"
"GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_CATALYTIC_DOMAIN",16,0.6875,0.0625,"Down",0.001,0.0322777777777778,"ENSMUSG00000016252, ENSMUSG00000019210, ENSMUSG00000025428, ENSMUSG00000052459, ENSMUSG00000033793, ENSMUSG00000025781, ENSMUSG00000004285, ENSMUSG00000003072, ENSMUSG00000006273, ENSMUSG00000020566","Atp5e, Atp6v1e1, Atp5a1, Atp6v1a, Atp6v1h, Atp5c1, Atp6v1f, Atp5d, Atp6v1b2, Atp6v1c2"
"GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX",45,0.622222222222222,0.0222222222222222,"Down",0.001,0.0322777777777778,"ENSMUSG00000038717, ENSMUSG00000020566, ENSMUSG00000038600, ENSMUSG00000024121, ENSMUSG00000006057, ENSMUSG00000034566, ENSMUSG00000052459, ENSMUSG00000022956, ENSMUSG00000013160, ENSMUSG00000003072, ENSMUSG00000021114, ENSMUSG00000071528, ENSMUSG00000006273, ENSMUSG00000016252, ENSMUSG00000038690, ENSMUSG00000021290, ENSMUSG00000033793, ENSMUSG00000050856, ENSMUSG00000025428, ENSMUSG00000022890, ENSMUSG00000054428, ENSMUSG00000025781, ENSMUSG00000004285, ENSMUSG00000039105, ENSMUSG00000019210","Atp5l, Atp6v1c2, Atp6v0a4, Atp6v0c, Atp5g1, Atp5h, Atp6v1a, Atp5o, Atp6v0d1, Atp5d, Atp6v1d, Usmg5, Atp6v1b2, Atp5e, Atp5j2, 2010107E04Rik, Atp6v1h, Atp5k, Atp5a1, Atp5j, Atpif1, Atp5c1, Atp6v1f, Atp6v1g1, Atp6v1e1"
"GO_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE_MEMBRANE",12,0.416666666666667,0,"Down",0.001,0.0322777777777778,"ENSMUSG00000053310, ENSMUSG00000047547, ENSMUSG00000004849, ENSMUSG00000037295, ENSMUSG00000028478","Nrgn, Cltb, Ap1s1, Ldlrap1, Clta"
"GO_CLATHRIN_COAT_OF_TRANS_GOLGI_NETWORK_VESICLE",10,0.4,0,"Down",0.001,0.0322777777777778,"ENSMUSG00000004849, ENSMUSG00000037295, ENSMUSG00000028478, ENSMUSG00000047547","Ap1s1, Ldlrap1, Clta, Cltb"
"GO_RECYCLING_ENDOSOME_MEMBRANE",38,0.315789473684211,0.0263157894736842,"Down",0.001,0.0322777777777778,"ENSMUSG00000063354, ENSMUSG00000027293, ENSMUSG00000005125, ENSMUSG00000003037, ENSMUSG00000021687, ENSMUSG00000016664, ENSMUSG00000004771, ENSMUSG00000024772, ENSMUSG00000024065, ENSMUSG00000001588","Slc39a4, Ehd4, Ndrg1, Rab8a, Scamp1, Pacsin2, Rab11a, Ehd1, Ehd3, Acap1"
"GO_SNARE_COMPLEX",50,0.3,0.02,"Down",0.001,0.0322777777777778,"ENSMUSG00000020848, ENSMUSG00000035864, ENSMUSG00000019998, ENSMUSG00000033615, ENSMUSG00000022765, ENSMUSG00000026470, ENSMUSG00000007207, ENSMUSG00000041488, ENSMUSG00000004626, ENSMUSG00000027273, ENSMUSG00000009894, ENSMUSG00000021124, ENSMUSG00000020946","Doc2b, Syt1, Stx7, Cplx1, Snap29, Stx6, Stx1a, Stx3, Stxbp2, Snap25, Snap47, Vti1b, Gosr2"
"GO_RECYCLING_ENDOSOME",114,0.271929824561404,0.114035087719298,"Down",0.001,0.0322777777777778,"ENSMUSG00000051355, ENSMUSG00000057506, ENSMUSG00000037295, ENSMUSG00000029192, ENSMUSG00000005125, ENSMUSG00000024030, ENSMUSG00000006058, ENSMUSG00000017288, ENSMUSG00000063354, ENSMUSG00000019478, ENSMUSG00000019998, ENSMUSG00000004771, ENSMUSG00000024772, ENSMUSG00000029757, ENSMUSG00000027293, ENSMUSG00000001588, ENSMUSG00000072235, ENSMUSG00000024065, ENSMUSG00000021124, ENSMUSG00000027546, ENSMUSG00000028557, ENSMUSG00000032554, ENSMUSG00000016664, ENSMUSG00000003037, ENSMUSG00000021687, ENSMUSG00000041301","Commd1, Bloc1s2, Ldlrap1, Tbc1d14, Ndrg1, Abcg1, Snf8, Vps53, Slc39a4, Rab4a, Stx7, Rab11a, Ehd1, Dync1i1, Ehd4, Acap1, Tuba1a, Ehd3, Vti1b, Atp9a, Rnf11, Trf, Pacsin2, Rab8a, Scamp1, Cftr"
"GO_MEMBRANE_PROTEIN_COMPLEX",937,0.259338313767343,0.109925293489861,"Down",0.001,0.0322777777777778,"ENSMUSG00000049281, ENSMUSG00000000088, ENSMUSG00000043004, ENSMUSG00000027273, ENSMUSG00000021124, ENSMUSG00000004113, ENSMUSG00000004843, ENSMUSG00000056966, ENSMUSG00000047547, ENSMUSG00000022765, ENSMUSG00000020848, ENSMUSG00000027358, ENSMUSG00000071658, ENSMUSG00000033793, ENSMUSG00000014294, ENSMUSG00000025739, ENSMUSG00000021764, ENSMUSG00000009894, ENSMUSG00000002416, ENSMUSG00000022769, ENSMUSG00000014609, ENSMUSG00000074575, ENSMUSG00000033938, ENSMUSG00000025221, ENSMUSG00000002957, ENSMUSG00000001281, ENSMUSG00000053317, ENSMUSG00000033916, ENSMUSG00000035354, ENSMUSG00000030786, ENSMUSG00000035864, ENSMUSG00000031628, ENSMUSG00000031343, ENSMUSG00000019998, ENSMUSG00000033161, ENSMUSG00000021606, ENSMUSG00000035152, ENSMUSG00000038811, ENSMUSG00000035885, ENSMUSG00000066189, ENSMUSG00000052459, ENSMUSG00000028998, ENSMUSG00000037295, ENSMUSG00000024873, ENSMUSG00000070304, ENSMUSG00000032239, ENSMUSG00000028964, ENSMUSG00000027523, ENSMUSG00000041697, ENSMUSG00000028931, ENSMUSG00000037152, ENSMUSG00000050321, ENSMUSG00000021303, ENSMUSG00000020843, ENSMUSG00000022354, ENSMUSG00000048240, ENSMUSG00000058715, ENSMUSG00000026032, ENSMUSG00000031913, ENSMUSG00000034533, ENSMUSG00000022416, ENSMUSG00000021917, ENSMUSG00000028062, ENSMUSG00000036526, ENSMUSG00000026895, ENSMUSG00000019210, ENSMUSG00000048920, ENSMUSG00000057614, ENSMUSG00000059456, ENSMUSG00000020331, ENSMUSG00000030086, ENSMUSG00000025889, ENSMUSG00000022427, ENSMUSG00000032017, ENSMUSG00000006057, ENSMUSG00000026824, ENSMUSG00000057182, ENSMUSG00000024610, ENSMUSG00000001552, ENSMUSG00000022890, ENSMUSG00000008036, ENSMUSG00000038607, ENSMUSG00000059734, ENSMUSG00000020566, ENSMUSG00000038600, ENSMUSG00000000399, ENSMUSG00000035674, ENSMUSG00000004530, ENSMUSG00000034566, ENSMUSG00000039936, ENSMUSG00000022450, ENSMUSG00000054934, ENSMUSG00000032554, ENSMUSG00000029632, ENSMUSG00000041301, ENSMUSG00000050856, ENSMUSG00000040048, ENSMUSG00000053024, ENSMUSG00000027673, ENSMUSG00000022841, ENSMUSG00000025139, ENSMUSG00000035722, ENSMUSG00000038717, ENSMUSG00000040907, ENSMUSG00000014402, ENSMUSG00000038115, ENSMUSG00000007207, ENSMUSG00000017167, ENSMUSG00000093904, ENSMUSG00000021457, ENSMUSG00000023923, ENSMUSG00000019146, ENSMUSG00000047976, ENSMUSG00000033615, ENSMUSG00000029462, ENSMUSG00000041881, ENSMUSG00000004285, ENSMUSG00000022820, ENSMUSG00000020436, ENSMUSG00000004849, ENSMUSG00000037610, ENSMUSG00000026447, ENSMUSG00000020946, ENSMUSG00000025892, ENSMUSG00000022956, ENSMUSG00000029054, ENSMUSG00000041488, ENSMUSG00000005469, ENSMUSG00000031988, ENSMUSG00000052572, ENSMUSG00000053550, ENSMUSG00000033475, ENSMUSG00000000743, ENSMUSG00000016252, ENSMUSG00000022342, ENSMUSG00000063801, ENSMUSG00000028648, ENSMUSG00000002771, ENSMUSG00000017412, ENSMUSG00000027748, ENSMUSG00000071715, ENSMUSG00000038690, ENSMUSG00000028478, ENSMUSG00000025428, ENSMUSG00000010803, ENSMUSG00000026825, ENSMUSG00000018126, ENSMUSG00000020689, ENSMUSG00000034190, ENSMUSG00000002379, ENSMUSG00000016346, ENSMUSG00000024121, ENSMUSG00000021114, ENSMUSG00000026198, ENSMUSG00000021326, ENSMUSG00000021290, ENSMUSG00000041695, ENSMUSG00000025781, ENSMUSG00000064329, ENSMUSG00000030785, ENSMUSG00000026470, ENSMUSG00000026786, ENSMUSG00000031696, ENSMUSG00000004626, ENSMUSG00000029064, ENSMUSG00000059923, ENSMUSG00000024099, ENSMUSG00000006273, ENSMUSG00000071528, ENSMUSG00000050963, ENSMUSG00000039105, ENSMUSG00000019194, ENSMUSG00000044216, ENSMUSG00000071014, ENSMUSG00000025909, ENSMUSG00000003072, ENSMUSG00000013160, ENSMUSG00000024038, ENSMUSG00000030789, ENSMUSG00000050830, ENSMUSG00000031818, ENSMUSG00000036438, ENSMUSG00000030647, ENSMUSG00000016427, ENSMUSG00000049760, ENSMUSG00000036199, ENSMUSG00000054428, ENSMUSG00000006058, ENSMUSG00000034656, ENSMUSG00000008892, ENSMUSG00000009863","Scn3b, Cox5a, Gng2, Snap25, Vti1b, Cacna1b, Chmp2b, Gjc3, Cltb, Snap29, Doc2b, Bmp2, Gng3, Atp6v1h, Ndufa2, Gng13, Ndufs4, Snap47, Ndufb2, Sdf2l1, Chrne, Kcng1, Ndufb7, Kcnip2, Ap2a2, Itgb7, Sec61b, Chmp2a, Uvrag, Itgam, Syt1, Casp3, Gabra3, Stx7, Atp1a1, Ndufs6, Ap2b1, Gngt2, Cox8a, Cacng3, Atp6v1a, Tomm7, Ldlrap1, Cnih2, Scn2b, Rp9, Park7, Gnas, Cox6a1, Kcnab2, Ndufc1, Neto1, Gng4, Timm22, Ndufb9, Gng7, Fcer1g, Ndufb3, Vps4a, Scn10a, Cacna1i, Spcs1, Lamtor2, Card11, Ndufa8, Atp6v1e1, Fkrp, Gnai1, Ptk2b, Hcn2, Chchd6, Snca, Tomm22, Grik4, Atp5g1, Kcnj3, Scn3a, Cd74, Jup, Atp5j, Ap2s1, Gng10, Ndufs8, Atp6v1c2, Atp6v0a4, Ndufa9, Ndufa3, Coro1c, Atp5h, Pik3cd, Ndufa6, Kcnmb4, Trf, Ndufa4, Cftr, Atp5k, Ndufb10, Cntn2, Ndufb5, Ap2m1, Tollip, Abca7, Atp5l, Atp1a3, Tsg101, Ano2, Stx1a, Cntnap1, Tomm20, Syk, Tbc1d5, Cacng2, Kcna1, Cplx1, Vps29, Ndufa7, Atp6v1f, Ndufb4, Gabrg2, Ap1s1, Kcnmb2, Pik3c2b, Gosr2, Gria4, Atp5o, Gabrd, Stx3, Prkaca, Vps26b, Dlg2, Shisa7, Tomm6, Chmp1a, Atp5e, Kcnv1, Ap3s2, Ndufs5, Grin2d, Cacnb4, Trpc4, Ncf4, Atp5j2, Clta, Atp5a1, Gabra1, Dnm1, Baiap2l2, Itgb3, Chmp7, Ndufa11, Kcnq2, Atp6v0c, Atp6v1d, Abcb6, Trim27, 2010107E04Rik, Kcnj2, Atp5c1, Scn1a, Cox6a2, Stx6, Apbb1ip, Vps35, Stxbp2, Gnb1, Grb2, Ndufv2, Atp6v1b2, Usmg5, Kcns2, Atp6v1g1, Scn1b, Kcnj4, Ndufb6, Sntg1, Atp5d, Atp6v0d1, Ndufv3, Itgax, Vwc2, Cox4i1, Calm2, Ndufc2, Ndufa1, 2410015M20Rik, Ndufa13, Atpif1, Snf8, Cacna1a, Vdac3, Sdhb"
"GO_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX",20,0.75,0,"Down",0.002,0.0581,"ENSMUSG00000016252, ENSMUSG00000050856, ENSMUSG00000022956, ENSMUSG00000022890, ENSMUSG00000025428, ENSMUSG00000034566, ENSMUSG00000025781, ENSMUSG00000054428, ENSMUSG00000003072, ENSMUSG00000038690, ENSMUSG00000006057, ENSMUSG00000038717, ENSMUSG00000021290, ENSMUSG00000071528","Atp5e, Atp5k, Atp5o, Atp5j, Atp5a1, Atp5h, Atp5c1, Atpif1, Atp5d, Atp5j2, Atp5g1, Atp5l, 2010107E04Rik, Usmg5"
