"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_GDP_DISSOCIATION_INHIBITOR_ACTIVITY",11,0.636363636363636,0,"Down",0.001,0.0210681818181818
"GO_WNT_ACTIVATED_RECEPTOR_ACTIVITY",21,0,0.523809523809524,"Up",0.001,0.0210681818181818
"GO_PROTEIN_BINDING_INVOLVED_IN_PROTEIN_FOLDING",11,0.454545454545455,0,"Down",0.001,0.0210681818181818
"GO_HYDROGEN_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",91,0.43956043956044,0.043956043956044,"Down",0.001,0.0210681818181818
"GO_FAD_BINDING",14,0.0714285714285714,0.428571428571429,"Up",0.001,0.0210681818181818
"GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY",27,0.407407407407407,0,"Down",0.001,0.0210681818181818
"GO_POLYPEPTIDE_N_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY",15,0.4,0.0666666666666667,"Down",0.001,0.0210681818181818
"GO_FK506_BINDING",18,0.388888888888889,0.0555555555555556,"Down",0.001,0.0210681818181818
"GO_MACROLIDE_BINDING",18,0.388888888888889,0.0555555555555556,"Down",0.001,0.0210681818181818
"GO_DEATH_RECEPTOR_BINDING",16,0.375,0.0625,"Down",0.001,0.0210681818181818
"GO_CHLORIDE_CHANNEL_REGULATOR_ACTIVITY",15,0.333333333333333,0.0666666666666667,"Down",0.001,0.0210681818181818
"GO_PEPTIDYL_PROLINE_DIOXYGENASE_ACTIVITY",9,0.111111111111111,0.333333333333333,"Up",0.001,0.0210681818181818
"GO_ACTIN_MONOMER_BINDING",22,0.318181818181818,0,"Down",0.001,0.0210681818181818
"GO_ATPASE_ACTIVITY_COUPLED_TO_MOVEMENT_OF_SUBSTANCES",116,0.310344827586207,0.120689655172414,"Down",0.001,0.0210681818181818
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_2_OXOGLUTARATE_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_EACH_OF_OXYGEN_INTO_BOTH_DONORS",38,0.0789473684210526,0.289473684210526,"Up",0.001,0.0210681818181818
"GO_FLAVIN_ADENINE_DINUCLEOTIDE_BINDING",72,0.0416666666666667,0.277777777777778,"Up",0.001,0.0210681818181818
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN",29,0,0.275862068965517,"Up",0.001,0.0210681818181818
"GO_RNA_POLYMERASE_II_REPRESSING_TRANSCRIPTION_FACTOR_BINDING",27,0,0.259259259259259,"Up",0.001,0.0210681818181818
"GO_SIGNAL_SEQUENCE_BINDING",35,0.257142857142857,0.0285714285714286,"Down",0.001,0.0210681818181818
"GO_GTPASE_ACTIVITY",222,0.252252252252252,0.0990990990990991,"Down",0.001,0.0210681818181818
"GO_ADENYLYLTRANSFERASE_ACTIVITY",23,0,0.217391304347826,"Up",0.001,0.0210681818181818
"GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY",19,0.105263157894737,0,"Down",0.001,0.0210681818181818
"GO_PROTON_TRANSPORTING_ATP_SYNTHASE_ACTIVITY_ROTATIONAL_MECHANISM",10,0.7,0,"Down",0.002,0.0448548387096774
"GO_PHOSPHOLIPID_TRANSLOCATING_ATPASE_ACTIVITY",16,0.3125,0.0625,"Down",0.002,0.0448548387096774
"GO_ACID_THIOL_LIGASE_ACTIVITY",18,0,0.277777777777778,"Up",0.002,0.0448548387096774
"GO_RIBOSOMAL_SMALL_SUBUNIT_BINDING",11,0.272727272727273,0,"Down",0.002,0.0448548387096774
"GO_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS",38,0.131578947368421,0.263157894736842,"Up",0.002,0.0448548387096774
"GO_L_ASCORBIC_ACID_BINDING",17,0.0588235294117647,0.235294117647059,"Up",0.002,0.0448548387096774
"GO_GDP_BINDING",49,0.204081632653061,0.0612244897959184,"Down",0.002,0.0448548387096774
"GO_REPRESSING_TRANSCRIPTION_FACTOR_BINDING",55,0.0727272727272727,0.2,"Up",0.002,0.0448548387096774
"GO_GUANYL_NUCLEOTIDE_BINDING",353,0.195467422096317,0.107648725212465,"Down",0.002,0.0448548387096774
"GO_CATION_TRANSPORTING_ATPASE_ACTIVITY",58,0.396551724137931,0.120689655172414,"Down",0.003,0.0594230769230769
"GO_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",68,0.352941176470588,0.132352941176471,"Down",0.003,0.0594230769230769
"GO_PHOSPHATIDIC_ACID_BINDING",12,0.333333333333333,0.166666666666667,"Down",0.003,0.0594230769230769
"GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_KINASE_ACTIVITY",15,0.266666666666667,0.0666666666666667,"Down",0.003,0.0594230769230769
"GO_PHOSPHOLIPID_TRANSPORTER_ACTIVITY",43,0.255813953488372,0.116279069767442,"Down",0.003,0.0594230769230769
"GO_DIOXYGENASE_ACTIVITY",78,0.128205128205128,0.205128205128205,"Up",0.003,0.0594230769230769
"GO_PROTEIN_DEACETYLASE_ACTIVITY",41,0.0731707317073171,0.146341463414634,"Up",0.003,0.0594230769230769
"GO_OXIDIZED_NAD_BINDING",13,0.0769230769230769,0.0769230769230769,"Up",0.003,0.0594230769230769
"GO_TRANSCRIPTION_COACTIVATOR_BINDING",10,0,0.5,"Up",0.004,0.075453488372093
"GO_MYOSIN_V_BINDING",17,0.470588235294118,0,"Down",0.004,0.075453488372093
"GO_APOLIPOPROTEIN_BINDING",14,0,0.428571428571429,"Up",0.004,0.075453488372093
"GO_G_PROTEIN_BETA_GAMMA_SUBUNIT_COMPLEX_BINDING",21,0.0952380952380952,0.0476190476190476,"Down",0.004,0.075453488372093
"GO_FIBROBLAST_GROWTH_FACTOR_BINDING",22,0.0909090909090909,0.363636363636364,"Up",0.005,0.0906847826086957
"GO_PROTEIN_TRANSPORTER_ACTIVITY",95,0.252631578947368,0.0631578947368421,"Down",0.005,0.0906847826086957
"GO_VITAMIN_BINDING",72,0.0416666666666667,0.166666666666667,"Up",0.005,0.0906847826086957
"GO_HYDROGEN_EXPORTING_ATPASE_ACTIVITY",26,0.615384615384615,0.0384615384615385,"Down",0.006,0.10197
"GO_PHOSPHATASE_ACTIVATOR_ACTIVITY",8,0.5,0,"Down",0.006,0.10197
"GO_COMPLEMENT_BINDING",18,0.0555555555555556,0.333333333333333,"Up",0.006,0.10197
"GO_STRUCTURAL_MOLECULE_ACTIVITY",629,0.260731319554849,0.117647058823529,"Down",0.006,0.10197
"GO_CARBOHYDRATE_PHOSPHATASE_ACTIVITY",10,0.1,0.5,"Up",0.007,0.105710526315789
"GO_THREONINE_TYPE_PEPTIDASE_ACTIVITY",21,0.476190476190476,0.0476190476190476,"Down",0.007,0.105710526315789
"GO_WATER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",13,0.0769230769230769,0.461538461538462,"Up",0.007,0.105710526315789
"GO_BETA_TUBULIN_BINDING",35,0.285714285714286,0.114285714285714,"Down",0.007,0.105710526315789
"GO_SNARE_BINDING",121,0.28099173553719,0.0743801652892562,"Down",0.007,0.105710526315789
"GO_OPSONIN_BINDING",11,0.0909090909090909,0.272727272727273,"Up",0.007,0.105710526315789
"GO_MODIFIED_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",16,0,0.1875,"Up",0.007,0.105710526315789
"GO_ACYL_COA_DEHYDROGENASE_ACTIVITY",17,0,0.235294117647059,"Up",0.008,0.117838983050847
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN",122,0.0737704918032787,0.188524590163934,"Up",0.008,0.117838983050847
"GO_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_BINDING",16,0.375,0.125,"Down",0.01,0.142040322580645
"GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING",22,0.318181818181818,0.136363636363636,"Down",0.01,0.142040322580645
"GO_BHLH_TRANSCRIPTION_FACTOR_BINDING",27,0.0740740740740741,0.185185185185185,"Up",0.01,0.142040322580645
"GO_BETA_CATENIN_BINDING",78,0.0769230769230769,0.282051282051282,"Up",0.011,0.149746153846154
"GO_BINDING_BRIDGING",168,0.214285714285714,0.0773809523809524,"Down",0.011,0.149746153846154
"GO_CATION_SUGAR_SYMPORTER_ACTIVITY",15,0,0.2,"Up",0.011,0.149746153846154
"GO_PRENYLTRANSFERASE_ACTIVITY",15,0.0666666666666667,0.333333333333333,"Up",0.012,0.1545
"GO_SNAP_RECEPTOR_ACTIVITY",36,0.305555555555556,0.0277777777777778,"Down",0.012,0.1545
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS",25,0.16,0.28,"Up",0.012,0.1545
"GO_HSP90_PROTEIN_BINDING",26,0.115384615384615,0.269230769230769,"Up",0.012,0.1545
"GO_TRANSLATION_ELONGATION_FACTOR_ACTIVITY",16,0.375,0,"Down",0.013,0.163204225352113
"GO_PROTEIN_SERINE_THREONINE_PHOSPHATASE_INHIBITOR_ACTIVITY",11,0.272727272727273,0,"Down",0.013,0.163204225352113
"GO_NADH_DEHYDROGENASE_ACTIVITY",36,0.777777777777778,0,"Down",0.014,0.169114864864865
"GO_ATPASE_REGULATOR_ACTIVITY",30,0.3,0.1,"Down",0.014,0.169114864864865
"GO_O_ACYLTRANSFERASE_ACTIVITY",45,0.133333333333333,0.266666666666667,"Up",0.014,0.169114864864865
"GO_GLUTATHIONE_TRANSFERASE_ACTIVITY",24,0.208333333333333,0.0416666666666667,"Down",0.015,0.174564935064935
"GO_LACTATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",11,0.181818181818182,0,"Down",0.015,0.174564935064935
"GO_RNA_METHYLTRANSFERASE_ACTIVITY",35,0.0571428571428571,0.171428571428571,"Up",0.015,0.174564935064935
"GO_WNT_PROTEIN_BINDING",28,0.107142857142857,0.428571428571429,"Up",0.016,0.177388888888889
"GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING",78,0.307692307692308,0.0384615384615385,"Down",0.016,0.177388888888889
"GO_ADP_BINDING",30,0.2,0.1,"Down",0.016,0.177388888888889
"GO_AMIDE_BINDING",232,0.168103448275862,0.0905172413793103,"Down",0.016,0.177388888888889
"GO_BETA_1_3_GALACTOSYLTRANSFERASE_ACTIVITY",15,0.266666666666667,0.0666666666666667,"Down",0.017,0.179947058823529
"GO_METHYL_CPG_BINDING",17,0.176470588235294,0,"Down",0.017,0.179947058823529
"GO_ARYL_SULFOTRANSFERASE_ACTIVITY",7,0.142857142857143,0,"Down",0.017,0.179947058823529
"GO_FMN_BINDING",14,0.0714285714285714,0,"Down",0.017,0.179947058823529
"GO_TRANSCRIPTION_COFACTOR_BINDING",22,0.136363636363636,0.363636363636364,"Up",0.018,0.186465517241379
"GO_RAB_GTPASE_BINDING",111,0.189189189189189,0.0990990990990991,"Down",0.018,0.186465517241379
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR",46,0.630434782608696,0.0217391304347826,"Down",0.019,0.192691011235955
"GO_FATTY_ACID_LIGASE_ACTIVITY",16,0.1875,0.3125,"Up",0.019,0.192691011235955
"GO_OXYGEN_TRANSPORTER_ACTIVITY",10,0.4,0,"Down",0.02,0.194370967741935
"GO_HYDROLASE_ACTIVITY_ACTING_ON_ETHER_BONDS",11,0,0.272727272727273,"Up",0.02,0.194370967741935
"GO_ARMADILLO_REPEAT_DOMAIN_BINDING",13,0,0.230769230769231,"Up",0.02,0.194370967741935
"GO_CYCLIN_BINDING",19,0.105263157894737,0.210526315789474,"Up",0.02,0.194370967741935
"GO_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",17,0.0588235294117647,0.411764705882353,"Up",0.021,0.199305
"GO_FATTY_ACYL_COA_BINDING",31,0.0645161290322581,0.258064516129032,"Up",0.021,0.199305
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H",82,0.390243902439024,0.0609756097560976,"Down",0.022,0.199305
"GO_SULFUR_COMPOUND_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",26,0.0769230769230769,0.269230769230769,"Up",0.022,0.199305
"GO_TRANSCRIPTIONAL_REPRESSOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING",100,0.03,0.22,"Up",0.022,0.199305
"GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING",321,0.0404984423676012,0.205607476635514,"Up",0.022,0.199305
"GO_NAD_DEPENDENT_PROTEIN_DEACETYLASE_ACTIVITY",17,0,0.0588235294117647,"Up",0.022,0.199305
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH2_GROUP_OF_DONORS",17,0.117647058823529,0.352941176470588,"Up",0.023,0.200552884615385
"GO_DICARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",33,0.121212121212121,0.333333333333333,"Up",0.023,0.200552884615385
"GO_THYROID_HORMONE_RECEPTOR_BINDING",29,0.137931034482759,0.275862068965517,"Up",0.023,0.200552884615385
