"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_GDP_DISSOCIATION_INHIBITOR_ACTIVITY",11,0.636363636363636,0,"Down",0.001,0.0210681818181818,"ENSMUSG00000052087, ENSMUSG00000073433, ENSMUSG00000005732, ENSMUSG00000025132, ENSMUSG00000030220, ENSMUSG00000036206","Rgs14, Arhgdig, Ranbp1, Arhgdia, Arhgdib, Sh3bp4"
"GO_WNT_ACTIVATED_RECEPTOR_ACTIVITY",21,0,0.523809523809524,"Up",0.001,0.0210681818181818,"ENSMUSG00000028017, ENSMUSG00000050288, ENSMUSG00000030201, ENSMUSG00000018822, ENSMUSG00000081683, ENSMUSG00000001761","Egf, Fzd2, Lrp6, Sfrp5, Fzd10, Smo"
"GO_PROTEIN_BINDING_INVOLVED_IN_PROTEIN_FOLDING",11,0.454545454545455,0,"Down",0.001,0.0210681818181818,"ENSMUSG00000024610, ENSMUSG00000006412, ENSMUSG00000034024, ENSMUSG00000002190","Cd74, Pfdn2, Cct2, Clgn"
"GO_HYDROGEN_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",91,0.43956043956044,0.043956043956044,"Down",0.001,0.0210681818181818,"ENSMUSG00000024121, ENSMUSG00000041697, ENSMUSG00000000088, ENSMUSG00000038600, ENSMUSG00000020566, ENSMUSG00000063882, ENSMUSG00000034566, ENSMUSG00000013160, ENSMUSG00000022956, ENSMUSG00000003072, ENSMUSG00000016252, ENSMUSG00000032330, ENSMUSG00000029632, ENSMUSG00000033793, ENSMUSG00000031818, ENSMUSG00000050856, ENSMUSG00000025781, ENSMUSG00000006057, ENSMUSG00000035885, ENSMUSG00000038717, ENSMUSG00000030785, ENSMUSG00000014313, ENSMUSG00000052459, ENSMUSG00000017778, ENSMUSG00000024248, ENSMUSG00000036751, ENSMUSG00000006273, ENSMUSG00000039105, ENSMUSG00000019210, ENSMUSG00000037771, ENSMUSG00000022890, ENSMUSG00000025428, ENSMUSG00000061518, ENSMUSG00000004285","Atp6v0c, Cox6a1, Cox5a, Atp6v0a4, Atp6v1c2, Uqcrh, Atp5h, Atp6v0d1, Atp5o, Atp5d, Atp5e, Cox7a2, Ndufa4, Atp6v1h, Cox4i1, Atp5k, Atp5c1, Atp5g1, Cox8a, Atp5l, Cox6a2, Cox6c, Atp6v1a, Cox7c, Cox7a2l, Cox6b1, Atp6v1b2, Atp6v1g1, Atp6v1e1, Slc32a1, Atp5j, Atp5a1, Cox5b, Atp6v1f"
"GO_FAD_BINDING",14,0.0714285714285714,0.428571428571429,"Up",0.001,0.0210681818181818,"ENSMUSG00000063428, ENSMUSG00000036932, ENSMUSG00000003526, ENSMUSG00000068742","Ddo, Aifm1, Prodh, Cry2"
"GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY",27,0.407407407407407,0,"Down",0.001,0.0210681818181818,"ENSMUSG00000039159, ENSMUSG00000036241, ENSMUSG00000060860, ENSMUSG00000014349, ENSMUSG00000021774, ENSMUSG00000027011, ENSMUSG00000052981, ENSMUSG00000019927, ENSMUSG00000020307","Ube2h, Ube2r2, Ube2s, Ube2z, Ube2e1, Ube2e3, Ube2ql1, Ube2d1, Cdc34"
"GO_POLYPEPTIDE_N_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY",15,0.4,0.0666666666666667,"Down",0.001,0.0210681818181818,"ENSMUSG00000033316, ENSMUSG00000037280, ENSMUSG00000089704, ENSMUSG00000060988, ENSMUSG00000020520","Galnt9, Galnt6, Galnt2, Galnt13, Galnt10"
"GO_FK506_BINDING",18,0.388888888888889,0.0555555555555556,"Down",0.001,0.0210681818181818,"ENSMUSG00000032966, ENSMUSG00000030357, ENSMUSG00000024222, ENSMUSG00000007944","Fkbp1a, Fkbp4, Fkbp5, Ttc9b"
"GO_MACROLIDE_BINDING",18,0.388888888888889,0.0555555555555556,"Down",0.001,0.0210681818181818,"ENSMUSG00000024222, ENSMUSG00000030357, ENSMUSG00000032966, ENSMUSG00000007944","Fkbp5, Fkbp4, Fkbp1a, Ttc9b"
"GO_DEATH_RECEPTOR_BINDING",16,0.375,0.0625,"Down",0.001,0.0210681818181818,"ENSMUSG00000032244, ENSMUSG00000000817, ENSMUSG00000014776, ENSMUSG00000027859, ENSMUSG00000031628, ENSMUSG00000004446","Fem1b, Fasl, Nol3, Ngf, Casp3, Bid"
