"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"PID_VEGF_VEGFR_PATHWAY",9,0.222222222222222,0.777777777777778,"Up",0.001,0.00547933884297521
"SA_FAS_SIGNALING",9,0,0.666666666666667,"Up",0.001,0.00547933884297521
"BIOCARTA_MONOCYTE_PATHWAY",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00547933884297521
"REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00547933884297521
"REACTOME_SMOOTH_MUSCLE_CONTRACTION",21,0.0476190476190476,0.619047619047619,"Up",0.001,0.00547933884297521
"BIOCARTA_LYM_PATHWAY",10,0,0.6,"Up",0.001,0.00547933884297521
"REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE",24,0.166666666666667,0.583333333333333,"Up",0.001,0.00547933884297521
"BIOCARTA_TFF_PATHWAY",21,0.0952380952380952,0.571428571428571,"Up",0.001,0.00547933884297521
"PID_INTEGRIN4_PATHWAY",11,0,0.545454545454545,"Up",0.001,0.00547933884297521
"REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS",11,0.181818181818182,0.545454545454545,"Up",0.001,0.00547933884297521
"BIOCARTA_EIF2_PATHWAY",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.00547933884297521
"BIOCARTA_EGFR_SMRTE_PATHWAY",11,0.545454545454545,0.181818181818182,"Down",0.001,0.00547933884297521
"PID_LYMPH_ANGIOGENESIS_PATHWAY",24,0.0416666666666667,0.541666666666667,"Up",0.001,0.00547933884297521
"REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY",19,0.0526315789473684,0.526315789473684,"Up",0.001,0.00547933884297521
"BIOCARTA_VEGF_PATHWAY",29,0.172413793103448,0.517241379310345,"Up",0.001,0.00547933884297521
"REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING",29,0.137931034482759,0.517241379310345,"Up",0.001,0.00547933884297521
"REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING",29,0.103448275862069,0.517241379310345,"Up",0.001,0.00547933884297521
"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",21,0,0.476190476190476,"Up",0.001,0.00547933884297521
"BIOCARTA_AMI_PATHWAY",19,0,0.473684210526316,"Up",0.001,0.00547933884297521
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B",19,0,0.473684210526316,"Up",0.001,0.00547933884297521
"REACTOME_ENOS_ACTIVATION_AND_REGULATION",17,0.0588235294117647,0.470588235294118,"Up",0.001,0.00547933884297521
"REACTOME_DEADENYLATION_OF_MRNA",17,0,0.470588235294118,"Up",0.001,0.00547933884297521
"BIOCARTA_BCELLSURVIVAL_PATHWAY",15,0.0666666666666667,0.466666666666667,"Up",0.001,0.00547933884297521
"PID_NECTIN_PATHWAY",26,0.0769230769230769,0.461538461538462,"Up",0.001,0.00547933884297521
"BIOCARTA_EXTRINSIC_PATHWAY",13,0.0769230769230769,0.461538461538462,"Up",0.001,0.00547933884297521
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS",13,0,0.461538461538462,"Up",0.001,0.00547933884297521
"BIOCARTA_VITCB_PATHWAY",11,0.0909090909090909,0.454545454545455,"Up",0.001,0.00547933884297521
"REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS",11,0,0.454545454545455,"Up",0.001,0.00547933884297521
"PID_TGFBR_PATHWAY",54,0.0555555555555556,0.444444444444444,"Up",0.001,0.00547933884297521
"REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER",36,0.0555555555555556,0.444444444444444,"Up",0.001,0.00547933884297521
"REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE",18,0.222222222222222,0.444444444444444,"Up",0.001,0.00547933884297521
