"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"PID_VEGF_VEGFR_PATHWAY",9,0.222222222222222,0.777777777777778,"Up",0.001,0.00547933884297521,"ENSMUSG00000029648, ENSMUSG00000025969, ENSMUSG00000062960, ENSMUSG00000020357, ENSMUSG00000025810, ENSMUSG00000031520","Flt1, Nrp2, Kdr, Flt4, Nrp1, Vegfc"
"SA_FAS_SIGNALING",9,0,0.666666666666667,"Up",0.001,0.00547933884297521,"ENSMUSG00000022468","Endou"
"BIOCARTA_MONOCYTE_PATHWAY",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00547933884297521,"ENSMUSG00000026580, ENSMUSG00000027009, ENSMUSG00000025809, ENSMUSG00000000157, ENSMUSG00000020717, ENSMUSG00000026582","Selp, Itga4, Itgb1, Itgb2l, Pecam1, Sele"
"REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00547933884297521,"ENSMUSG00000054693, ENSMUSG00000027276, ENSMUSG00000002799, ENSMUSG00000015468, ENSMUSG00000027314","Adam10, Jag1, Jag2, Notch4, Dll4"
"REACTOME_SMOOTH_MUSCLE_CONTRACTION",21,0.0476190476190476,0.619047619047619,"Up",0.001,0.00547933884297521,"ENSMUSG00000034868, ENSMUSG00000067818, ENSMUSG00000042284, ENSMUSG00000090841, ENSMUSG00000022836, ENSMUSG00000031799, ENSMUSG00000021823","Myl12b, Myl9, Itga1, Myl6, Mylk, Tpm4, Vcl"
"BIOCARTA_LYM_PATHWAY",10,0,0.6,"Up",0.001,0.00547933884297521,"ENSMUSG00000027009, ENSMUSG00000025809, ENSMUSG00000000157, ENSMUSG00000020717, ENSMUSG00000016494","Itga4, Itgb1, Itgb2l, Pecam1, Cd34"
"REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE",24,0.166666666666667,0.583333333333333,"Up",0.001,0.00547933884297521,"ENSMUSG00000034868, ENSMUSG00000067818, ENSMUSG00000002233, ENSMUSG00000020900, ENSMUSG00000090841, ENSMUSG00000024290, ENSMUSG00000020580","Myl12b, Myl9, Rhoc, Myh10, Myl6, Rock1, Rock2"
"BIOCARTA_TFF_PATHWAY",21,0.0952380952380952,0.571428571428571,"Up",0.001,0.00547933884297521,"ENSMUSG00000042626, ENSMUSG00000055737, ENSMUSG00000006932, ENSMUSG00000025809, ENSMUSG00000020713, ENSMUSG00000024959, ENSMUSG00000024241","Shc1, Ghr, Ctnnb1, Itgb1, Gh, Bad, Sos1"
"PID_INTEGRIN4_PATHWAY",11,0,0.545454545454545,"Up",0.001,0.00547933884297521,"ENSMUSG00000002900, ENSMUSG00000026478, ENSMUSG00000032796, ENSMUSG00000015647","Lamb1, Lamc1, Lama1, Lama5"
"REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS",11,0.181818181818182,0.545454545454545,"Up",0.001,0.00547933884297521,"ENSMUSG00000029247, ENSMUSG00000015961, ENSMUSG00000003500","Paics, Adss, Impdh1"
