"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY",13,0.846153846153846,0,"Down",0.001,0.00810627177700349
"GO_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY",24,0.833333333333333,0,"Down",0.001,0.00810627177700349
"GO_REGULATION_OF_ALPHA_AMINO_3_HYDROXY_5_METHYL_4_ISOXAZOLE_PROPIONATE_SELECTIVE_GLUTAMATE_RECEPTOR_ACTIVITY",19,0.789473684210526,0,"Down",0.001,0.00810627177700349
"GO_CEREBELLAR_GRANULAR_LAYER_DEVELOPMENT",13,0.769230769230769,0.0769230769230769,"Down",0.001,0.00810627177700349
"GO_PROTEIN_LOCALIZATION_TO_SYNAPSE",15,0.733333333333333,0,"Down",0.001,0.00810627177700349
"GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00810627177700349
"GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY",41,0.707317073170732,0.0487804878048781,"Down",0.001,0.00810627177700349
"GO_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER",10,0.2,0.7,"Up",0.001,0.00810627177700349
"GO_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM",10,0.7,0,"Down",0.001,0.00810627177700349
"GO_CENTRAL_NERVOUS_SYSTEM_MYELINATION",10,0.7,0,"Down",0.001,0.00810627177700349
"GO_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL",21,0.666666666666667,0,"Down",0.001,0.00810627177700349
"GO_NEGATIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00810627177700349
"GO_ENDOTHELIAL_TUBE_MORPHOGENESIS",11,0,0.636363636363636,"Up",0.001,0.00810627177700349
"GO_NEGATIVE_REGULATION_OF_ANOIKIS",16,0.0625,0.625,"Up",0.001,0.00810627177700349
"GO_CELL_SEPARATION_AFTER_CYTOKINESIS",15,0,0.6,"Up",0.001,0.00810627177700349
"GO_ALKALOID_METABOLIC_PROCESS",10,0,0.6,"Up",0.001,0.00810627177700349
"GO_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS",10,0.6,0,"Down",0.001,0.00810627177700349
"GO_REGULATION_OF_ANOIKIS",22,0.0454545454545455,0.590909090909091,"Up",0.001,0.00810627177700349
"GO_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL",29,0.586206896551724,0.0689655172413793,"Down",0.001,0.00810627177700349
"GO_L_AMINO_ACID_IMPORT",12,0.583333333333333,0.0833333333333333,"Down",0.001,0.00810627177700349
"GO_NEGATIVE_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY",12,0.0833333333333333,0.583333333333333,"Up",0.001,0.00810627177700349
"GO_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS",19,0.105263157894737,0.578947368421053,"Up",0.001,0.00810627177700349
"GO_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER",28,0.142857142857143,0.571428571428571,"Up",0.001,0.00810627177700349
"GO_PEPTIDE_CATABOLIC_PROCESS",21,0.0952380952380952,0.571428571428571,"Up",0.001,0.00810627177700349
"GO_COPPER_ION_HOMEOSTASIS",14,0.0714285714285714,0.571428571428571,"Up",0.001,0.00810627177700349
"GO_MORPHOGENESIS_OF_AN_ENDOTHELIUM",16,0.0625,0.5625,"Up",0.001,0.00810627177700349
"GO_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE",16,0.125,0.5625,"Up",0.001,0.00810627177700349
"GO_WALKING_BEHAVIOR",31,0.548387096774194,0,"Down",0.001,0.00810627177700349
"GO_ADULT_WALKING_BEHAVIOR",31,0.548387096774194,0,"Down",0.001,0.00810627177700349
"GO_CELLULAR_EXTRAVASATION",22,0.0454545454545455,0.545454545454545,"Up",0.001,0.00810627177700349
"GO_BONE_TRABECULA_MORPHOGENESIS",11,0.545454545454545,0,"Down",0.001,0.00810627177700349
"GO_REGULATION_OF_VASCULOGENESIS",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.00810627177700349
"GO_LEUKOCYTE_TETHERING_OR_ROLLING",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.00810627177700349
"GO_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.00810627177700349
"GO_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.00810627177700349
"GO_VENOUS_BLOOD_VESSEL_DEVELOPMENT",15,0.2,0.533333333333333,"Up",0.001,0.00810627177700349
"GO_RESPONSE_TO_COPPER_ION",27,0.111111111111111,0.518518518518518,"Up",0.001,0.00810627177700349
"GO_ENDOTHELIUM_DEVELOPMENT",87,0.114942528735632,0.517241379310345,"Up",0.001,0.00810627177700349
"GO_ENDOTHELIAL_CELL_DEVELOPMENT",43,0.116279069767442,0.511627906976744,"Up",0.001,0.00810627177700349
"GO_HEART_VALVE_DEVELOPMENT",32,0.0625,0.5,"Up",0.001,0.00810627177700349
"GO_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS",30,0.0666666666666667,0.5,"Up",0.001,0.00810627177700349
"GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY",28,0.107142857142857,0.5,"Up",0.001,0.00810627177700349
"GO_POSITIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY",16,0,0.5,"Up",0.001,0.00810627177700349
"GO_CELLULAR_RESPONSE_TO_SUPEROXIDE",14,0.142857142857143,0.5,"Up",0.001,0.00810627177700349
"GO_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL",14,0.142857142857143,0.5,"Up",0.001,0.00810627177700349
"GO_HEART_VALVE_FORMATION",12,0.0833333333333333,0.5,"Up",0.001,0.00810627177700349
"GO_CELLULAR_COPPER_ION_HOMEOSTASIS",12,0.0833333333333333,0.5,"Up",0.001,0.00810627177700349
"GO_RRNA_3_END_PROCESSING",12,0,0.5,"Up",0.001,0.00810627177700349
"GO_OPTIC_NERVE_DEVELOPMENT",10,0.5,0,"Down",0.001,0.00810627177700349
"GO_BASEMENT_MEMBRANE_ORGANIZATION",10,0,0.5,"Up",0.001,0.00810627177700349
"GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT",10,0,0.5,"Up",0.001,0.00810627177700349
"GO_PURINE_NUCLEOBASE_BIOSYNTHETIC_PROCESS",10,0,0.5,"Up",0.001,0.00810627177700349
"GO_TRANSCRIPTION_FROM_MITOCHONDRIAL_PROMOTER",6,0.166666666666667,0.5,"Up",0.001,0.00810627177700349
