"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX",10,0,0.7,"Up",0.001,0.00806944444444445
"GO_MAIN_AXON",54,0.666666666666667,0.037037037037037,"Down",0.001,0.00806944444444445
"GO_APICOLATERAL_PLASMA_MEMBRANE",15,0.0666666666666667,0.666666666666667,"Up",0.001,0.00806944444444445
"GO_PLATELET_ALPHA_GRANULE_MEMBRANE",13,0.153846153846154,0.615384615384615,"Up",0.001,0.00806944444444445
"GO_SIN3_COMPLEX",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.00806944444444445
"GO_SMN_SM_PROTEIN_COMPLEX",16,0,0.5,"Up",0.001,0.00806944444444445
"GO_ORGANELLE_MEMBRANE_CONTACT_SITE",11,0.0909090909090909,0.454545454545455,"Up",0.001,0.00806944444444445
"GO_INVADOPODIUM",11,0.181818181818182,0.454545454545455,"Up",0.001,0.00806944444444445
"GO_ACTIN_FILAMENT_BUNDLE",53,0.0754716981132075,0.452830188679245,"Up",0.001,0.00806944444444445
"GO_SIN3_TYPE_COMPLEX",16,0.0625,0.4375,"Up",0.001,0.00806944444444445
"GO_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX",14,0,0.428571428571429,"Up",0.001,0.00806944444444445
"GO_ACTOMYOSIN",60,0.1,0.416666666666667,"Up",0.001,0.00806944444444445
"GO_U1_SNRNP",17,0.235294117647059,0.411764705882353,"Up",0.001,0.00806944444444445
"GO_ANAPHASE_PROMOTING_COMPLEX",20,0.05,0.4,"Up",0.001,0.00806944444444445
"GO_CELL_SUBSTRATE_JUNCTION",376,0.122340425531915,0.396276595744681,"Up",0.001,0.00806944444444445
"GO_SECRETORY_GRANULE_MEMBRANE",76,0.210526315789474,0.394736842105263,"Up",0.001,0.00806944444444445
"GO_PLATELET_DENSE_GRANULE",18,0.111111111111111,0.388888888888889,"Up",0.001,0.00806944444444445
"GO_ANCHORING_JUNCTION",461,0.132321041214751,0.368763557483731,"Up",0.001,0.00806944444444445
"GO_PHOSPHATASE_COMPLEX",41,0.121951219512195,0.365853658536585,"Up",0.001,0.00806944444444445
"GO_NUCLEAR_EUCHROMATIN",22,0.136363636363636,0.363636363636364,"Up",0.001,0.00806944444444445
"GO_TRANSCRIPTION_FACTOR_TFIID_COMPLEX",20,0.05,0.35,"Up",0.001,0.00806944444444445
"GO_REPLISOME",27,0.037037037037037,0.333333333333333,"Up",0.001,0.00806944444444445
"GO_PLATELET_DENSE_GRANULE_LUMEN",12,0.0833333333333333,0.333333333333333,"Up",0.001,0.00806944444444445
