"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX",10,0,0.7,"Up",0.001,0.00806944444444445,"ENSMUSG00000024976, ENSMUSG00000032475, ENSMUSG00000047714","Shoc2, Nck1, Ppp1r2"
"GO_MAIN_AXON",54,0.666666666666667,0.037037037037037,"Down",0.001,0.00806944444444445,"ENSMUSG00000024462, ENSMUSG00000020598, ENSMUSG00000019194, ENSMUSG00000026825, ENSMUSG00000042429, ENSMUSG00000028931, ENSMUSG00000096146, ENSMUSG00000016346, ENSMUSG00000028176, ENSMUSG00000035681, ENSMUSG00000036634, ENSMUSG00000041607, ENSMUSG00000069601, ENSMUSG00000005089, ENSMUSG00000062591, ENSMUSG00000020886, ENSMUSG00000056258, ENSMUSG00000037032, ENSMUSG00000052572, ENSMUSG00000011751, ENSMUSG00000052516, ENSMUSG00000040724, ENSMUSG00000031543, ENSMUSG00000024044, ENSMUSG00000047976, ENSMUSG00000062991, ENSMUSG00000064329, ENSMUSG00000053024, ENSMUSG00000023033, ENSMUSG00000024163, ENSMUSG00000026442, ENSMUSG00000056222, ENSMUSG00000032532","Gabbr1, Nrcam, Scn1b, Dnm1, Adora1, Kcnab2, Kcnj11, Kcnq2, Lrrc7, Kcnc2, Mag, Mbp, Ank3, Slc1a2, Tubb4a, Dlg4, Kcnq3, Apbb1, Dlg2, Sptbn4, Robo2, Kcna2, Ank1, Epb41l3, Kcna1, Nrg1, Scn1a, Cntn2, Scn8a, Mapk8ip3, Nfasc, Spock1, Cck"
"GO_APICOLATERAL_PLASMA_MEMBRANE",15,0.0666666666666667,0.666666666666667,"Up",0.001,0.00806944444444445,"ENSMUSG00000041378, ENSMUSG00000044860, ENSMUSG00000030516, ENSMUSG00000021638, ENSMUSG00000047501, ENSMUSG00000022297, ENSMUSG00000023906","Cldn5, Gm1123, Tjp1, Ocln, Cldn4, Fzd6, Cldn6"
"GO_PLATELET_ALPHA_GRANULE_MEMBRANE",13,0.153846153846154,0.615384615384615,"Up",0.001,0.00806944444444445,"ENSMUSG00000062866, ENSMUSG00000024614, ENSMUSG00000026456, ENSMUSG00000020717, ENSMUSG00000031996, ENSMUSG00000026580, ENSMUSG00000034664","Phactr2, Tmx3, Cyb5r1, Pecam1, Aplp2, Selp, Itga2b"
"GO_SIN3_COMPLEX",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.00806944444444445,"ENSMUSG00000039985, ENSMUSG00000042557, ENSMUSG00000063049, ENSMUSG00000028800, ENSMUSG00000062270","Fam60a, Sin3a, Ing2, Hdac1, Morf4l1"
"GO_SMN_SM_PROTEIN_COMPLEX",16,0,0.5,"Up",0.001,0.00806944444444445,"ENSMUSG00000090553, ENSMUSG00000060121, ENSMUSG00000020018, ENSMUSG00000044709, ENSMUSG00000057278, ENSMUSG00000002477, ENSMUSG00000027404","Snrpe, Gemin2, Snrpf, Gemin7, Snrpg, Snrpd1, Snrpb"
"GO_ORGANELLE_MEMBRANE_CONTACT_SITE",11,0.0909090909090909,0.454545454545455,"Up",0.001,0.00806944444444445,"ENSMUSG00000025366, ENSMUSG00000021171, ENSMUSG00000037526, ENSMUSG00000038160","Esyt1, Esyt2, Atg14, Atg5"
"GO_INVADOPODIUM",11,0.181818181818182,0.454545454545455,"Up",0.001,0.00806944444444445,"ENSMUSG00000025809, ENSMUSG00000033032, ENSMUSG00000035000","Itgb1, Afap1l1, Dpp4"
"GO_ACTIN_FILAMENT_BUNDLE",53,0.0754716981132075,0.452830188679245,"Up",0.001,0.00806944444444445,"ENSMUSG00000031799, ENSMUSG00000041731, ENSMUSG00000054808, ENSMUSG00000025278, ENSMUSG00000004665, ENSMUSG00000034868, ENSMUSG00000037712, ENSMUSG00000025085, ENSMUSG00000067818, ENSMUSG00000020900, ENSMUSG00000030562, ENSMUSG00000022836, ENSMUSG00000021493, ENSMUSG00000026175, ENSMUSG00000006386, ENSMUSG00000015143, ENSMUSG00000068270","Tpm4, Pgm5, Actn4, Flnb, Cnn2, Myl12b, Fermt2, Ablim1, Myl9, Myh10, Nox4, Mylk, Pdlim7, Vil1, Tek, Actn1, Shroom4"
"GO_SIN3_TYPE_COMPLEX",16,0.0625,0.4375,"Up",0.001,0.00806944444444445,"ENSMUSG00000039985, ENSMUSG00000028800, ENSMUSG00000062270, ENSMUSG00000063049, ENSMUSG00000042557","Fam60a, Hdac1, Morf4l1, Ing2, Sin3a"
