"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_EXTRACELLULAR_GLUTAMATE_GATED_ION_CHANNEL_ACTIVITY",20,0.9,0.05,"Down",0.001,0.00813157894736842
"GO_TRANSMITTER_GATED_CHANNEL_ACTIVITY",26,0.769230769230769,0,"Down",0.001,0.00813157894736842
"GO_METALLOAMINOPEPTIDASE_ACTIVITY",12,0.166666666666667,0.666666666666667,"Up",0.001,0.00813157894736842
"GO_PHOSPHOTRANSFERASE_ACTIVITY_NITROGENOUS_GROUP_AS_ACCEPTOR",11,0.636363636363636,0.0909090909090909,"Down",0.001,0.00813157894736842
"GO_POLY_A_SPECIFIC_RIBONUCLEASE_ACTIVITY",11,0,0.636363636363636,"Up",0.001,0.00813157894736842
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS_DISULFIDE_AS_ACCEPTOR",10,0,0.6,"Up",0.001,0.00813157894736842
"GO_I_SMAD_BINDING",11,0,0.545454545454545,"Up",0.001,0.00813157894736842
"GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.00813157894736842
"GO_LACTATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",11,0.181818181818182,0.545454545454545,"Up",0.001,0.00813157894736842
"GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY",26,0.115384615384615,0.5,"Up",0.001,0.00813157894736842
"GO_DNA_BINDING_BENDING",18,0,0.5,"Up",0.001,0.00813157894736842
"GO_NARROW_PORE_CHANNEL_ACTIVITY",16,0.5,0.0625,"Down",0.001,0.00813157894736842
"GO_PROTEIN_PHOSPHATASE_1_BINDING",16,0.1875,0.5,"Up",0.001,0.00813157894736842
"GO_GLYCINE_BINDING",14,0.5,0.0714285714285714,"Down",0.001,0.00813157894736842
"GO_TAU_PROTEIN_BINDING",12,0.5,0,"Down",0.001,0.00813157894736842
"GO_RAL_GTPASE_BINDING",13,0.0769230769230769,0.461538461538462,"Up",0.001,0.00813157894736842
"GO_PROLINE_RICH_REGION_BINDING",18,0.166666666666667,0.444444444444444,"Up",0.001,0.00813157894736842
"GO_RNA_POLYMERASE_BINDING",32,0.09375,0.4375,"Up",0.001,0.00813157894736842
"GO_HISTONE_ACETYLTRANSFERASE_BINDING",28,0.0714285714285714,0.428571428571429,"Up",0.001,0.00813157894736842
"GO_NUCLEOSOMAL_DNA_BINDING",26,0.115384615384615,0.423076923076923,"Up",0.001,0.00813157894736842
"GO_EXORIBONUCLEASE_ACTIVITY",31,0,0.419354838709677,"Up",0.001,0.00813157894736842
"GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_BINDING",32,0.0625,0.40625,"Up",0.001,0.00813157894736842
"GO_GTP_RHO_BINDING",15,0.133333333333333,0.4,"Up",0.001,0.00813157894736842
"GO_BETA_2_MICROGLOBULIN_BINDING",5,0,0.4,"Up",0.001,0.00813157894736842
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PENTOSYL_GROUPS",49,0.102040816326531,0.387755102040816,"Up",0.001,0.00813157894736842
"GO_PEPTIDASE_ACTIVATOR_ACTIVITY",35,0.0285714285714286,0.371428571428571,"Up",0.001,0.00813157894736842
"GO_PROTEIN_PHOSPHATASE_2A_BINDING",27,0.148148148148148,0.37037037037037,"Up",0.001,0.00813157894736842
"GO_COPPER_ION_BINDING",49,0.163265306122449,0.36734693877551,"Up",0.001,0.00813157894736842
"GO_RNA_POLYMERASE_II_DISTAL_ENHANCER_SEQUENCE_SPECIFIC_DNA_BINDING",63,0.0793650793650794,0.365079365079365,"Up",0.001,0.00813157894736842
"GO_SNRNA_BINDING",33,0.121212121212121,0.363636363636364,"Up",0.001,0.00813157894736842
"GO_INSULIN_RECEPTOR_SUBSTRATE_BINDING",11,0.181818181818182,0.363636363636364,"Up",0.001,0.00813157894736842
"GO_AMINOPEPTIDASE_ACTIVITY",39,0.179487179487179,0.358974358974359,"Up",0.001,0.00813157894736842
"GO_ENHANCER_BINDING",90,0.0777777777777778,0.355555555555556,"Up",0.001,0.00813157894736842
"GO_LAMIN_BINDING",17,0.0588235294117647,0.352941176470588,"Up",0.001,0.00813157894736842
"GO_VITAMIN_TRANSPORTER_ACTIVITY",20,0.3,0.35,"Up",0.001,0.00813157894736842
"GO_NUCLEOSOME_BINDING",41,0.170731707317073,0.341463414634146,"Up",0.001,0.00813157894736842
"GO_DOUBLE_STRANDED_RNA_BINDING",59,0.0677966101694915,0.338983050847458,"Up",0.001,0.00813157894736842
"GO_HSP70_PROTEIN_BINDING",28,0.214285714285714,0.321428571428571,"Up",0.001,0.00813157894736842
