"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION",10,0.8,0,"Down",0.001,0.0103861607142857
"GO_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY",50,0.02,0.68,"Up",0.001,0.0103861607142857
"GO_POSITIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",11,0.636363636363636,0,"Down",0.001,0.0103861607142857
"GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY",62,0.0161290322580645,0.629032258064516,"Up",0.001,0.0103861607142857
"GO_POST_ANAL_TAIL_MORPHOGENESIS",18,0.555555555555556,0,"Down",0.001,0.0103861607142857
"GO_REPLICATIVE_SENESCENCE",11,0.545454545454545,0,"Down",0.001,0.0103861607142857
"GO_SERTOLI_CELL_DEVELOPMENT",15,0.533333333333333,0.133333333333333,"Down",0.001,0.0103861607142857
"GO_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE",17,0.529411764705882,0.0588235294117647,"Down",0.001,0.0103861607142857
"GO_GLUTATHIONE_DERIVATIVE_BIOSYNTHETIC_PROCESS",16,0.0625,0.5,"Up",0.001,0.0103861607142857
"GO_GLUTATHIONE_DERIVATIVE_METABOLIC_PROCESS",16,0.0625,0.5,"Up",0.001,0.0103861607142857
"GO_NEGATIVE_REGULATION_OF_CELL_AGING",16,0.5,0.0625,"Down",0.001,0.0103861607142857
"GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE",12,0.5,0,"Down",0.001,0.0103861607142857
"GO_DISTAL_TUBULE_DEVELOPMENT",12,0.5,0,"Down",0.001,0.0103861607142857
"GO_L_PHENYLALANINE_METABOLIC_PROCESS",10,0.1,0.5,"Up",0.001,0.0103861607142857
"GO_L_PHENYLALANINE_CATABOLIC_PROCESS",10,0.1,0.5,"Up",0.001,0.0103861607142857
"GO_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS",10,0.1,0.5,"Up",0.001,0.0103861607142857
"GO_HETEROCHROMATIN_ORGANIZATION",10,0.5,0,"Down",0.001,0.0103861607142857
"GO_POSITIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",10,0.5,0.1,"Down",0.001,0.0103861607142857
"GO_STEROL_BIOSYNTHETIC_PROCESS",42,0.0714285714285714,0.476190476190476,"Up",0.001,0.0103861607142857
"GO_CELLULAR_RESPIRATION",131,0.0534351145038168,0.473282442748092,"Up",0.001,0.0103861607142857
"GO_CORONARY_VASCULATURE_DEVELOPMENT",36,0.472222222222222,0.111111111111111,"Down",0.001,0.0103861607142857
"GO_MAMMARY_GLAND_ALVEOLUS_DEVELOPMENT",17,0.470588235294118,0.117647058823529,"Down",0.001,0.0103861607142857
"GO_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",15,0.466666666666667,0,"Down",0.001,0.0103861607142857
"GO_EPITHELIAL_CELL_FATE_COMMITMENT",15,0.466666666666667,0.0666666666666667,"Down",0.001,0.0103861607142857
"GO_EPITHELIAL_TO_MESENCHYMAL_TRANSITION",55,0.454545454545455,0.0545454545454545,"Down",0.001,0.0103861607142857
"GO_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION",11,0.454545454545455,0,"Down",0.001,0.0103861607142857
"GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION",53,0.452830188679245,0.150943396226415,"Down",0.001,0.0103861607142857
