"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION",10,0.8,0,"Down",0.001,0.0103861607142857,"ENSMUSG00000031921, ENSMUSG00000055639, ENSMUSG00000034154, ENSMUSG00000029521, ENSMUSG00000031229","Terf2, Dach1, Ino80, Chek2, Atrx"
"GO_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY",50,0.02,0.68,"Up",0.001,0.0103861607142857,"ENSMUSG00000026260, ENSMUSG00000066839, ENSMUSG00000020153, ENSMUSG00000024099, ENSMUSG00000036199, ENSMUSG00000021606, ENSMUSG00000068184, ENSMUSG00000026032, ENSMUSG00000027673, ENSMUSG00000002846, ENSMUSG00000014294, ENSMUSG00000040048, ENSMUSG00000026895, ENSMUSG00000022820, ENSMUSG00000037916, ENSMUSG00000022354, ENSMUSG00000041881, ENSMUSG00000035674, ENSMUSG00000002379, ENSMUSG00000013593, ENSMUSG00000037152, ENSMUSG00000028648, ENSMUSG00000020022, ENSMUSG00000030647, ENSMUSG00000039048, ENSMUSG00000024038","Ndufa10, Ecsit, Ndufs7, Ndufv2, Ndufa13, Ndufs6, Ndufaf2, Ndufb3, Ndufb5, Timmdc1, Ndufa2, Ndufb10, Ndufa8, Ndufb4, Ndufv1, Ndufb9, Ndufa7, Ndufa3, Ndufa11, Ndufs2, Ndufc1, Ndufs5, Ndufa12, Ndufc2, Foxred1, Ndufv3"
"GO_POSITIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",11,0.636363636363636,0,"Down",0.001,0.0103861607142857,"ENSMUSG00000045671, ENSMUSG00000032409, ENSMUSG00000054580, ENSMUSG00000024521, ENSMUSG00000048450","Spred2, Atr, Pla2r1, Pmaip1, Msx1"
"GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY",62,0.0161290322580645,0.629032258064516,"Up",0.001,0.0103861607142857,"ENSMUSG00000020022, ENSMUSG00000030647, ENSMUSG00000013593, ENSMUSG00000042670, ENSMUSG00000028648, ENSMUSG00000026895, ENSMUSG00000022820, ENSMUSG00000037916, ENSMUSG00000041881, ENSMUSG00000068184, ENSMUSG00000002846, ENSMUSG00000066839, ENSMUSG00000037938, ENSMUSG00000024099, ENSMUSG00000036199, ENSMUSG00000045438, ENSMUSG00000024038, ENSMUSG00000039048, ENSMUSG00000035674, ENSMUSG00000002379, ENSMUSG00000037152, ENSMUSG00000040048, ENSMUSG00000022354, ENSMUSG00000021606, ENSMUSG00000026032, ENSMUSG00000027673, ENSMUSG00000014294, ENSMUSG00000020153, ENSMUSG00000026260","Ndufa12, Ndufc2, Ndufs2, Immp1l, Ndufs5, Ndufa8, Ndufb4, Ndufv1, Ndufa7, Ndufaf2, Timmdc1, Ecsit, Chchd5, Ndufv2, Ndufa13, Cox19, Ndufv3, Foxred1, Ndufa3, Ndufa11, Ndufc1, Ndufb10, Ndufb9, Ndufs6, Ndufb3, Ndufb5, Ndufa2, Ndufs7, Ndufa10"
"GO_POST_ANAL_TAIL_MORPHOGENESIS",18,0.555555555555556,0,"Down",0.001,0.0103861607142857,"ENSMUSG00000023781, ENSMUSG00000022510, ENSMUSG00000079487, ENSMUSG00000068079, ENSMUSG00000027996, ENSMUSG00000021994, ENSMUSG00000075304, ENSMUSG00000034612, ENSMUSG00000036862, ENSMUSG00000006445","Hes7, Trp63, Med12, Tcf15, Sfrp2, Wnt5a, Sp5, Chst11, Dchs1, Epha2"
"GO_REPLICATIVE_SENESCENCE",11,0.545454545454545,0,"Down",0.001,0.0103861607142857,"ENSMUSG00000029521, ENSMUSG00000032113, ENSMUSG00000054580, ENSMUSG00000059552, ENSMUSG00000032409","Chek2, Chek1, Pla2r1, Trp53, Atr"
"GO_SERTOLI_CELL_DEVELOPMENT",15,0.533333333333333,0.133333333333333,"Down",0.001,0.0103861607142857,"ENSMUSG00000027939, ENSMUSG00000019768, ENSMUSG00000031229, ENSMUSG00000048118, ENSMUSG00000020592, ENSMUSG00000033487, ENSMUSG00000000567","Nup210l, Esr1, Atrx, Arid4a, Sdc1, Fndc3a, Sox9"
"GO_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE",17,0.529411764705882,0.0588235294117647,"Down",0.001,0.0103861607142857,"ENSMUSG00000053470, ENSMUSG00000008999, ENSMUSG00000020166, ENSMUSG00000001761, ENSMUSG00000036550","Kdm3a, Bmp7, Cnot2, Smo, Cnot1"
"GO_GLUTATHIONE_DERIVATIVE_BIOSYNTHETIC_PROCESS",16,0.0625,0.5,"Up",0.001,0.0103861607142857,"ENSMUSG00000060803, ENSMUSG00000004035, ENSMUSG00000021033, ENSMUSG00000004032, ENSMUSG00000027890, ENSMUSG00000025069","Gstp1, Gstm7, Gstz1, Gstm5, Gstm4, Gsto2"
"GO_GLUTATHIONE_DERIVATIVE_METABOLIC_PROCESS",16,0.0625,0.5,"Up",0.001,0.0103861607142857,"ENSMUSG00000025069, ENSMUSG00000027890, ENSMUSG00000021033, ENSMUSG00000004032, ENSMUSG00000060803, ENSMUSG00000004035","Gsto2, Gstm4, Gstz1, Gstm5, Gstp1, Gstm7"
"GO_NEGATIVE_REGULATION_OF_CELL_AGING",16,0.5,0.0625,"Down",0.001,0.0103861607142857,"ENSMUSG00000013663, ENSMUSG00000022510, ENSMUSG00000001517, ENSMUSG00000020063, ENSMUSG00000022508, ENSMUSG00000040274, ENSMUSG00000031921","Pten, Trp63, Foxm1, Sirt1, Bcl6, Cdk6, Terf2"
"GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE",12,0.5,0,"Down",0.001,0.0103861607142857,"ENSMUSG00000041064, ENSMUSG00000039630, ENSMUSG00000027185, ENSMUSG00000046434, ENSMUSG00000027646","Pif1, Hnrnpu, Nat10, Hnrnpa1, Src"
"GO_DISTAL_TUBULE_DEVELOPMENT",12,0.5,0,"Down",0.001,0.0103861607142857,"ENSMUSG00000035112, ENSMUSG00000014164, ENSMUSG00000025927, ENSMUSG00000026923, ENSMUSG00000027276, ENSMUSG00000034462","Wnk4, Klhl3, Tfap2b, Notch1, Jag1, Pkd2"
"GO_L_PHENYLALANINE_METABOLIC_PROCESS",10,0.1,0.5,"Up",0.001,0.0103861607142857,"ENSMUSG00000015806, ENSMUSG00000021033, ENSMUSG00000030630, ENSMUSG00000029445","Qdpr, Gstz1, Fah, Hpd"
"GO_L_PHENYLALANINE_CATABOLIC_PROCESS",10,0.1,0.5,"Up",0.001,0.0103861607142857,"ENSMUSG00000021033, ENSMUSG00000015806, ENSMUSG00000029445, ENSMUSG00000030630","Gstz1, Qdpr, Hpd, Fah"
"GO_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS",10,0.1,0.5,"Up",0.001,0.0103861607142857,"ENSMUSG00000030630, ENSMUSG00000029445, ENSMUSG00000015806, ENSMUSG00000021033","Fah, Hpd, Qdpr, Gstz1"
"GO_HETEROCHROMATIN_ORGANIZATION",10,0.5,0,"Down",0.001,0.0103861607142857,"ENSMUSG00000039741, ENSMUSG00000025001, ENSMUSG00000029009, ENSMUSG00000040007, ENSMUSG00000039477","Bahcc1, Hells, Mthfr, Bahd1, Tnrc18"
"GO_POSITIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",10,0.5,0.1,"Down",0.001,0.0103861607142857,"ENSMUSG00000036550, ENSMUSG00000031601, ENSMUSG00000047888, ENSMUSG00000025571, ENSMUSG00000020423","Cnot1, Cnot7, Tnrc6b, Tnrc6c, Btg2"
"GO_STEROL_BIOSYNTHETIC_PROCESS",42,0.0714285714285714,0.476190476190476,"Up",0.001,0.0103861607142857,"ENSMUSG00000058454, ENSMUSG00000018042, ENSMUSG00000041939, ENSMUSG00000006517, ENSMUSG00000020917, ENSMUSG00000027952, ENSMUSG00000001467, ENSMUSG00000031349, ENSMUSG00000021273, ENSMUSG00000031400, ENSMUSG00000031168, ENSMUSG00000021252, ENSMUSG00000034926","Dhcr7, Cyb5r3, Mvk, Mvd, Acly, Pmvk, Cyp51, Nsdhl, Fdft1, G6pdx, Ebp, 0610007P14Rik, Dhcr24"
"GO_CELLULAR_RESPIRATION",131,0.0534351145038168,0.473282442748092,"Up",0.001,0.0103861607142857,"ENSMUSG00000020022, ENSMUSG00000013593, ENSMUSG00000027187, ENSMUSG00000017778, ENSMUSG00000027010, ENSMUSG00000024099, ENSMUSG00000038462, ENSMUSG00000041881, ENSMUSG00000022820, ENSMUSG00000026895, ENSMUSG00000023019, ENSMUSG00000068184, ENSMUSG00000041697, ENSMUSG00000002379, ENSMUSG00000037152, ENSMUSG00000035674, ENSMUSG00000020456, ENSMUSG00000031782, ENSMUSG00000020163, ENSMUSG00000022354, ENSMUSG00000040048, ENSMUSG00000014294, ENSMUSG00000030647, ENSMUSG00000027673, ENSMUSG00000026032, ENSMUSG00000028648, ENSMUSG00000035885, ENSMUSG00000014313, ENSMUSG00000058076, ENSMUSG00000036199, ENSMUSG00000037938, ENSMUSG00000045438, ENSMUSG00000036751, ENSMUSG00000021748, ENSMUSG00000061518, ENSMUSG00000037916, ENSMUSG00000009863, ENSMUSG00000025486, ENSMUSG00000024038, ENSMUSG00000022477, ENSMUSG00000015790, ENSMUSG00000020153, ENSMUSG00000026260, ENSMUSG00000028756, ENSMUSG00000031818, ENSMUSG00000021606","Ndufa12, Ndufs2, Cat, Cox7c, Slc25a12, Ndufv2, Uqcrfs1, Ndufa7, Ndufb4, Ndufa8, Gpd1, Ndufaf2, Cox6a1, Ndufa11, Ndufc1, Ndufa3, Ogdh, Coq9, Uqcr11, Ndufb9, Ndufb10, Ndufa2, Ndufc2, Ndufb5, Ndufb3, Ndufs5, Cox8a, Cox6c, Sdhc, Ndufa13, Chchd5, Cox19, Cox6b1, Pdhb, Cox5b, Ndufv1, Sdhb, Sirt3, Ndufv3, Aco2, Surf1, Ndufs7, Ndufa10, Pink1, Cox4i1, Ndufs6"
"GO_CORONARY_VASCULATURE_DEVELOPMENT",36,0.472222222222222,0.111111111111111,"Down",0.001,0.0103861607142857,"ENSMUSG00000046169, ENSMUSG00000001870, ENSMUSG00000055653, ENSMUSG00000030123, ENSMUSG00000023972, ENSMUSG00000039801, ENSMUSG00000026923, ENSMUSG00000025810, ENSMUSG00000024713, ENSMUSG00000019789, ENSMUSG00000020900, ENSMUSG00000038151, ENSMUSG00000001052, ENSMUSG00000044791, ENSMUSG00000027070","Adamts6, Ltbp1, Gpc3, Plxnd1, Ptk7, 2410089E03Rik, Notch1, Nrp1, Pcsk5, Hey2, Myh10, Prdm1, Sec24b, Setd2, Lrp2"
