"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_SEMAPHORIN_RECEPTOR_COMPLEX",11,0.818181818181818,0.0909090909090909,"Down",0.001,0.0107592592592593
"GO_PARANODE_REGION_OF_AXON",10,0,0.8,"Up",0.001,0.0107592592592593
"GO_EUCHROMATIN",29,0.448275862068966,0.137931034482759,"Down",0.001,0.0107592592592593
"GO_NUCLEAR_HETEROCHROMATIN",31,0.419354838709677,0.0645161290322581,"Down",0.001,0.0107592592592593
"GO_CLATHRIN_COAT_OF_ENDOCYTIC_VESICLE",12,0,0.416666666666667,"Up",0.001,0.0107592592592593
"GO_ORGANELLE_INNER_MEMBRANE",473,0.0972515856236787,0.41014799154334,"Up",0.001,0.0107592592592593
"GO_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX",30,0.4,0.0333333333333333,"Down",0.001,0.0107592592592593
"GO_PCG_PROTEIN_COMPLEX",43,0.395348837209302,0.0465116279069767,"Down",0.001,0.0107592592592593
"GO_MYELIN_SHEATH",165,0.0424242424242424,0.375757575757576,"Up",0.001,0.0107592592592593
"GO_MITOCHONDRIAL_ENVELOPE",617,0.0988654781199352,0.371150729335494,"Up",0.001,0.0107592592592593
"GO_HETEROCHROMATIN",64,0.359375,0.0625,"Down",0.001,0.0107592592592593
"GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX",70,0.342857142857143,0.128571428571429,"Down",0.001,0.0107592592592593
"GO_N_TERMINAL_PROTEIN_ACETYLTRANSFERASE_COMPLEX",9,0.333333333333333,0,"Down",0.001,0.0107592592592593
"GO_MITOCHONDRIAL_PART",854,0.100702576112412,0.323185011709602,"Up",0.001,0.0107592592592593
"GO_CHROMATIN",372,0.32258064516129,0.126344086021505,"Down",0.001,0.0107592592592593
"GO_NUCLEAR_PERIPHERY",113,0.31858407079646,0.123893805309735,"Down",0.001,0.0107592592592593
"GO_MICROBODY_PART",92,0.0326086956521739,0.315217391304348,"Up",0.001,0.0107592592592593
"GO_HISTONE_METHYLTRANSFERASE_COMPLEX",62,0.306451612903226,0.0645161290322581,"Down",0.001,0.0107592592592593
"GO_NUCLEAR_CHROMATIN",246,0.296747967479675,0.134146341463415,"Down",0.001,0.0107592592592593
"GO_PROTEIN_KINASE_COMPLEX",88,0.295454545454545,0.0568181818181818,"Down",0.001,0.0107592592592593
"GO_SWI_SNF_SUPERFAMILY_TYPE_COMPLEX",70,0.285714285714286,0.142857142857143,"Down",0.001,0.0107592592592593
"GO_NUCLEAR_TRANSCRIPTIONAL_REPRESSOR_COMPLEX",21,0.285714285714286,0.0952380952380952,"Down",0.001,0.0107592592592593
"GO_METHYLTRANSFERASE_COMPLEX",80,0.2625,0.0875,"Down",0.001,0.0107592592592593
"GO_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_MEMBRANE",42,0.119047619047619,0.261904761904762,"Up",0.001,0.0107592592592593
"GO_NUCLEAR_MEMBRANE",253,0.256916996047431,0.16600790513834,"Down",0.001,0.0107592592592593
"GO_TRANSCRIPTION_FACTOR_COMPLEX",288,0.236111111111111,0.104166666666667,"Down",0.001,0.0107592592592593
"GO_MRNA_CLEAVAGE_FACTOR_COMPLEX",17,0.176470588235294,0,"Down",0.001,0.0107592592592593
"GO_CONDENSED_NUCLEAR_CHROMOSOME_CENTROMERIC_REGION",13,0.769230769230769,0,"Down",0.002,0.0193666666666667
"GO_NUCLEAR_INCLUSION_BODY",10,0.7,0,"Down",0.002,0.0193666666666667
"GO_CCR4_NOT_COMPLEX",13,0.692307692307692,0,"Down",0.002,0.0193666666666667
"GO_COHESIN_COMPLEX",8,0.625,0,"Down",0.002,0.0193666666666667
"GO_PERICENTRIC_HETEROCHROMATIN",13,0.615384615384615,0,"Down",0.002,0.0193666666666667
"GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",96,0.0104166666666667,0.59375,"Up",0.002,0.0193666666666667
"GO_ESC_E_Z_COMPLEX",16,0.5,0,"Down",0.002,0.0193666666666667
"GO_MITOCHONDRIAL_MEMBRANE_PART",152,0.0460526315789474,0.473684210526316,"Up",0.002,0.0193666666666667
"GO_PRONUCLEUS",15,0.466666666666667,0,"Down",0.002,0.0193666666666667
"GO_ORGANELLE_ENVELOPE_LUMEN",71,0.0704225352112676,0.408450704225352,"Up",0.002,0.0193666666666667
"GO_CONDENSED_NUCLEAR_CHROMOSOME",75,0.4,0.0533333333333333,"Down",0.002,0.0193666666666667
"GO_MICROBODY_LUMEN",45,0.0222222222222222,0.355555555555556,"Up",0.002,0.0193666666666667
"GO_SEX_CHROMOSOME",27,0.333333333333333,0.037037037037037,"Down",0.002,0.0193666666666667
"GO_NUCLEAR_MATRIX",91,0.318681318681319,0.142857142857143,"Down",0.002,0.0193666666666667
"GO_MICROBODY",126,0.0476190476190476,0.317460317460317,"Up",0.002,0.0193666666666667
"GO_NUCLEAR_BODY",325,0.307692307692308,0.12,"Down",0.002,0.0193666666666667
"GO_NUCLEAR_ENVELOPE",375,0.229333333333333,0.165333333333333,"Down",0.002,0.0193666666666667
"GO_NUCLEAR_INNER_MEMBRANE",46,0.217391304347826,0.130434782608696,"Down",0.002,0.0193666666666667
"GO_RESPIRATORY_CHAIN",73,0,0.616438356164384,"Up",0.003,0.0274056603773585
"GO_ORGANELLAR_SMALL_RIBOSOMAL_SUBUNIT",25,0.04,0.6,"Up",0.003,0.0274056603773585
"GO_BLOC_1_COMPLEX",8,0,0.5,"Up",0.003,0.0274056603773585
"GO_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",11,0,0.454545454545455,"Up",0.003,0.0274056603773585
"GO_MICROBODY_MEMBRANE",57,0.0526315789473684,0.298245614035088,"Up",0.003,0.0274056603773585
"GO_TRANS_GOLGI_NETWORK",175,0.0971428571428571,0.274285714285714,"Up",0.003,0.0274056603773585
"GO_CYTOPLASMIC_STRESS_GRANULE",31,0.258064516129032,0.032258064516129,"Down",0.003,0.0274056603773585
"GO_NUCLEAR_NUCLEOSOME",14,0.0714285714285714,0.214285714285714,"Up",0.003,0.0274056603773585
"GO_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O_",10,0,0.8,"Up",0.004,0.0312846153846154
"GO_NADH_DEHYDROGENASE_COMPLEX",41,0,0.707317073170732,"Up",0.004,0.0312846153846154
"GO_ORGANELLAR_RIBOSOME",67,0.0149253731343284,0.567164179104478,"Up",0.004,0.0312846153846154
"GO_MITOCHONDRIAL_PROTEIN_COMPLEX",124,0.0241935483870968,0.540322580645161,"Up",0.004,0.0312846153846154
"GO_OXIDOREDUCTASE_COMPLEX",91,0.032967032967033,0.461538461538462,"Up",0.004,0.0312846153846154
"GO_HOST",11,0.454545454545455,0.0909090909090909,"Down",0.004,0.0312846153846154
"GO_ACETYLTRANSFERASE_COMPLEX",83,0.325301204819277,0.0963855421686747,"Down",0.004,0.0312846153846154
"GO_PLASMA_MEMBRANE_RAFT",83,0.325301204819277,0.0481927710843374,"Down",0.004,0.0312846153846154
"GO_NUCLEAR_CHROMOSOME",447,0.324384787472036,0.116331096196868,"Down",0.004,0.0312846153846154
"GO_CHROMOSOME",767,0.319426336375489,0.11864406779661,"Down",0.004,0.0312846153846154
"GO_CYTOCHROME_COMPLEX",19,0,0.315789473684211,"Up",0.004,0.0312846153846154
"GO_DNA_PACKAGING_COMPLEX",55,0.145454545454545,0.290909090909091,"Up",0.004,0.0312846153846154
"GO_SYNAPTONEMAL_COMPLEX",32,0.375,0.03125,"Down",0.005,0.03735
"GO_MITOCHONDRION",1463,0.122351332877649,0.276828434723172,"Up",0.005,0.03735
"GO_HISTONE_DEACETYLASE_COMPLEX",57,0.263157894736842,0.140350877192982,"Down",0.005,0.03735
"GO_ENDOPLASMIC_RETICULUM_LUMEN",185,0.248648648648649,0.0918918918918919,"Down",0.005,0.03735
"GO_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_OUTER_MEMBRANE",21,0.0952380952380952,0.19047619047619,"Up",0.005,0.03735
"GO_NUCLEAR_PORE",67,0.343283582089552,0.104477611940299,"Down",0.006,0.0420460526315789
"GO_PML_BODY",92,0.315217391304348,0.0652173913043478,"Down",0.006,0.0420460526315789
"GO_SCF_UBIQUITIN_LIGASE_COMPLEX",32,0.1875,0.3125,"Up",0.006,0.0420460526315789
"GO_CHROMOCENTER",13,0.307692307692308,0,"Down",0.006,0.0420460526315789
"GO_MLL1_2_COMPLEX",25,0.24,0.12,"Down",0.006,0.0420460526315789
"GO_INTRINSIC_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",21,0.238095238095238,0,"Down",0.006,0.0420460526315789
"GO_SET1C_COMPASS_COMPLEX",10,0.3,0.1,"Down",0.007,0.0466234567901235
"GO_H4_HISTONE_ACETYLTRANSFERASE_COMPLEX",17,0.294117647058824,0.0588235294117647,"Down",0.007,0.0466234567901235
"GO_TRANS_GOLGI_NETWORK_MEMBRANE",69,0.0869565217391304,0.289855072463768,"Up",0.007,0.0466234567901235
"GO_NUCLEOPLASM_PART",635,0.274015748031496,0.129133858267717,"Down",0.007,0.0466234567901235
"GO_NUCLEAR_TRANSCRIPTION_FACTOR_COMPLEX",124,0.217741935483871,0.112903225806452,"Down",0.007,0.0466234567901235
"GO_DNA_POLYMERASE_COMPLEX",13,0.538461538461538,0.153846153846154,"Down",0.009,0.0595
"GO_CELL_SURFACE",680,0.197058823529412,0.0970588235294118,"Down",0.009,0.0595
"GO_CONDENSED_CHROMOSOME_OUTER_KINETOCHORE",11,0.818181818181818,0,"Down",0.01,0.0641802325581395
"GO_ESCRT_COMPLEX",21,0.0476190476190476,0.428571428571429,"Up",0.01,0.0641802325581395
"GO_DERLIN_1_RETROTRANSLOCATION_COMPLEX",10,0,0.2,"Up",0.01,0.0641802325581395
"GO_TELOMERE_CAP_COMPLEX",11,0.272727272727273,0.0909090909090909,"Down",0.011,0.0685449438202247
"GO_RECEPTOR_COMPLEX",318,0.238993710691824,0.10062893081761,"Down",0.011,0.0685449438202247
"GO_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX",18,0.222222222222222,0.111111111111111,"Down",0.011,0.0685449438202247
"GO_PRE_AUTOPHAGOSOMAL_STRUCTURE",28,0.107142857142857,0.357142857142857,"Up",0.012,0.072625
"GO_AUTOPHAGOSOME",74,0.0945945945945946,0.283783783783784,"Up",0.012,0.072625
"GO_MEMBRANE_MICRODOMAIN",280,0.239285714285714,0.103571428571429,"Down",0.012,0.072625
"GO_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX",18,0.0555555555555556,0.555555555555556,"Up",0.013,0.0733585858585858
"GO_AUTOPHAGOSOME_MEMBRANE",25,0.12,0.4,"Up",0.013,0.0733585858585858
"GO_CONDENSED_CHROMOSOME",173,0.393063583815029,0.0867052023121387,"Down",0.013,0.0733585858585858
"GO_AXON_CYTOPLASM",28,0.107142857142857,0.357142857142857,"Up",0.013,0.0733585858585858
"GO_PHOTORECEPTOR_DISC_MEMBRANE",16,0.3125,0,"Down",0.013,0.0733585858585858
"GO_TRICARBOXYLIC_ACID_CYCLE_ENZYME_COMPLEX",11,0,0.272727272727273,"Up",0.013,0.0733585858585858
"GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_COMPLEX",98,0.173469387755102,0.0918367346938776,"Down",0.013,0.0733585858585858
"GO_PROTEASOME_REGULATORY_PARTICLE_BASE_SUBCOMPLEX",12,0,0.583333333333333,"Up",0.014,0.0747
"GO_SPINDLE_MIDZONE",26,0.461538461538462,0.192307692307692,"Down",0.014,0.0747
"GO_ENVELOPE",975,0.150769230769231,0.292307692307692,"Up",0.014,0.0747
"GO_RNAI_EFFECTOR_COMPLEX",7,0.285714285714286,0,"Down",0.014,0.0747
"GO_CAJAL_BODY",46,0.282608695652174,0.0869565217391304,"Down",0.014,0.0747
"GO_RECYCLING_ENDOSOME",114,0.12280701754386,0.263157894736842,"Up",0.014,0.0747
"GO_CYTOSOLIC_PROTEASOME_COMPLEX",11,0,0.363636363636364,"Up",0.015,0.0780046296296296
"GO_MITOCHONDRIAL_MATRIX",380,0.0868421052631579,0.302631578947368,"Up",0.015,0.0780046296296296
"GO_EXTRACELLULAR_SPACE",1176,0.17687074829932,0.0935374149659864,"Down",0.015,0.0780046296296296
"GO_CHROMOSOME_TELOMERIC_REGION",131,0.312977099236641,0.0916030534351145,"Down",0.016,0.0818681818181818
"GO_NUCLEAR_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX",15,0.266666666666667,0.0666666666666667,"Down",0.016,0.0818681818181818
"GO_LATERAL_ELEMENT",10,0.5,0,"Down",0.017,0.0848362831858407
"GO_CLATHRIN_VESICLE_COAT",22,0.0454545454545455,0.363636363636364,"Up",0.017,0.0848362831858407
"GO_NUCLEAR_SPECK",182,0.313186813186813,0.131868131868132,"Down",0.017,0.0848362831858407
"GO_TCTN_B9D_COMPLEX",11,0.454545454545455,0.0909090909090909,"Down",0.018,0.08715
"GO_SPINDLE_MICROTUBULE",53,0.415094339622642,0.0566037735849057,"Down",0.018,0.08715
"GO_CHD_TYPE_COMPLEX",17,0.235294117647059,0.117647058823529,"Down",0.018,0.08715
"GO_FILAMENTOUS_ACTIN",19,0.421052631578947,0.210526315789474,"Down",0.019,0.08715
"GO_EXTRACELLULAR_MATRIX_COMPONENT",121,0.371900826446281,0.0578512396694215,"Down",0.019,0.08715
"GO_RIBONUCLEOPROTEIN_GRANULE",135,0.274074074074074,0.111111111111111,"Down",0.019,0.08715
"GO_PSEUDOPODIUM",16,0.1875,0.25,"Up",0.019,0.08715
"GO_TRANSFERASE_COMPLEX_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS",225,0.217777777777778,0.133333333333333,"Down",0.019,0.08715
"GO_U2_TYPE_PRESPLICEOSOME",16,0.1875,0.1875,"Down",0.019,0.08715
"GO_MRNA_CLEAVAGE_AND_POLYADENYLATION_SPECIFICITY_FACTOR_COMPLEX",12,0.0833333333333333,0,"Down",0.019,0.08715
"GO_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX",20,0,0.6,"Up",0.02,0.08715
"GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_PROTON_TRANSPORTING_DOMAIN",20,0,0.45,"Up",0.02,0.08715
"GO_SMALL_SUBUNIT_PROCESSOME",31,0.290322580645161,0.032258064516129,"Down",0.02,0.08715
"GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE",34,0.264705882352941,0.0294117647058824,"Down",0.02,0.08715
"GO_APICAL_PLASMA_MEMBRANE",280,0.221428571428571,0.103571428571429,"Down",0.02,0.08715
"GO_INTRINSIC_COMPONENT_OF_PEROXISOMAL_MEMBRANE",14,0,0.214285714285714,"Up",0.02,0.08715
"GO_PLASMA_MEMBRANE_RECEPTOR_COMPLEX",169,0.201183431952663,0.0769230769230769,"Down",0.02,0.08715
"GO_OUTER_MEMBRANE",172,0.145348837209302,0.191860465116279,"Up",0.021,0.0909198473282443
"GO_GLIAL_CELL_PROJECTION",14,0.142857142857143,0.285714285714286,"Up",0.022,0.0946325757575757
"GO_U4_U6_X_U5_TRI_SNRNP_COMPLEX",21,0.0476190476190476,0.476190476190476,"Up",0.023,0.0982894736842105
"GO_CHROMOSOME_CENTROMERIC_REGION",158,0.392405063291139,0.120253164556962,"Down",0.024,0.0989384057971014
