"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_SEMAPHORIN_RECEPTOR_ACTIVITY",11,0.818181818181818,0.0909090909090909,"Down",0.001,0.00713076923076923
"GO_OLIGOPEPTIDE_BINDING",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00713076923076923
"GO_GLUCOCORTICOID_RECEPTOR_BINDING",14,0.571428571428571,0,"Down",0.001,0.00713076923076923
"GO_TRANSCRIPTION_COFACTOR_BINDING",22,0.5,0.0454545454545455,"Down",0.001,0.00713076923076923
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS",23,0,0.478260869565217,"Up",0.001,0.00713076923076923
"GO_AU_RICH_ELEMENT_BINDING",23,0.478260869565217,0.0869565217391304,"Down",0.001,0.00713076923076923
"GO_TELOMERIC_DNA_BINDING",28,0.464285714285714,0.0714285714285714,"Down",0.001,0.00713076923076923
"GO_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE",13,0.461538461538462,0.0769230769230769,"Down",0.001,0.00713076923076923
"GO_C_ACYLTRANSFERASE_ACTIVITY",13,0,0.461538461538462,"Up",0.001,0.00713076923076923
"GO_HISTONE_KINASE_ACTIVITY",18,0.444444444444444,0.0555555555555556,"Down",0.001,0.00713076923076923
"GO_METHYLATED_HISTONE_BINDING",47,0.425531914893617,0.0638297872340425,"Down",0.001,0.00713076923076923
"GO_COA_HYDROLASE_ACTIVITY",19,0,0.421052631578947,"Up",0.001,0.00713076923076923
"GO_NUCLEAR_LOCALIZATION_SEQUENCE_BINDING",19,0.421052631578947,0.105263157894737,"Down",0.001,0.00713076923076923
"GO_RETINOID_X_RECEPTOR_BINDING",17,0.411764705882353,0,"Down",0.001,0.00713076923076923
"GO_INTRAMOLECULAR_TRANSFERASE_ACTIVITY_PHOSPHOTRANSFERASES",10,0.1,0.4,"Up",0.001,0.00713076923076923
"GO_DEAMINASE_ACTIVITY",28,0.392857142857143,0.0714285714285714,"Down",0.001,0.00713076923076923
"GO_RETINOIC_ACID_RECEPTOR_BINDING",28,0.392857142857143,0,"Down",0.001,0.00713076923076923
"GO_TRANSCRIPTION_FACTOR_ACTIVITY_DIRECT_LIGAND_REGULATED_SEQUENCE_SPECIFIC_DNA_BINDING",46,0.391304347826087,0.0217391304347826,"Down",0.001,0.00713076923076923
"GO_HMG_BOX_DOMAIN_BINDING",18,0.388888888888889,0.0555555555555556,"Down",0.001,0.00713076923076923
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_OXYGEN_AS_ACCEPTOR",13,0.384615384615385,0,"Down",0.001,0.00713076923076923
