"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_SEMAPHORIN_RECEPTOR_ACTIVITY",11,0.818181818181818,0.0909090909090909,"Down",0.001,0.00713076923076923,"ENSMUSG00000029765, ENSMUSG00000026640, ENSMUSG00000030123, ENSMUSG00000025969, ENSMUSG00000030084, ENSMUSG00000031398, ENSMUSG00000025810, ENSMUSG00000036606, ENSMUSG00000074785","Plxna4, Plxna2, Plxnd1, Nrp2, Plxna1, Plxna3, Nrp1, Plxnb2, Plxnc1"
"GO_OLIGOPEPTIDE_BINDING",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00713076923076923,"ENSMUSG00000027890, ENSMUSG00000027610, ENSMUSG00000026000, ENSMUSG00000004035, ENSMUSG00000004032, ENSMUSG00000026820, ENSMUSG00000060803","Gstm4, Gss, Lancl1, Gstm7, Gstm5, Ptges2, Gstp1"
"GO_GLUCOCORTICOID_RECEPTOR_BINDING",14,0.571428571428571,0,"Down",0.001,0.00713076923076923,"ENSMUSG00000022895, ENSMUSG00000042817, ENSMUSG00000028341, ENSMUSG00000055024, ENSMUSG00000048490, ENSMUSG00000034813, ENSMUSG00000026826","Ets2, Flt3, Nr4a3, Ep300, Nrip1, Grip1, Nr4a2"
"GO_TRANSCRIPTION_COFACTOR_BINDING",22,0.5,0.0454545454545455,"Down",0.001,0.00713076923076923,"ENSMUSG00000020166, ENSMUSG00000057133, ENSMUSG00000029127, ENSMUSG00000026349, ENSMUSG00000037791, ENSMUSG00000048756, ENSMUSG00000028341, ENSMUSG00000032238, ENSMUSG00000003032, ENSMUSG00000019768","Cnot2, Chd6, Zbtb49, Ccnt2, Phf12, Foxo3, Nr4a3, Rora, Klf4, Esr1"
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS",23,0,0.478260869565217,"Up",0.001,0.00713076923076923,"ENSMUSG00000031818, ENSMUSG00000017778, ENSMUSG00000061518, ENSMUSG00000051811, ENSMUSG00000015790, ENSMUSG00000014313, ENSMUSG00000041697, ENSMUSG00000024646, ENSMUSG00000032330, ENSMUSG00000036751, ENSMUSG00000035885","Cox4i1, Cox7c, Cox5b, Cox6b2, Surf1, Cox6c, Cox6a1, Cyb5a, Cox7a2, Cox6b1, Cox8a"
"GO_AU_RICH_ELEMENT_BINDING",23,0.478260869565217,0.0869565217391304,"Down",0.001,0.00713076923076923,"ENSMUSG00000045817, ENSMUSG00000071337, ENSMUSG00000021127, ENSMUSG00000027752, ENSMUSG00000000568, ENSMUSG00000007836","Zfp36l2, Tia1, Zfp36l1, Exosc8, Hnrnpd, Hnrnpa0"
"GO_TELOMERIC_DNA_BINDING",28,0.464285714285714,0.0714285714285714,"Down",0.001,0.00713076923076923,"ENSMUSG00000038290, ENSMUSG00000030655, ENSMUSG00000020380, ENSMUSG00000042772, ENSMUSG00000035960, ENSMUSG00000046434, ENSMUSG00000036940, ENSMUSG00000041064, ENSMUSG00000031921, ENSMUSG00000000568","Smg6, Smg1, Rad50, Smg7, Apex1, Hnrnpa1, Kdm1a, Pif1, Terf2, Hnrnpd"
"GO_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE",13,0.461538461538462,0.0769230769230769,"Down",0.001,0.00713076923076923,"ENSMUSG00000038759, ENSMUSG00000063550, ENSMUSG00000034826, ENSMUSG00000022142, ENSMUSG00000021374","Nup205, Nup98, Nup54, Nup155, Nup153"
"GO_C_ACYLTRANSFERASE_ACTIVITY",13,0,0.461538461538462,"Up",0.001,0.00713076923076923,"ENSMUSG00000021468, ENSMUSG00000006378, ENSMUSG00000028603, ENSMUSG00000023832, ENSMUSG00000036138","Sptlc1, Gcat, Scp2, Acat2, Acaa1a"
"GO_HISTONE_KINASE_ACTIVITY",18,0.444444444444444,0.0555555555555556,"Down",0.001,0.00713076923076923,"ENSMUSG00000002748, ENSMUSG00000041431, ENSMUSG00000025358, ENSMUSG00000050107, ENSMUSG00000032113, ENSMUSG00000020897, ENSMUSG00000019942","Baz1b, Ccnb1, Cdk2, Gsg2, Chek1, Aurkb, Cdk1"
"GO_METHYLATED_HISTONE_BINDING",47,0.425531914893617,0.0638297872340425,"Down",0.001,0.00713076923076923,"ENSMUSG00000025578, ENSMUSG00000017548, ENSMUSG00000029267, ENSMUSG00000001228, ENSMUSG00000025577, ENSMUSG00000031758, ENSMUSG00000021395, ENSMUSG00000026917, ENSMUSG00000026873, ENSMUSG00000031229, ENSMUSG00000079184, ENSMUSG00000043909, ENSMUSG00000029670, ENSMUSG00000029703, ENSMUSG00000053754, ENSMUSG00000034205, ENSMUSG00000047777","Cbx8, Suz12, Mtf2, Uhrf1, Cbx2, Cdyl2, Spin1, Wdr5, Phf19, Atrx, Mphosph8, Trp53bp1, Ing3, Lrwd1, Chd8, Loxl2, Phf13"
