"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS",11,0,0.818181818181818,"Up",0.001,0.00218092105263158
"REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS",10,0.1,0.8,"Up",0.001,0.00218092105263158
"REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA",9,0,0.777777777777778,"Up",0.001,0.00218092105263158
"REACTOME_PD1_SIGNALING",13,0,0.769230769230769,"Up",0.001,0.00218092105263158
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON",13,0,0.769230769230769,"Up",0.001,0.00218092105263158
"BIOCARTA_DC_PATHWAY",21,0.0476190476190476,0.761904761904762,"Up",0.001,0.00218092105263158
"KEGG_OTHER_GLYCAN_DEGRADATION",16,0,0.75,"Up",0.001,0.00218092105263158
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",27,0.0740740740740741,0.740740740740741,"Up",0.001,0.00218092105263158
"BIOCARTA_TALL1_PATHWAY",15,0.133333333333333,0.733333333333333,"Up",0.001,0.00218092105263158
"SA_MMP_CYTOKINE_CONNECTION",15,0.0666666666666667,0.733333333333333,"Up",0.001,0.00218092105263158
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",11,0.0909090909090909,0.727272727272727,"Up",0.001,0.00218092105263158
"REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA",11,0.0909090909090909,0.727272727272727,"Up",0.001,0.00218092105263158
"ST_IL_13_PATHWAY",7,0,0.714285714285714,"Up",0.001,0.00218092105263158
"KEGG_GRAFT_VERSUS_HOST_DISEASE",24,0,0.708333333333333,"Up",0.001,0.00218092105263158
"BIOCARTA_IL10_PATHWAY",17,0,0.705882352941177,"Up",0.001,0.00218092105263158
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",20,0.05,0.7,"Up",0.001,0.00218092105263158
"BIOCARTA_SODD_PATHWAY",10,0.1,0.7,"Up",0.001,0.00218092105263158
"REACTOME_REGULATION_OF_IFNG_SIGNALING",13,0,0.692307692307692,"Up",0.001,0.00218092105263158
"REACTOME_REGULATION_OF_IFNA_SIGNALING",13,0,0.692307692307692,"Up",0.001,0.00218092105263158
"KEGG_ASTHMA",22,0.0454545454545455,0.681818181818182,"Up",0.001,0.00218092105263158
"KEGG_ALLOGRAFT_REJECTION",25,0.04,0.68,"Up",0.001,0.00218092105263158
"REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE",9,0,0.666666666666667,"Up",0.001,0.00218092105263158
"BIOCARTA_NTHI_PATHWAY",23,0.0869565217391304,0.652173913043478,"Up",0.001,0.00218092105263158
"KEGG_LEISHMANIA_INFECTION",63,0.0634920634920635,0.650793650793651,"Up",0.001,0.00218092105263158
"ST_B_CELL_ANTIGEN_RECEPTOR",37,0.189189189189189,0.648648648648649,"Up",0.001,0.00218092105263158
