"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_REGULATION_OF_INTERLEUKIN_10_SECRETION",8,0,0.875,"Up",0.001,0.00257641196013289
"GO_MICROTUBULE_ANCHORING",17,0.823529411764706,0.0588235294117647,"Down",0.001,0.00257641196013289
"GO_TOLERANCE_INDUCTION",11,0.0909090909090909,0.818181818181818,"Up",0.001,0.00257641196013289
"GO_REGULATION_OF_PODOSOME_ASSEMBLY",14,0.0714285714285714,0.785714285714286,"Up",0.001,0.00257641196013289
"GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION",14,0.0714285714285714,0.785714285714286,"Up",0.001,0.00257641196013289
"GO_MYELOID_DENDRITIC_CELL_ACTIVATION",24,0.0416666666666667,0.75,"Up",0.001,0.00257641196013289
"GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",12,0,0.75,"Up",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS",12,0,0.75,"Up",0.001,0.00257641196013289
"GO_REGULATION_OF_INTERLEUKIN_8_BIOSYNTHETIC_PROCESS",12,0,0.75,"Up",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_INTERLEUKIN_2_BIOSYNTHETIC_PROCESS",12,0.0833333333333333,0.75,"Up",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",12,0.0833333333333333,0.75,"Up",0.001,0.00257641196013289
"GO_MYELOID_DENDRITIC_CELL_DIFFERENTIATION",19,0.0526315789473684,0.736842105263158,"Up",0.001,0.00257641196013289
"GO_VACUOLAR_ACIDIFICATION",15,0.0666666666666667,0.733333333333333,"Up",0.001,0.00257641196013289
"GO_PINOCYTOSIS",11,0,0.727272727272727,"Up",0.001,0.00257641196013289
"GO_CELLULAR_RESPONSE_TO_EXOGENOUS_DSRNA",11,0.0909090909090909,0.727272727272727,"Up",0.001,0.00257641196013289
"GO_REGULATION_OF_INTERLEUKIN_2_BIOSYNTHETIC_PROCESS",18,0.0555555555555556,0.722222222222222,"Up",0.001,0.00257641196013289
"GO_LYMPHOCYTE_CHEMOTAXIS",28,0.0357142857142857,0.714285714285714,"Up",0.001,0.00257641196013289
"GO_REGULATION_OF_INTERLEUKIN_1_SECRETION",28,0.0357142857142857,0.714285714285714,"Up",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_INTERLEUKIN_1_SECRETION",21,0.0476190476190476,0.714285714285714,"Up",0.001,0.00257641196013289
"GO_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00257641196013289
"GO_RESPONSE_TO_MURAMYL_DIPEPTIDE",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00257641196013289
"GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION",17,0,0.705882352941177,"Up",0.001,0.00257641196013289
"GO_MATURE_B_CELL_DIFFERENTIATION",17,0,0.705882352941177,"Up",0.001,0.00257641196013289
"GO_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY",30,0.0333333333333333,0.7,"Up",0.001,0.00257641196013289
"GO_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE",20,0.15,0.7,"Up",0.001,0.00257641196013289
"GO_REGULATION_OF_T_CELL_CHEMOTAXIS",10,0.1,0.7,"Up",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS",10,0,0.7,"Up",0.001,0.00257641196013289
"GO_NEGATIVE_REGULATION_OF_PROTEIN_ACTIVATION_CASCADE",10,0.7,0,"Down",0.001,0.00257641196013289
"GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION",33,0.0606060606060606,0.696969696969697,"Up",0.001,0.00257641196013289
"GO_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE",13,0,0.692307692307692,"Up",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS",16,0.1875,0.6875,"Up",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS",57,0.0701754385964912,0.684210526315789,"Up",0.001,0.00257641196013289
"GO_GRANULOCYTE_ACTIVATION",19,0.0526315789473684,0.684210526315789,"Up",0.001,0.00257641196013289
"GO_MYD88_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",31,0.0645161290322581,0.67741935483871,"Up",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION",24,0.0416666666666667,0.666666666666667,"Up",0.001,0.00257641196013289
"GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION",21,0,0.666666666666667,"Up",0.001,0.00257641196013289
"GO_INTERLEUKIN_1_PRODUCTION",15,0,0.666666666666667,"Up",0.001,0.00257641196013289
"GO_REGULATION_OF_INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS",15,0.0666666666666667,0.666666666666667,"Up",0.001,0.00257641196013289
"GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY",12,0,0.666666666666667,"Up",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_ERAD_PATHWAY",12,0.25,0.666666666666667,"Up",0.001,0.00257641196013289
"GO_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION",9,0,0.666666666666667,"Up",0.001,0.00257641196013289
"GO_RESPONSE_TO_PROTOZOAN",20,0.05,0.65,"Up",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",14,0,0.642857142857143,"Up",0.001,0.00257641196013289
"GO_RESPIRATORY_BURST",14,0,0.642857142857143,"Up",0.001,0.00257641196013289
"GO_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY",14,0.0714285714285714,0.642857142857143,"Up",0.001,0.00257641196013289
"GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE",25,0.64,0.04,"Down",0.001,0.00257641196013289
"GO_INTRACILIARY_TRANSPORT",25,0.64,0.04,"Down",0.001,0.00257641196013289
"GO_POSITIVE_REGULATION_OF_CELLULAR_EXTRAVASATION",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00257641196013289
