"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_REGULATION_OF_INTERLEUKIN_10_SECRETION",8,0,0.875,"Up",0.001,0.00257641196013289,"ENSMUSG00000060586, ENSMUSG00000030793, ENSMUSG00000001123, ENSMUSG00000039942, ENSMUSG00000023915","H2-Eb1, Pycard, Lgals9, Ptger4, Tnfrsf21"
"GO_MICROTUBULE_ANCHORING",17,0.823529411764706,0.0588235294117647,"Down",0.001,0.00257641196013289,"ENSMUSG00000021068, ENSMUSG00000044433, ENSMUSG00000033671, ENSMUSG00000038039, ENSMUSG00000019813, ENSMUSG00000031922, ENSMUSG00000003452, ENSMUSG00000064302, ENSMUSG00000039952, ENSMUSG00000025235, ENSMUSG00000037234, ENSMUSG00000031592, ENSMUSG00000033392","Nin, Camsap3, Cep350, Gcc2, Cep57l1, Cep57, Bicd1, Clasp1, Dag1, Bbs4, Hook3, Pcm1, Clasp2"
"GO_TOLERANCE_INDUCTION",11,0.0909090909090909,0.818181818181818,"Up",0.001,0.00257641196013289,"ENSMUSG00000024164, ENSMUSG00000042228, ENSMUSG00000020399, ENSMUSG00000026009, ENSMUSG00000002603, ENSMUSG00000001123, ENSMUSG00000040552, ENSMUSG00000019850","C3, Lyn, Havcr2, Icos, Tgfb1, Lgals9, C3ar1, Tnfaip3"
"GO_REGULATION_OF_PODOSOME_ASSEMBLY",14,0.0714285714285714,0.785714285714286,"Up",0.001,0.00257641196013289,"ENSMUSG00000003283, ENSMUSG00000024401, ENSMUSG00000014453, ENSMUSG00000029581, ENSMUSG00000021998, ENSMUSG00000018916","Hck, Tnf, Blk, Fscn1, Lcp1, Csf2"
"GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION",14,0.0714285714285714,0.785714285714286,"Up",0.001,0.00257641196013289,"ENSMUSG00000001348, ENSMUSG00000028163, ENSMUSG00000016529, ENSMUSG00000060216, ENSMUSG00000022534, ENSMUSG00000015316, ENSMUSG00000031805, ENSMUSG00000042190, ENSMUSG00000018446","Acp5, Nfkb1, Il10, Arrb2, Mefv, Slamf1, Jak3, Cmklr1, C1qbp"
"GO_MYELOID_DENDRITIC_CELL_ACTIVATION",24,0.0416666666666667,0.75,"Up",0.001,0.00257641196013289,"ENSMUSG00000002983, ENSMUSG00000018916, ENSMUSG00000039191, ENSMUSG00000022901, ENSMUSG00000034266, ENSMUSG00000026630, ENSMUSG00000032440, ENSMUSG00000019969, ENSMUSG00000035678, ENSMUSG00000015316, ENSMUSG00000030793, ENSMUSG00000020143, ENSMUSG00000030339, ENSMUSG00000004709, ENSMUSG00000002111, ENSMUSG00000021356, ENSMUSG00000002603","Relb, Csf2, Rbpj, Cd86, Batf, Batf3, Tgfbr2, Psen1, Tnfsf9, Slamf1, Pycard, Dock2, Ltbr, Cd244, Spi1, Irf4, Tgfb1"
"GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",12,0,0.75,"Up",0.001,0.00257641196013289,"ENSMUSG00000037321, ENSMUSG00000024339, ENSMUSG00000030793, ENSMUSG00000042476, ENSMUSG00000023992, ENSMUSG00000024334, ENSMUSG00000006611, ENSMUSG00000041538, ENSMUSG00000038213","Tap1, Tap2, Pycard, Abcb4, Trem2, H2-Oa, Hfe, H2-Ob, Tapbpl"
"GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS",12,0,0.75,"Up",0.001,0.00257641196013289,"ENSMUSG00000035914, ENSMUSG00000004296, ENSMUSG00000044583, ENSMUSG00000040522, ENSMUSG00000049577, ENSMUSG00000044701, ENSMUSG00000003206, ENSMUSG00000045322","Cd276, Il12b, Tlr7, Tlr8, Zfpm1, Il27, Ebi3, Tlr9"
"GO_REGULATION_OF_INTERLEUKIN_8_BIOSYNTHETIC_PROCESS",12,0,0.75,"Up",0.001,0.00257641196013289,"ENSMUSG00000024401, ENSMUSG00000027072, ENSMUSG00000040522, ENSMUSG00000044583, ENSMUSG00000039005, ENSMUSG00000053175, ENSMUSG00000005681, ENSMUSG00000020125","Tnf, Prg3, Tlr8, Tlr7, Tlr4, Bcl3, Apoa2, Elane"
"GO_POSITIVE_REGULATION_OF_INTERLEUKIN_2_BIOSYNTHETIC_PROCESS",12,0.0833333333333333,0.75,"Up",0.001,0.00257641196013289,"ENSMUSG00000027399, ENSMUSG00000036526, ENSMUSG00000020919, ENSMUSG00000022901, ENSMUSG00000075122, ENSMUSG00000021356, ENSMUSG00000023274, ENSMUSG00000032093, ENSMUSG00000027398","Il1a, Card11, Stat5b, Cd86, Cd80, Irf4, Cd4, Cd3e, Il1b"
