"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_MHC_CLASS_II_PROTEIN_COMPLEX",8,0,1,"Up",0.001,0.00377272727272727
"GO_INFLAMMASOME_COMPLEX",10,0,0.8,"Up",0.001,0.00377272727272727
"GO_MHC_PROTEIN_COMPLEX",13,0,0.769230769230769,"Up",0.001,0.00377272727272727
"GO_IMMUNOGLOBULIN_COMPLEX",13,0,0.692307692307692,"Up",0.001,0.00377272727272727
"GO_IMMUNOLOGICAL_SYNAPSE",31,0.0967741935483871,0.67741935483871,"Up",0.001,0.00377272727272727
"GO_LUMENAL_SIDE_OF_MEMBRANE",18,0.111111111111111,0.666666666666667,"Up",0.001,0.00377272727272727
"GO_PHAGOCYTIC_CUP",17,0.0588235294117647,0.647058823529412,"Up",0.001,0.00377272727272727
"GO_T_CELL_RECEPTOR_COMPLEX",19,0.0526315789473684,0.631578947368421,"Up",0.001,0.00377272727272727
"GO_BETA_CATENIN_DESTRUCTION_COMPLEX",13,0.615384615384615,0.153846153846154,"Down",0.001,0.00377272727272727
"GO_PRIMARY_LYSOSOME",13,0.0769230769230769,0.615384615384615,"Up",0.001,0.00377272727272727
"GO_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR",19,0.0526315789473684,0.578947368421053,"Up",0.001,0.00377272727272727
"GO_INTRACILIARY_TRANSPORT_PARTICLE",28,0.571428571428571,0.0357142857142857,"Down",0.001,0.00377272727272727
"GO_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX",14,0,0.571428571428571,"Up",0.001,0.00377272727272727
"GO_SPECIFIC_GRANULE",14,0.0714285714285714,0.571428571428571,"Up",0.001,0.00377272727272727
"GO_EXTERNAL_ENCAPSULATING_STRUCTURE",7,0.142857142857143,0.571428571428571,"Up",0.001,0.00377272727272727
"GO_PHAGOCYTIC_VESICLE_MEMBRANE",51,0.176470588235294,0.568627450980392,"Up",0.001,0.00377272727272727
"GO_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX",23,0.0434782608695652,0.565217391304348,"Up",0.001,0.00377272727272727
"GO_PHAGOCYTIC_VESICLE",78,0.153846153846154,0.564102564102564,"Up",0.001,0.00377272727272727
"GO_CELL_TRAILING_EDGE",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.00377272727272727
"GO_WNT_SIGNALOSOME",11,0.545454545454545,0.0909090909090909,"Down",0.001,0.00377272727272727
"GO_LYSOSOMAL_LUMEN",83,0.240963855421687,0.542168674698795,"Up",0.001,0.00377272727272727
"GO_INTRACILIARY_TRANSPORT_PARTICLE_B",17,0.529411764705882,0,"Down",0.001,0.00377272727272727
"GO_CILIARY_TIP",42,0.523809523809524,0.0476190476190476,"Down",0.001,0.00377272727272727
"GO_CILIARY_TRANSITION_ZONE",23,0.521739130434783,0.0869565217391304,"Down",0.001,0.00377272727272727
