"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_MHC_CLASS_II_PROTEIN_COMPLEX",8,0,1,"Up",0.001,0.00377272727272727,"ENSMUSG00000041538, ENSMUSG00000024334, ENSMUSG00000079547, ENSMUSG00000037649, ENSMUSG00000024610, ENSMUSG00000036594, ENSMUSG00000060586","H2-Ob, H2-Oa, H2-DMb1, H2-DMa, Cd74, H2-Aa, H2-Eb1"
"GO_INFLAMMASOME_COMPLEX",10,0,0.8,"Up",0.001,0.00377272727272727,"ENSMUSG00000022575, ENSMUSG00000033538, ENSMUSG00000037860, ENSMUSG00000070390, ENSMUSG00000030793, ENSMUSG00000039193, ENSMUSG00000032691, ENSMUSG00000025888","Gsdmd, Casp4, Aim2, Nlrp1b, Pycard, Nlrc4, Nlrp3, Casp1"
"GO_MHC_PROTEIN_COMPLEX",13,0,0.769230769230769,"Up",0.001,0.00377272727272727,"ENSMUSG00000006611, ENSMUSG00000060586, ENSMUSG00000036594, ENSMUSG00000060802, ENSMUSG00000041538, ENSMUSG00000024334, ENSMUSG00000079547, ENSMUSG00000037649, ENSMUSG00000024610","Hfe, H2-Eb1, H2-Aa, B2m, H2-Ob, H2-Oa, H2-DMb1, H2-DMa, Cd74"
"GO_IMMUNOGLOBULIN_COMPLEX",13,0,0.692307692307692,"Up",0.001,0.00377272727272727,"ENSMUSG00000003379, ENSMUSG00000104213, ENSMUSG00000021457, ENSMUSG00000075370, ENSMUSG00000076609, ENSMUSG00000040592, ENSMUSG00000095079, ENSMUSG00000076617, ENSMUSG00000104876","Cd79a, Ighd, Syk, Igll1, Igkc, Cd79b, Igha, Ighm, Trdc"
"GO_IMMUNOLOGICAL_SYNAPSE",31,0.0967741935483871,0.67741935483871,"Up",0.001,0.00377272727272727,"ENSMUSG00000019998, ENSMUSG00000025314, ENSMUSG00000036526, ENSMUSG00000037405, ENSMUSG00000030798, ENSMUSG00000056153, ENSMUSG00000020399, ENSMUSG00000030742, ENSMUSG00000022443, ENSMUSG00000029204, ENSMUSG00000024670, ENSMUSG00000040747, ENSMUSG00000030707, ENSMUSG00000015437, ENSMUSG00000050335, ENSMUSG00000023132, ENSMUSG00000032093","Stx7, Ptprj, Card11, Icam1, Cd37, Socs6, Havcr2, Lat, Myh9, Rhoh, Cd6, Cd53, Coro1a, Gzmb, Lgals3, Gzma, Cd3e"
"GO_LUMENAL_SIDE_OF_MEMBRANE",18,0.111111111111111,0.666666666666667,"Up",0.001,0.00377272727272727,"ENSMUSG00000036594, ENSMUSG00000017760, ENSMUSG00000003814, ENSMUSG00000024610, ENSMUSG00000060586, ENSMUSG00000024308, ENSMUSG00000030824","H2-Aa, Ctsa, Calr, Cd74, H2-Eb1, Tapbp, Nucb1"
"GO_PHAGOCYTIC_CUP",17,0.0588235294117647,0.647058823529412,"Up",0.001,0.00377272727272727,"ENSMUSG00000024397, ENSMUSG00000098112, ENSMUSG00000034902, ENSMUSG00000033335, ENSMUSG00000027423, ENSMUSG00000020437, ENSMUSG00000030707, ENSMUSG00000021998, ENSMUSG00000024401","Aif1, Bin2, Pip5k1c, Dnm2, Snx5, Myo1g, Coro1a, Lcp1, Tnf"
"GO_T_CELL_RECEPTOR_COMPLEX",19,0.0526315789473684,0.631578947368421,"Up",0.001,0.00377272727272727,"ENSMUSG00000004266, ENSMUSG00000026786, ENSMUSG00000023274, ENSMUSG00000032093, ENSMUSG00000021457, ENSMUSG00000053044, ENSMUSG00000036526, ENSMUSG00000002033, ENSMUSG00000054385, ENSMUSG00000024670","Ptpn6, Apbb1ip, Cd4, Cd3e, Syk, Cd8b1, Card11, Cd3g, Ceacam2, Cd6"
"GO_BETA_CATENIN_DESTRUCTION_COMPLEX",13,0.615384615384615,0.153846153846154,"Down",0.001,0.00377272727272727,"ENSMUSG00000024576, ENSMUSG00000020135, ENSMUSG00000014226, ENSMUSG00000000142, ENSMUSG00000002459, ENSMUSG00000005871, ENSMUSG00000044548","Csnk1a1, Apc2, Cacybp, Axin2, Rgs20, Apc, Dact1"
"GO_PRIMARY_LYSOSOME",13,0.0769230769230769,0.615384615384615,"Up",0.001,0.00377272727272727,"ENSMUSG00000021665, ENSMUSG00000019998, ENSMUSG00000022026, ENSMUSG00000025232, ENSMUSG00000009350, ENSMUSG00000050732","Hexb, Stx7, Olfm4, Hexa, Mpo, Vamp8"
