"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_MHC_CLASS_II_RECEPTOR_ACTIVITY",6,0,0.833333333333333,"Up",0.001,0.00417567567567568,"ENSMUSG00000024334, ENSMUSG00000041538, ENSMUSG00000036594, ENSMUSG00000060586","H2-Oa, H2-Ob, H2-Aa, H2-Eb1"
"GO_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00417567567567568,"ENSMUSG00000024673, ENSMUSG00000024334, ENSMUSG00000041538, ENSMUSG00000037649, ENSMUSG00000079547, ENSMUSG00000024610, ENSMUSG00000060586","Ms4a1, H2-Oa, H2-Ob, H2-DMa, H2-DMb1, Cd74, H2-Eb1"
"GO_IGG_BINDING",7,0,0.714285714285714,"Up",0.001,0.00417567567567568,"ENSMUSG00000026656, ENSMUSG00000015947, ENSMUSG00000058715, ENSMUSG00000059089","Fcgr2b, Fcgr1, Fcer1g, Fcgr4"
"GO_MHC_PROTEIN_COMPLEX_BINDING",16,0.0625,0.6875,"Up",0.001,0.00417567567567568,"ENSMUSG00000024334, ENSMUSG00000024673, ENSMUSG00000041538, ENSMUSG00000037649, ENSMUSG00000079547, ENSMUSG00000024610, ENSMUSG00000060586, ENSMUSG00000030165","H2-Oa, Ms4a1, H2-Ob, H2-DMa, H2-DMb1, Cd74, H2-Eb1, Klrd1"
"GO_CCR_CHEMOKINE_RECEPTOR_BINDING",25,0.04,0.68,"Up",0.001,0.00417567567567568,"ENSMUSG00000018930, ENSMUSG00000000982, ENSMUSG00000020702, ENSMUSG00000004814, ENSMUSG00000035352, ENSMUSG00000043953, ENSMUSG00000035042, ENSMUSG00000028530, ENSMUSG00000079227, ENSMUSG00000035385, ENSMUSG00000031779, ENSMUSG00000026573, ENSMUSG00000019122, ENSMUSG00000023078","Ccl4, Ccl3, Ccl1, Ccl24, Ccl12, Ccrl2, Ccl5, Jak1, Ccr5, Ccl2, Ccl22, Xcl1, Ccl9, Cxcl13"
"GO_G_PROTEIN_COUPLED_NUCLEOTIDE_RECEPTOR_ACTIVITY",12,0,0.666666666666667,"Up",0.001,0.00417567567567568,"ENSMUSG00000032860, ENSMUSG00000056529, ENSMUSG00000040229, ENSMUSG00000036353, ENSMUSG00000048779, ENSMUSG00000050075, ENSMUSG00000050921, ENSMUSG00000036362","P2ry2, Ptafr, Gpr34, P2ry12, P2ry6, Gpr171, P2ry10, P2ry13"
"GO_NEUREXIN_FAMILY_PROTEIN_BINDING",12,0.666666666666667,0.0833333333333333,"Down",0.001,0.00417567567567568,"ENSMUSG00000071862, ENSMUSG00000031302, ENSMUSG00000063887, ENSMUSG00000030616, ENSMUSG00000037852, ENSMUSG00000051790","Lrrtm2, Nlgn3, Nlgn1, Sytl2, Cpe, Nlgn2"
"GO_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY",20,0.1,0.65,"Up",0.001,0.00417567567567568,"ENSMUSG00000025804, ENSMUSG00000037944, ENSMUSG00000060509, ENSMUSG00000035448, ENSMUSG00000040899, ENSMUSG00000079227, ENSMUSG00000042262, ENSMUSG00000048521, ENSMUSG00000050232, ENSMUSG00000042190, ENSMUSG00000043953, ENSMUSG00000047880, ENSMUSG00000052336","Ccr1, Ccr7, Xcr1, Ccr3, Ccr6, Ccr5, Ccr8, Cxcr6, Cxcr3, Cmklr1, Ccrl2, Cxcr5, Cx3cr1"
"GO_SIGNALING_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY",17,0,0.647058823529412,"Up",0.001,0.00417567567567568,"ENSMUSG00000025779, ENSMUSG00000079293, ENSMUSG00000027995, ENSMUSG00000002944, ENSMUSG00000039005, ENSMUSG00000057596, ENSMUSG00000056529, ENSMUSG00000051439","Ly96, Clec7a, Tlr2, Cd36, Tlr4, Trim30d, Ptafr, Cd14"
"GO_MANNOSIDASE_ACTIVITY",14,0.142857142857143,0.642857142857143,"Up",0.001,0.00417567567567568,"ENSMUSG00000029119, ENSMUSG00000005142, ENSMUSG00000030104, ENSMUSG00000037306, ENSMUSG00000038886, ENSMUSG00000038312, ENSMUSG00000036646","Man2b2, Man2b1, Edem1, Man1c1, Man2a2, Edem2, Man1b1"
