"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"PID_BETA_CATENIN_DEG_PATHWAY",18,0,0.166666666666667,"Up",0.002,0.905853760445682
"KEGG_ETHER_LIPID_METABOLISM",29,0.0689655172413793,0.241379310344828,"Up",0.003,0.905853760445682
"PID_NETRIN_PATHWAY",32,0.0625,0.15625,"Up",0.005,0.905853760445682
"REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION",23,0,0.0869565217391304,"Up",0.006,0.905853760445682
"REACTOME_REGULATORY_RNA_PATHWAYS",20,0,0.2,"Up",0.008,0.905853760445682
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",41,0.024390243902439,0.121951219512195,"Up",0.008,0.905853760445682
"REACTOME_STRIATED_MUSCLE_CONTRACTION",26,0.307692307692308,0.0384615384615385,"Down",0.013,0.905853760445682
"PID_INTEGRIN3_PATHWAY",43,0.395348837209302,0,"Down",0.015,0.905853760445682
"PID_SYNDECAN_3_PATHWAY",16,0.0625,0.125,"Up",0.017,0.905853760445682
"REACTOME_HDL_MEDIATED_LIPID_TRANSPORT",13,0.153846153846154,0.0769230769230769,"Down",0.019,0.905853760445682
"REACTOME_MRNA_CAPPING",27,0,0.222222222222222,"Up",0.02,0.905853760445682
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS",25,0.08,0.08,"Up",0.02,0.905853760445682
"KEGG_RETINOL_METABOLISM",39,0.0769230769230769,0.0512820512820513,"Down",0.021,0.905853760445682
"REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION",23,0,0.130434782608696,"Up",0.022,0.905853760445682
"REACTOME_MICRORNA_MIRNA_BIOGENESIS",17,0,0.235294117647059,"Up",0.025,0.905853760445682
"BIOCARTA_ERYTH_PATHWAY",14,0.214285714285714,0,"Down",0.025,0.905853760445682
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS",16,0.125,0.0625,"Down",0.025,0.905853760445682
"BIOCARTA_RARRXR_PATHWAY",15,0,0.0666666666666667,"Up",0.025,0.905853760445682
"REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS",11,0.181818181818182,0,"Down",0.026,0.905853760445682
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS",11,0,0.0909090909090909,"Up",0.026,0.905853760445682
"REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS",55,0.0727272727272727,0.0363636363636364,"Down",0.026,0.905853760445682
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",17,0.235294117647059,0.0588235294117647,"Down",0.028,0.905853760445682
"REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION",19,0,0.105263157894737,"Up",0.029,0.905853760445682
"REACTOME_TRNA_AMINOACYLATION",41,0.024390243902439,0.0975609756097561,"Up",0.029,0.905853760445682
"KEGG_RNA_POLYMERASE",26,0,0.115384615384615,"Up",0.033,0.905853760445682
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS",16,0.125,0,"Down",0.035,0.905853760445682
"REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION",78,0.0128205128205128,0.0769230769230769,"Up",0.035,0.905853760445682
"REACTOME_TRANSPORT_OF_ORGANIC_ANIONS",10,0.3,0,"Down",0.036,0.905853760445682
"REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING",13,0.0769230769230769,0.230769230769231,"Up",0.036,0.905853760445682
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",35,0.171428571428571,0,"Down",0.036,0.905853760445682
"BIOCARTA_PGC1A_PATHWAY",19,0.157894736842105,0,"Down",0.037,0.905853760445682
"REACTOME_PI3K_AKT_ACTIVATION",36,0.0833333333333333,0.138888888888889,"Up",0.037,0.905853760445682
"PID_PS1_PATHWAY",45,0.0222222222222222,0.111111111111111,"Up",0.039,0.905853760445682
"ST_STAT3_PATHWAY",11,0.272727272727273,0,"Down",0.041,0.905853760445682
"REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_",34,0,0.176470588235294,"Up",0.042,0.905853760445682
"REACTOME_RNA_POL_I_TRANSCRIPTION",46,0,0.0869565217391304,"Up",0.042,0.905853760445682
"PID_ANTHRAX_PATHWAY",17,0.176470588235294,0,"Down",0.044,0.905853760445682
"REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER",23,0.0434782608695652,0.0869565217391304,"Up",0.048,0.905853760445682
"PID_REELIN_PATHWAY",29,0.103448275862069,0.137931034482759,"Up",0.049,0.905853760445682
"REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE",5,0,0.4,"Up",0.05,0.905853760445682
"REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX",27,0,0.222222222222222,"Up",0.05,0.905853760445682
"PID_ARF6_PATHWAY",34,0.205882352941176,0.0882352941176471,"Down",0.05,0.905853760445682
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",22,0.136363636363636,0,"Down",0.05,0.905853760445682
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",15,0.333333333333333,0,"Down",0.051,0.905853760445682
"REACTOME_REGULATION_OF_COMPLEMENT_CASCADE",11,0.0909090909090909,0,"Down",0.052,0.905853760445682
"BIOCARTA_ACE2_PATHWAY",13,0.384615384615385,0,"Down",0.054,0.905853760445682
"REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS",49,0.122448979591837,0.0408163265306122,"Down",0.054,0.905853760445682
"KEGG_PYRUVATE_METABOLISM",38,0.0263157894736842,0.105263157894737,"Up",0.055,0.905853760445682
