"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"PID_BETA_CATENIN_DEG_PATHWAY",18,0,0.166666666666667,"Up",0.002,0.905853760445682,"",""
"KEGG_ETHER_LIPID_METABOLISM",29,0.0689655172413793,0.241379310344828,"Up",0.003,0.905853760445682,"ENSMUSG00000042410, ENSMUSG00000042632, ENSMUSG00000009646","Agps, Pla2g6, Pla2g12b"
"PID_NETRIN_PATHWAY",32,0.0625,0.15625,"Up",0.005,0.905853760445682,"ENSMUSG00000022263, ENSMUSG00000019843","Trio, Fyn"
"REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION",23,0,0.0869565217391304,"Up",0.006,0.905853760445682,"ENSMUSG00000006599","Gtf2h1"
"REACTOME_REGULATORY_RNA_PATHWAYS",20,0,0.2,"Up",0.008,0.905853760445682,"ENSMUSG00000041415, ENSMUSG00000067150","Dicer1, Xpo5"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",41,0.024390243902439,0.121951219512195,"Up",0.008,0.905853760445682,"ENSMUSG00000028811, ENSMUSG00000022241","Yars, Tars"
"REACTOME_STRIATED_MUSCLE_CONTRACTION",26,0.307692307692308,0.0384615384615385,"Down",0.013,0.905853760445682,"ENSMUSG00000091898, ENSMUSG00000028464, ENSMUSG00000026728","Tnnc1, Tpm2, Vim"
"PID_INTEGRIN3_PATHWAY",43,0.395348837209302,0,"Down",0.015,0.905853760445682,"ENSMUSG00000031274, ENSMUSG00000002900, ENSMUSG00000028195, ENSMUSG00000031273, ENSMUSG00000000489, ENSMUSG00000024620, ENSMUSG00000061878, ENSMUSG00000032440, ENSMUSG00000001506, ENSMUSG00000029661, ENSMUSG00000028364, ENSMUSG00000017344, ENSMUSG00000032011, ENSMUSG00000040152, ENSMUSG00000017009","Col4a5, Lamb1, Cyr61, Col4a6, Pdgfb, Pdgfrb, Sphk1, Tgfbr2, Col1a1, Col1a2, Tnc, Vtn, Thy1, Thbs1, Sdc4"
"PID_SYNDECAN_3_PATHWAY",16,0.0625,0.125,"Up",0.017,0.905853760445682,"ENSMUSG00000031012, ENSMUSG00000019843","Cask, Fyn"
"REACTOME_HDL_MEDIATED_LIPID_TRANSPORT",13,0.153846153846154,0.0769230769230769,"Down",0.019,0.905853760445682,"ENSMUSG00000030111, ENSMUSG00000017754","A2m, Pltp"
"REACTOME_MRNA_CAPPING",27,0,0.222222222222222,"Up",0.02,0.905853760445682,"ENSMUSG00000006599","Gtf2h1"
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS",25,0.08,0.08,"Up",0.02,0.905853760445682,"ENSMUSG00000029781","Fkbp9"
"KEGG_RETINOL_METABOLISM",39,0.0769230769230769,0.0512820512820513,"Down",0.021,0.905853760445682,"ENSMUSG00000066026, ENSMUSG00000090145, ENSMUSG00000013584","Dhrs3, Ugt1a6b, Aldh1a2"
"REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION",23,0,0.130434782608696,"Up",0.022,0.905853760445682,"ENSMUSG00000022241, ENSMUSG00000028811","Tars, Yars"
"REACTOME_MICRORNA_MIRNA_BIOGENESIS",17,0,0.235294117647059,"Up",0.025,0.905853760445682,"ENSMUSG00000041415, ENSMUSG00000067150","Dicer1, Xpo5"
"BIOCARTA_ERYTH_PATHWAY",14,0.214285714285714,0,"Down",0.025,0.905853760445682,"ENSMUSG00000020053, ENSMUSG00000019966","Igf1, Kitl"
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS",16,0.125,0.0625,"Down",0.025,0.905853760445682,"ENSMUSG00000048583, ENSMUSG00000017493","Igf2, Igfbp4"
"BIOCARTA_RARRXR_PATHWAY",15,0,0.0666666666666667,"Up",0.025,0.905853760445682,"ENSMUSG00000029478","Ncor2"
"REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS",11,0.181818181818182,0,"Down",0.026,0.905853760445682,"ENSMUSG00000018566","Slc2a4"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS",11,0,0.0909090909090909,"Up",0.026,0.905853760445682,"",""
"REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS",55,0.0727272727272727,0.0363636363636364,"Down",0.026,0.905853760445682,"ENSMUSG00000073424, ENSMUSG00000024087, ENSMUSG00000047250, ENSMUSG00000032487","Cyp4f15, Cyp1b1, Ptgs1, Ptgs2"
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",17,0.235294117647059,0.0588235294117647,"Down",0.028,0.905853760445682,"ENSMUSG00000031980, ENSMUSG00000028024","Agt, Enpep"
