"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",14,0.285714285714286,0,"Down",0.001,0.4653
"GO_CHOLESTEROL_CATABOLIC_PROCESS",10,0.2,0,"Down",0.001,0.4653
"GO_REGULATION_OF_HISTONE_H4_ACETYLATION",11,0,0.181818181818182,"Up",0.001,0.4653
"GO_RETINOL_METABOLIC_PROCESS",27,0.148148148148148,0.0740740740740741,"Down",0.001,0.4653
"GO_STEROID_CATABOLIC_PROCESS",22,0.136363636363636,0,"Down",0.001,0.4653
"GO_PLASMA_LIPOPROTEIN_PARTICLE_REMODELING",22,0.272727272727273,0,"Down",0.002,0.678310714285714
"GO_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY",15,0,0.133333333333333,"Up",0.002,0.678310714285714
"GO_PROTEIN_PALMITOYLATION",23,0,0.347826086956522,"Up",0.003,0.678310714285714
"GO_MACROMOLECULAR_COMPLEX_REMODELING",22,0.272727272727273,0,"Down",0.003,0.678310714285714
"GO_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME",16,0.25,0.0625,"Down",0.003,0.678310714285714
"GO_POSITIVE_REGULATION_OF_VASODILATION",31,0.225806451612903,0.032258064516129,"Down",0.003,0.678310714285714
"GO_PROTEIN_K63_LINKED_DEUBIQUITINATION",22,0,0.136363636363636,"Up",0.003,0.678310714285714
"GO_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION",15,0,0.0666666666666667,"Up",0.003,0.678310714285714
"GO_REGULATION_OF_MONOCYTE_DIFFERENTIATION",13,0.384615384615385,0,"Down",0.004,0.678310714285714
"GO_PROTEIN_LIPID_COMPLEX_REMODELING",22,0.272727272727273,0,"Down",0.004,0.678310714285714
"GO_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",11,0.272727272727273,0,"Down",0.004,0.678310714285714
"GO_REVERSE_CHOLESTEROL_TRANSPORT",15,0.133333333333333,0,"Down",0.004,0.678310714285714
"GO_MYELIN_ASSEMBLY",15,0,0.466666666666667,"Up",0.005,0.678310714285714
"GO_PROTEIN_LOCALIZATION_TO_LYSOSOME",17,0,0.352941176470588,"Up",0.005,0.678310714285714
"GO_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION",16,0.25,0,"Down",0.006,0.678310714285714
"GO_REGULATION_OF_SERINE_TYPE_ENDOPEPTIDASE_ACTIVITY",11,0,0.0909090909090909,"Up",0.006,0.678310714285714
"GO_REGULATION_OF_TOR_SIGNALING",65,0,0.0461538461538462,"Up",0.006,0.678310714285714
"GO_STEROL_CATABOLIC_PROCESS",10,0.2,0,"Down",0.007,0.678310714285714
"GO_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE",20,0.1,0.15,"Up",0.007,0.678310714285714
"GO_RESPONSE_TO_METHYLMERCURY",12,0,0.5,"Up",0.008,0.678310714285714
"GO_NEGATIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION",25,0.16,0.08,"Down",0.008,0.678310714285714
"GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY",11,0,0.0909090909090909,"Up",0.008,0.678310714285714
"GO_PROTEIN_DEMANNOSYLATION",13,0,0.384615384615385,"Up",0.009,0.678310714285714
"GO_RESPONSE_TO_LEAD_ION",20,0,0.3,"Up",0.009,0.678310714285714
"GO_MRNA_CIS_SPLICING_VIA_SPLICEOSOME",16,0,0.125,"Up",0.009,0.678310714285714
"GO_POSITIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION",20,0,0.1,"Up",0.009,0.678310714285714
"GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_ENDOPEPTIDASE_ACTIVITY",11,0,0.0909090909090909,"Up",0.009,0.678310714285714
"GO_POSITIVE_REGULATION_OF_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS",11,0.0909090909090909,0.454545454545455,"Up",0.01,0.678310714285714
"GO_SULFATION",13,0,0.307692307692308,"Up",0.01,0.678310714285714
"GO_MAGNESIUM_ION_TRANSPORT",13,0.0769230769230769,0.307692307692308,"Up",0.01,0.678310714285714
"GO_PROTEIN_K48_LINKED_DEUBIQUITINATION",19,0,0.105263157894737,"Up",0.01,0.678310714285714
"GO_NEGATIVE_REGULATION_OF_LIPASE_ACTIVITY",15,0.333333333333333,0.0666666666666667,"Down",0.011,0.678310714285714
"GO_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",22,0.136363636363636,0,"Down",0.011,0.678310714285714
"GO_RESPONSE_TO_GRAVITY",10,0.1,0,"Down",0.011,0.678310714285714
"GO_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY",11,0,0.0909090909090909,"Up",0.011,0.678310714285714
"GO_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",12,0.0833333333333333,0,"Down",0.011,0.678310714285714
"GO_REGULATION_OF_FEMALE_GONAD_DEVELOPMENT",12,0.0833333333333333,0,"Down",0.011,0.678310714285714
"GO_SIALYLATION",21,0.333333333333333,0,"Down",0.012,0.678310714285714
