"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",14,0.285714285714286,0,"Down",0.001,0.4653,"ENSMUSG00000040564, ENSMUSG00000017754, ENSMUSG00000053846","Apoc1, Pltp, Lipg"
"GO_CHOLESTEROL_CATABOLIC_PROCESS",10,0.2,0,"Down",0.001,0.4653,"ENSMUSG00000026818","Cel"
"GO_REGULATION_OF_HISTONE_H4_ACETYLATION",11,0,0.181818181818182,"Up",0.001,0.4653,"ENSMUSG00000017146","Brca1"
"GO_RETINOL_METABOLIC_PROCESS",27,0.148148148148148,0.0740740740740741,"Down",0.001,0.4653,"ENSMUSG00000013584, ENSMUSG00000024087, ENSMUSG00000029134, ENSMUSG00000066026","Aldh1a2, Cyp1b1, Plb1, Dhrs3"
"GO_STEROID_CATABOLIC_PROCESS",22,0.136363636363636,0,"Down",0.001,0.4653,"ENSMUSG00000026818","Cel"
"GO_PLASMA_LIPOPROTEIN_PARTICLE_REMODELING",22,0.272727272727273,0,"Down",0.002,0.678310714285714,"ENSMUSG00000053846, ENSMUSG00000040564, ENSMUSG00000017754, ENSMUSG00000031980","Lipg, Apoc1, Pltp, Agt"
"GO_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY",15,0,0.133333333333333,"Up",0.002,0.678310714285714,"",""
"GO_PROTEIN_PALMITOYLATION",23,0,0.347826086956522,"Up",0.003,0.678310714285714,"ENSMUSG00000031823","Zdhhc7"
"GO_MACROMOLECULAR_COMPLEX_REMODELING",22,0.272727272727273,0,"Down",0.003,0.678310714285714,"ENSMUSG00000031980, ENSMUSG00000017754, ENSMUSG00000040564, ENSMUSG00000053846","Agt, Pltp, Apoc1, Lipg"
"GO_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME",16,0.25,0.0625,"Down",0.003,0.678310714285714,"ENSMUSG00000000489, ENSMUSG00000073424, ENSMUSG00000050953, ENSMUSG00000022505","Pdgfb, Cyp4f15, Gja1, Emp2"
"GO_POSITIVE_REGULATION_OF_VASODILATION",31,0.225806451612903,0.032258064516129,"Down",0.003,0.678310714285714,"ENSMUSG00000045730, ENSMUSG00000050953, ENSMUSG00000031980, ENSMUSG00000019772, ENSMUSG00000033717, ENSMUSG00000024256","Adrb2, Gja1, Agt, Vip, Adra2a, Adcyap1"
"GO_PROTEIN_K63_LINKED_DEUBIQUITINATION",22,0,0.136363636363636,"Up",0.003,0.678310714285714,"ENSMUSG00000026854","Usp20"
"GO_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION",15,0,0.0666666666666667,"Up",0.003,0.678310714285714,"",""
"GO_REGULATION_OF_MONOCYTE_DIFFERENTIATION",13,0.384615384615385,0,"Down",0.004,0.678310714285714,"ENSMUSG00000047415, ENSMUSG00000030067, ENSMUSG00000031750","Gpr68, Foxp1, Il34"
"GO_PROTEIN_LIPID_COMPLEX_REMODELING",22,0.272727272727273,0,"Down",0.004,0.678310714285714,"ENSMUSG00000040564, ENSMUSG00000017754, ENSMUSG00000053846, ENSMUSG00000031980","Apoc1, Pltp, Lipg, Agt"
"GO_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",11,0.272727272727273,0,"Down",0.004,0.678310714285714,"ENSMUSG00000024256, ENSMUSG00000000440","Adcyap1, Pparg"
"GO_REVERSE_CHOLESTEROL_TRANSPORT",15,0.133333333333333,0,"Down",0.004,0.678310714285714,"ENSMUSG00000053846","Lipg"
"GO_MYELIN_ASSEMBLY",15,0,0.466666666666667,"Up",0.005,0.678310714285714,"ENSMUSG00000030342, ENSMUSG00000026442, ENSMUSG00000030890, ENSMUSG00000041415","Cd9, Nfasc, Ilk, Dicer1"
"GO_PROTEIN_LOCALIZATION_TO_LYSOSOME",17,0,0.352941176470588,"Up",0.005,0.678310714285714,"ENSMUSG00000031438, ENSMUSG00000029426","Rnf128, Scarb2"
"GO_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION",16,0.25,0,"Down",0.006,0.678310714285714,"ENSMUSG00000032532, ENSMUSG00000057329","Cck, Bcl2"
"GO_REGULATION_OF_SERINE_TYPE_ENDOPEPTIDASE_ACTIVITY",11,0,0.0909090909090909,"Up",0.006,0.678310714285714,"ENSMUSG00000055561","Spink5"
"GO_REGULATION_OF_TOR_SIGNALING",65,0,0.0461538461538462,"Up",0.006,0.678310714285714,"ENSMUSG00000050310","Rictor"
"GO_STEROL_CATABOLIC_PROCESS",10,0.2,0,"Down",0.007,0.678310714285714,"ENSMUSG00000026818","Cel"
"GO_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE",20,0.1,0.15,"Up",0.007,0.678310714285714,"ENSMUSG00000038298, ENSMUSG00000039639","Pdzk1, Kcne1"
"GO_RESPONSE_TO_METHYLMERCURY",12,0,0.5,"Up",0.008,0.678310714285714,"ENSMUSG00000028393","Alad"
"GO_NEGATIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION",25,0.16,0.08,"Down",0.008,0.678310714285714,"ENSMUSG00000030717, ENSMUSG00000000440, ENSMUSG00000024521, ENSMUSG00000063268","Nupr1, Pparg, Pmaip1, Parp10"
"GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY",11,0,0.0909090909090909,"Up",0.008,0.678310714285714,"ENSMUSG00000055561","Spink5"
"GO_PROTEIN_DEMANNOSYLATION",13,0,0.384615384615385,"Up",0.009,0.678310714285714,"ENSMUSG00000008763","Man1a2"
"GO_RESPONSE_TO_LEAD_ION",20,0,0.3,"Up",0.009,0.678310714285714,"ENSMUSG00000006728, ENSMUSG00000059077, ENSMUSG00000028393","Cdk4, Pth, Alad"
"GO_MRNA_CIS_SPLICING_VIA_SPLICEOSOME",16,0,0.125,"Up",0.009,0.678310714285714,"",""
"GO_POSITIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION",20,0,0.1,"Up",0.009,0.678310714285714,"",""
"GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_ENDOPEPTIDASE_ACTIVITY",11,0,0.0909090909090909,"Up",0.009,0.678310714285714,"ENSMUSG00000055561","Spink5"
"GO_POSITIVE_REGULATION_OF_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS",11,0.0909090909090909,0.454545454545455,"Up",0.01,0.678310714285714,"ENSMUSG00000019429, ENSMUSG00000028698","Ffar3, Pik3r3"
"GO_SULFATION",13,0,0.307692307692308,"Up",0.01,0.678310714285714,"ENSMUSG00000047712","Ust"
"GO_MAGNESIUM_ION_TRANSPORT",13,0.0769230769230769,0.307692307692308,"Up",0.01,0.678310714285714,"",""
"GO_PROTEIN_K48_LINKED_DEUBIQUITINATION",19,0,0.105263157894737,"Up",0.01,0.678310714285714,"ENSMUSG00000026854","Usp20"
"GO_NEGATIVE_REGULATION_OF_LIPASE_ACTIVITY",15,0.333333333333333,0.0666666666666667,"Down",0.011,0.678310714285714,"ENSMUSG00000024659, ENSMUSG00000026360, ENSMUSG00000002289, ENSMUSG00000028553, ENSMUSG00000040564","Anxa1, Rgs2, Angptl4, Angptl3, Apoc1"
"GO_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",22,0.136363636363636,0,"Down",0.011,0.678310714285714,"ENSMUSG00000020053, ENSMUSG00000017493, ENSMUSG00000027643","Igf1, Igfbp4, Ghrh"
"GO_RESPONSE_TO_GRAVITY",10,0.1,0,"Down",0.011,0.678310714285714,"ENSMUSG00000021250","Fos"
"GO_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY",11,0,0.0909090909090909,"Up",0.011,0.678310714285714,"ENSMUSG00000055561","Spink5"
"GO_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",12,0.0833333333333333,0,"Down",0.011,0.678310714285714,"ENSMUSG00000000440","Pparg"
"GO_REGULATION_OF_FEMALE_GONAD_DEVELOPMENT",12,0.0833333333333333,0,"Down",0.011,0.678310714285714,"ENSMUSG00000030717","Nupr1"
"GO_SIALYLATION",21,0.333333333333333,0,"Down",0.012,0.678310714285714,"ENSMUSG00000013846, ENSMUSG00000025789, ENSMUSG00000039037","St3gal1, St8sia2, St6galnac5"
"GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",10,0.3,0,"Down",0.012,0.678310714285714,"ENSMUSG00000031980","Agt"
"GO_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY",24,0.166666666666667,0,"Down",0.012,0.678310714285714,"ENSMUSG00000031722, ENSMUSG00000026814","Hp, Eng"
"GO_PRIMARY_ALCOHOL_METABOLIC_PROCESS",43,0.116279069767442,0.0930232558139535,"Down",0.012,0.678310714285714,"ENSMUSG00000066026, ENSMUSG00000029134, ENSMUSG00000024087, ENSMUSG00000013584, ENSMUSG00000020053","Dhrs3, Plb1, Cyp1b1, Aldh1a2, Igf1"
"GO_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION",10,0,0.1,"Up",0.012,0.678310714285714,"",""
"GO_REGULATION_OF_FIBROBLAST_PROLIFERATION",78,0.205128205128205,0.0897435897435897,"Down",0.013,0.678310714285714,"ENSMUSG00000006369, ENSMUSG00000031980, ENSMUSG00000023067, ENSMUSG00000024521, ENSMUSG00000063268, ENSMUSG00000029135, ENSMUSG00000030717, ENSMUSG00000020122, ENSMUSG00000061878, ENSMUSG00000000489, ENSMUSG00000032231, ENSMUSG00000020053, ENSMUSG00000000440","Fbln1, Agt, Cdkn1a, Pmaip1, Parp10, Fosl2, Nupr1, Egfr, Sphk1, Pdgfb, Anxa2, Igf1, Pparg"
"GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION",35,0.2,0.0571428571428571,"Down",0.013,0.678310714285714,"ENSMUSG00000021390, ENSMUSG00000003032, ENSMUSG00000019772, ENSMUSG00000000440, ENSMUSG00000022206","Ogn, Klf4, Vip, Pparg, Npr3"
"GO_POSITIVE_REGULATION_OF_RNA_SPLICING",21,0,0.0952380952380952,"Up",0.013,0.678310714285714,"ENSMUSG00000069565","Dazap1"
"GO_NCRNA_TRANSCRIPTION",78,0,0.0769230769230769,"Up",0.013,0.678310714285714,"",""
"GO_REGULATION_OF_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER",20,0,0.05,"Up",0.013,0.678310714285714,"",""
"GO_BROWN_FAT_CELL_DIFFERENTIATION",29,0.344827586206897,0.0689655172413793,"Down",0.014,0.678310714285714,"ENSMUSG00000032487, ENSMUSG00000039410, ENSMUSG00000018566, ENSMUSG00000009281, ENSMUSG00000027111, ENSMUSG00000045730, ENSMUSG00000037095, ENSMUSG00000056501, ENSMUSG00000026360","Ptgs2, Prdm16, Slc2a4, Rarres2, Itga6, Adrb2, Lrg1, Cebpb, Rgs2"
"GO_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_GROWTH",12,0.25,0,"Down",0.014,0.678310714285714,"ENSMUSG00000053137, ENSMUSG00000050953, ENSMUSG00000032440","Mapk11, Gja1, Tgfbr2"
"GO_POSITIVE_REGULATION_OF_PHOSPHATASE_ACTIVITY",24,0.208333333333333,0,"Down",0.014,0.678310714285714,"ENSMUSG00000022221, ENSMUSG00000042284, ENSMUSG00000040998, ENSMUSG00000005583, ENSMUSG00000024620","Ripk3, Itga1, Npnt, Mef2c, Pdgfrb"
"GO_REGULATION_OF_BLOOD_PRESSURE",160,0.175,0.06875,"Down",0.014,0.678310714285714,"ENSMUSG00000073424, ENSMUSG00000022505, ENSMUSG00000031980, ENSMUSG00000021367, ENSMUSG00000026814, ENSMUSG00000037580, ENSMUSG00000020787, ENSMUSG00000000440, ENSMUSG00000047250, ENSMUSG00000028024, ENSMUSG00000050953, ENSMUSG00000036437, ENSMUSG00000029661, ENSMUSG00000034881, ENSMUSG00000022206, ENSMUSG00000045730, ENSMUSG00000049796, ENSMUSG00000000489, ENSMUSG00000032487, ENSMUSG00000000530, ENSMUSG00000021647, ENSMUSG00000027568","Cyp4f15, Emp2, Agt, Edn1, Eng, Gch1, P2rx1, Pparg, Ptgs1, Enpep, Gja1, Npy1r, Col1a2, Tbxa2r, Npr3, Adrb2, Crh, Pdgfb, Ptgs2, Acvrl1, Cartpt, Ntsr1"
"GO_REGULATION_OF_HYDROGEN_PEROXIDE_METABOLIC_PROCESS",14,0.142857142857143,0.0714285714285714,"Down",0.014,0.678310714285714,"ENSMUSG00000031722","Hp"
"GO_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION",47,0.191489361702128,0,"Down",0.015,0.678310714285714,"ENSMUSG00000009281, ENSMUSG00000000440, ENSMUSG00000020053, ENSMUSG00000030792, ENSMUSG00000032487, ENSMUSG00000039410, ENSMUSG00000041380, ENSMUSG00000056501","Rarres2, Pparg, Igf1, Dkkl1, Ptgs2, Prdm16, Htr2c, Cebpb"
"GO_MITOCHONDRIAL_RNA_PROCESSING",11,0,0.181818181818182,"Up",0.015,0.678310714285714,"ENSMUSG00000028653","Trit1"
"GO_GOLGI_TO_VACUOLE_TRANSPORT",24,0,0.166666666666667,"Up",0.015,0.678310714285714,"",""
"GO_NEGATIVE_REGULATION_OF_PROTEIN_OLIGOMERIZATION",11,0,0,"Down",0.015,0.678310714285714,"",""
"GO_PROTEIN_ALPHA_1_2_DEMANNOSYLATION",13,0,0.384615384615385,"Up",0.016,0.678310714285714,"ENSMUSG00000008763","Man1a2"
"GO_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS",9,0.333333333333333,0,"Down",0.016,0.678310714285714,"ENSMUSG00000000530, ENSMUSG00000000555","Acvrl1, Itga5"
"GO_S_ADENOSYLMETHIONINE_METABOLIC_PROCESS",17,0.0588235294117647,0.235294117647059,"Up",0.016,0.678310714285714,"",""
"GO_ENDOPLASMIC_RETICULUM_ORGANIZATION",35,0,0.142857142857143,"Up",0.016,0.678310714285714,"ENSMUSG00000020671","Rab10"
"GO_VASODILATION",26,0.269230769230769,0,"Down",0.017,0.678310714285714,"ENSMUSG00000045730, ENSMUSG00000037580, ENSMUSG00000026360, ENSMUSG00000042284, ENSMUSG00000031980, ENSMUSG00000030247","Adrb2, Gch1, Rgs2, Itga1, Agt, Kcnj8"
"GO_POSITIVE_REGULATION_OF_VASOCONSTRICTION",35,0.257142857142857,0.0285714285714286,"Down",0.017,0.678310714285714,"ENSMUSG00000050953, ENSMUSG00000032487, ENSMUSG00000029084, ENSMUSG00000036437, ENSMUSG00000037405, ENSMUSG00000047250, ENSMUSG00000034881, ENSMUSG00000040016","Gja1, Ptgs2, Cd38, Npy1r, Icam1, Ptgs1, Tbxa2r, Ptger3"
"GO_DIGESTIVE_SYSTEM_PROCESS",58,0.189655172413793,0.0344827586206897,"Down",0.017,0.678310714285714,"ENSMUSG00000002944, ENSMUSG00000022206, ENSMUSG00000033717, ENSMUSG00000039005, ENSMUSG00000052397, ENSMUSG00000009545, ENSMUSG00000026818","Cd36, Npr3, Adra2a, Tlr4, Ezr, Kcnq1, Cel"
"GO_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",91,0.153846153846154,0.021978021978022,"Down",0.017,0.678310714285714,"ENSMUSG00000069917, ENSMUSG00000053617, ENSMUSG00000024521, ENSMUSG00000019577, ENSMUSG00000057329, ENSMUSG00000021367, ENSMUSG00000024087, ENSMUSG00000063558, ENSMUSG00000028195, ENSMUSG00000000489, ENSMUSG00000019997, ENSMUSG00000037580, ENSMUSG00000072941","Hba-a2, Sh3pxd2a, Pmaip1, Pdk4, Bcl2, Edn1, Cyp1b1, Aox1, Cyr61, Pdgfb, Ctgf, Gch1, Sod3"
"GO_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION",19,0.315789473684211,0,"Down",0.018,0.678310714285714,"ENSMUSG00000031980, ENSMUSG00000049892, ENSMUSG00000028004, ENSMUSG00000002944, ENSMUSG00000049001, ENSMUSG00000034701","Agt, Rasd1, Npy2r, Cd36, Ndnf, Neurod1"
"GO_METHIONINE_BIOSYNTHETIC_PROCESS",14,0,0.285714285714286,"Up",0.018,0.678310714285714,"ENSMUSG00000062937","Mtap"
