"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_EARLY_ENDOSOME_MEMBRANE",97,0.0618556701030928,0.175257731958763,"Up",0.003,0.9545
"GO_NPBAF_COMPLEX",12,0,0.25,"Up",0.004,0.9545
"GO_RNAI_EFFECTOR_COMPLEX",7,0,0.285714285714286,"Up",0.009,0.9545
"GO_PLATELET_ALPHA_GRANULE_LUMEN",51,0.254901960784314,0.0392156862745098,"Down",0.011,0.9545
"GO_MULTIVESICULAR_BODY",35,0.285714285714286,0.0857142857142857,"Down",0.013,0.9545
"GO_U2_TYPE_SPLICEOSOMAL_COMPLEX",28,0,0.107142857142857,"Up",0.013,0.9545
"GO_CHD_TYPE_COMPLEX",17,0,0.0588235294117647,"Up",0.013,0.9545
"GO_HOLO_TFIIH_COMPLEX",12,0,0.25,"Up",0.016,0.9545
"GO_PRESPLICEOSOME",21,0,0.0952380952380952,"Up",0.018,0.9545
"GO_PLATELET_ALPHA_GRANULE",71,0.225352112676056,0.0704225352112676,"Down",0.02,0.9545
"GO_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX",11,0,0.181818181818182,"Up",0.02,0.9545
"GO_BLOOD_MICROPARTICLE",111,0.117117117117117,0.018018018018018,"Down",0.022,0.9545
"GO_MYOFILAMENT",24,0.166666666666667,0.0833333333333333,"Down",0.024,0.9545
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",22,0.136363636363636,0.0454545454545455,"Down",0.027,0.9545
"GO_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX",18,0,0.333333333333333,"Up",0.03,0.9545
"GO_SECRETORY_GRANULE_LUMEN",75,0.213333333333333,0.0933333333333333,"Down",0.03,0.9545
"GO_ENDORIBONUCLEASE_COMPLEX",17,0,0.176470588235294,"Up",0.032,0.9545
"GO_COATED_PIT",64,0.078125,0.171875,"Up",0.032,0.9545
"GO_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE",18,0.111111111111111,0.0555555555555556,"Down",0.034,0.9545
"GO_DNA_DIRECTED_RNA_POLYMERASE_III_COMPLEX",18,0,0.111111111111111,"Up",0.035,0.9545
"GO_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE",18,0.111111111111111,0.0555555555555556,"Down",0.035,0.9545
"GO_CHYLOMICRON",12,0.166666666666667,0,"Down",0.037,0.963931818181818
"GO_COMPACT_MYELIN",14,0.0714285714285714,0.357142857142857,"Up",0.046,0.975782051282051
"GO_MHC_CLASS_I_PROTEIN_COMPLEX",5,0.2,0,"Down",0.046,0.975782051282051
"GO_EXTRACELLULAR_SPACE",1176,0.13265306122449,0.0688775510204082,"Down",0.046,0.975782051282051
"GO_VESICLE_LUMEN",94,0.223404255319149,0.0957446808510638,"Down",0.048,0.975782051282051
"GO_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK",11,0,0.0909090909090909,"Up",0.048,0.975782051282051
"GO_MEDIATOR_COMPLEX",34,0.0294117647058824,0.0882352941176471,"Up",0.048,0.975782051282051
"GO_CELL_TRAILING_EDGE",11,0.181818181818182,0,"Down",0.051,0.975782051282051
"GO_MEMBRANE_MICRODOMAIN",280,0.192857142857143,0.0678571428571429,"Down",0.052,0.975782051282051
"GO_DERLIN_1_RETROTRANSLOCATION_COMPLEX",10,0,0.2,"Up",0.056,0.975782051282051
