"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_S_ACYLTRANSFERASE_ACTIVITY",28,0,0.214285714285714,"Up",0.002,0.69525
"GO_PALMITOYLTRANSFERASE_ACTIVITY",34,0,0.176470588235294,"Up",0.002,0.69525
"GO_LIPASE_INHIBITOR_ACTIVITY",15,0.466666666666667,0,"Down",0.006,0.784639285714286
"GO_STEROID_BINDING",87,0.114942528735632,0.0229885057471264,"Down",0.008,0.784639285714286
"GO_PHOSPHOLIPASE_INHIBITOR_ACTIVITY",11,0.636363636363636,0,"Down",0.011,0.784639285714286
"GO_POLYSACCHARIDE_BINDING",20,0.25,0.05,"Down",0.012,0.784639285714286
"GO_SIALYLTRANSFERASE_ACTIVITY",21,0.333333333333333,0,"Down",0.014,0.784639285714286
"GO_MONOCARBOXYLIC_ACID_BINDING",54,0.222222222222222,0.037037037037037,"Down",0.015,0.784639285714286
"GO_RIBOSOME_BINDING",42,0.0476190476190476,0.119047619047619,"Up",0.018,0.784639285714286
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS",191,0.0261780104712042,0.0994764397905759,"Up",0.018,0.784639285714286
"GO_NEUROPEPTIDE_RECEPTOR_BINDING",27,0.185185185185185,0.037037037037037,"Down",0.019,0.784639285714286
"GO_TRIGLYCERIDE_LIPASE_ACTIVITY",18,0.166666666666667,0.0555555555555556,"Down",0.019,0.784639285714286
"GO_BETA_2_MICROGLOBULIN_BINDING",5,0.4,0,"Down",0.021,0.784639285714286
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",22,0.227272727272727,0,"Down",0.021,0.784639285714286
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY",46,0.195652173913043,0,"Down",0.022,0.784639285714286
"GO_INTEGRIN_BINDING",101,0.306930693069307,0.0693069306930693,"Down",0.023,0.784639285714286
"GO_GTPASE_INHIBITOR_ACTIVITY",14,0,0.285714285714286,"Up",0.023,0.784639285714286
"GO_RNA_POLYMERASE_III_ACTIVITY",18,0,0.111111111111111,"Up",0.024,0.784639285714286
"GO_ORGANOPHOSPHATE_ESTER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",21,0,0.238095238095238,"Up",0.025,0.784639285714286
"GO_PHOSPHATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",28,0,0.178571428571429,"Up",0.027,0.784639285714286
"GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS",44,0.0227272727272727,0.113636363636364,"Up",0.027,0.784639285714286
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS",221,0.0361990950226244,0.108597285067873,"Up",0.027,0.784639285714286
"GO_MAGNESIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",16,0.0625,0.3125,"Up",0.028,0.784639285714286
"GO_ICOSANOID_RECEPTOR_ACTIVITY",13,0.461538461538462,0,"Down",0.029,0.784639285714286
"GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY",27,0.037037037037037,0.148148148148148,"Up",0.029,0.784639285714286
"GO_SCAVENGER_RECEPTOR_ACTIVITY",38,0.236842105263158,0.0789473684210526,"Down",0.03,0.784639285714286
