"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_S_ACYLTRANSFERASE_ACTIVITY",28,0,0.214285714285714,"Up",0.002,0.69525,"ENSMUSG00000031823, ENSMUSG00000006463","Zdhhc7, Zdhhc24"
"GO_PALMITOYLTRANSFERASE_ACTIVITY",34,0,0.176470588235294,"Up",0.002,0.69525,"ENSMUSG00000031823, ENSMUSG00000006463","Zdhhc7, Zdhhc24"
"GO_LIPASE_INHIBITOR_ACTIVITY",15,0.466666666666667,0,"Down",0.006,0.784639285714286,"ENSMUSG00000040564, ENSMUSG00000024659, ENSMUSG00000028553, ENSMUSG00000032231, ENSMUSG00000029484, ENSMUSG00000029994","Apoc1, Anxa1, Angptl3, Anxa2, Anxa3, Anxa4"
"GO_STEROID_BINDING",87,0.114942528735632,0.0229885057471264,"Down",0.008,0.784639285714286,"ENSMUSG00000046532, ENSMUSG00000021069, ENSMUSG00000037348, ENSMUSG00000020053, ENSMUSG00000046027, ENSMUSG00000028222","Ar, Pygl, Paqr7, Igf1, Stard5, Calb1"
"GO_PHOSPHOLIPASE_INHIBITOR_ACTIVITY",11,0.636363636363636,0,"Down",0.011,0.784639285714286,"ENSMUSG00000032231, ENSMUSG00000040564, ENSMUSG00000029994, ENSMUSG00000028553, ENSMUSG00000024659, ENSMUSG00000029484","Anxa2, Apoc1, Anxa4, Angptl3, Anxa1, Anxa3"
"GO_POLYSACCHARIDE_BINDING",20,0.25,0.05,"Down",0.012,0.784639285714286,"ENSMUSG00000017344, ENSMUSG00000022468, ENSMUSG00000028776, ENSMUSG00000047963","Vtn, Endou, Tinagl1, Stbd1"
"GO_SIALYLTRANSFERASE_ACTIVITY",21,0.333333333333333,0,"Down",0.014,0.784639285714286,"ENSMUSG00000013846, ENSMUSG00000025789, ENSMUSG00000039037","St3gal1, St8sia2, St6galnac5"
"GO_MONOCARBOXYLIC_ACID_BINDING",54,0.222222222222222,0.037037037037037,"Down",0.015,0.784639285714286,"ENSMUSG00000032291, ENSMUSG00000021069, ENSMUSG00000046027, ENSMUSG00000090145, ENSMUSG00000000440, ENSMUSG00000040564","Crabp1, Pygl, Stard5, Ugt1a6b, Pparg, Apoc1"
"GO_RIBOSOME_BINDING",42,0.0476190476190476,0.119047619047619,"Up",0.018,0.784639285714286,"ENSMUSG00000039782, ENSMUSG00000050310, ENSMUSG00000018446","Cpeb2, Rictor, C1qbp"
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS",191,0.0261780104712042,0.0994764397905759,"Up",0.018,0.784639285714286,"ENSMUSG00000006463, ENSMUSG00000041220, ENSMUSG00000059288, ENSMUSG00000000340, ENSMUSG00000031823, ENSMUSG00000041653","Zdhhc24, Elovl6, Cdyl, Dbt, Zdhhc7, Pnpla3"
"GO_NEUROPEPTIDE_RECEPTOR_BINDING",27,0.185185185185185,0.037037037037037,"Down",0.019,0.784639285714286,"ENSMUSG00000021367, ENSMUSG00000024256, ENSMUSG00000049796, ENSMUSG00000027643","Edn1, Adcyap1, Crh, Ghrh"
"GO_TRIGLYCERIDE_LIPASE_ACTIVITY",18,0.166666666666667,0.0555555555555556,"Down",0.019,0.784639285714286,"ENSMUSG00000053846, ENSMUSG00000026818","Lipg, Cel"
"GO_BETA_2_MICROGLOBULIN_BINDING",5,0.4,0,"Down",0.021,0.784639285714286,"ENSMUSG00000028076, ENSMUSG00000003420","Cd1d1, Fcgrt"
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",22,0.227272727272727,0,"Down",0.021,0.784639285714286,"ENSMUSG00000062210, ENSMUSG00000032000","Tnfaip8, Birc3"
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY",46,0.195652173913043,0,"Down",0.022,0.784639285714286,"ENSMUSG00000020415, ENSMUSG00000017723, ENSMUSG00000062210, ENSMUSG00000021585, ENSMUSG00000032000","Pttg1, Wfdc2, Tnfaip8, Cast, Birc3"
"GO_INTEGRIN_BINDING",101,0.306930693069307,0.0693069306930693,"Down",0.023,0.784639285714286,"ENSMUSG00000040998, ENSMUSG00000040152, ENSMUSG00000037362, ENSMUSG00000019997, ENSMUSG00000067586, ENSMUSG00000034127, ENSMUSG00000037405, ENSMUSG00000027111, ENSMUSG00000052911, ENSMUSG00000020053, ENSMUSG00000019820, ENSMUSG00000001014, ENSMUSG00000028195, ENSMUSG00000014852, ENSMUSG00000032011, ENSMUSG00000015647, ENSMUSG00000000392, ENSMUSG00000022505, ENSMUSG00000006369, ENSMUSG00000026971, ENSMUSG00000017344, ENSMUSG00000021457, ENSMUSG00000015143, ENSMUSG00000000555, ENSMUSG00000033327, ENSMUSG00000005124, ENSMUSG00000028553, ENSMUSG00000026043","Npnt, Thbs1, Nov, Ctgf, S1pr3, Tspan8, Icam1, Itga6, Lamb2, Igf1, Utrn, Icam4, Cyr61, Adamts13, Thy1, Lama5, Fap, Emp2, Fbln1, Itgb6, Vtn, Syk, Actn1, Itga5, Tnxb, Wisp1, Angptl3, Col3a1"
"GO_GTPASE_INHIBITOR_ACTIVITY",14,0,0.285714285714286,"Up",0.023,0.784639285714286,"ENSMUSG00000039782","Cpeb2"
"GO_RNA_POLYMERASE_III_ACTIVITY",18,0,0.111111111111111,"Up",0.024,0.784639285714286,"",""
"GO_ORGANOPHOSPHATE_ESTER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",21,0,0.238095238095238,"Up",0.025,0.784639285714286,"ENSMUSG00000028521, ENSMUSG00000060181","Slc35d1, Slc35e3"
"GO_PHOSPHATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",28,0,0.178571428571429,"Up",0.027,0.784639285714286,"ENSMUSG00000028521, ENSMUSG00000060181","Slc35d1, Slc35e3"
"GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS",44,0.0227272727272727,0.113636363636364,"Up",0.027,0.784639285714286,"ENSMUSG00000028811, ENSMUSG00000022241","Yars, Tars"
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS",221,0.0361990950226244,0.108597285067873,"Up",0.027,0.784639285714286,"ENSMUSG00000059288, ENSMUSG00000006463, ENSMUSG00000041220, ENSMUSG00000079103, ENSMUSG00000010914, ENSMUSG00000041653, ENSMUSG00000000340, ENSMUSG00000031823","Cdyl, Zdhhc24, Elovl6, Tgm7, Pdhx, Pnpla3, Dbt, Zdhhc7"
"GO_MAGNESIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",16,0.0625,0.3125,"Up",0.028,0.784639285714286,"",""
"GO_ICOSANOID_RECEPTOR_ACTIVITY",13,0.461538461538462,0,"Down",0.029,0.784639285714286,"ENSMUSG00000000440, ENSMUSG00000040016, ENSMUSG00000028036, ENSMUSG00000034881","Pparg, Ptger3, Ptgfr, Tbxa2r"
"GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY",27,0.037037037037037,0.148148148148148,"Up",0.029,0.784639285714286,"ENSMUSG00000026113, ENSMUSG00000032737","Inpp4a, Inppl1"
"GO_SCAVENGER_RECEPTOR_ACTIVITY",38,0.236842105263158,0.0789473684210526,"Down",0.03,0.784639285714286,"ENSMUSG00000035459, ENSMUSG00000036103, ENSMUSG00000034205, ENSMUSG00000024670, ENSMUSG00000022468, ENSMUSG00000033880, ENSMUSG00000028776, ENSMUSG00000017344","Stab2, Colec12, Loxl2, Cd6, Endou, Lgals3bp, Tinagl1, Vtn"
"GO_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY",13,0,0.153846153846154,"Up",0.033,0.784639285714286,"ENSMUSG00000059890, ENSMUSG00000020134","Ube4a, Peli1"
"GO_FAD_BINDING",14,0.142857142857143,0.285714285714286,"Up",0.034,0.784639285714286,"ENSMUSG00000051586, ENSMUSG00000020777, ENSMUSG00000042410","Mical3, Acox1, Agps"
"GO_PROTEIN_LIPID_COMPLEX_BINDING",23,0.260869565217391,0.130434782608696,"Down",0.035,0.784639285714286,"ENSMUSG00000002944, ENSMUSG00000040152, ENSMUSG00000036103, ENSMUSG00000035459","Cd36, Thbs1, Colec12, Stab2"
"GO_FATTY_ACID_BINDING",28,0.25,0.0714285714285714,"Down",0.035,0.784639285714286,"ENSMUSG00000040564, ENSMUSG00000000440","Apoc1, Pparg"
"GO_OMEGA_PEPTIDASE_ACTIVITY",15,0.0666666666666667,0.2,"Up",0.035,0.784639285714286,"ENSMUSG00000032086","Bace1"
"GO_PSEUDOURIDINE_SYNTHASE_ACTIVITY",13,0,0.153846153846154,"Up",0.036,0.784639285714286,"ENSMUSG00000057541","Pus7"
"GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_BINDING",15,0.266666666666667,0.133333333333333,"Down",0.037,0.784639285714286,"ENSMUSG00000040152, ENSMUSG00000035459, ENSMUSG00000036103, ENSMUSG00000002944","Thbs1, Stab2, Colec12, Cd36"
"GO_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY",25,0,0.12,"Up",0.037,0.784639285714286,"ENSMUSG00000041653","Pnpla3"
"GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY",17,0.117647058823529,0,"Down",0.038,0.784639285714286,"ENSMUSG00000020614, ENSMUSG00000048583","Fam20a, Igf2"
"GO_LIGASE_REGULATOR_ACTIVITY",12,0.166666666666667,0,"Down",0.039,0.784639285714286,"ENSMUSG00000028086","Fbxw7"
"GO_ARMADILLO_REPEAT_DOMAIN_BINDING",13,0,0.230769230769231,"Up",0.04,0.784639285714286,"ENSMUSG00000024077, ENSMUSG00000024985, ENSMUSG00000030374","Strn, Tcf7l2, Strn4"
"GO_AMINOACYL_TRNA_EDITING_ACTIVITY",9,0,0,"Up",0.04,0.784639285714286,"",""
"GO_RNA_POLYMERASE_ACTIVITY",40,0,0.15,"Up",0.043,0.784639285714286,"",""
"GO_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",17,0,0.294117647058824,"Up",0.044,0.784639285714286,"ENSMUSG00000060181, ENSMUSG00000028521","Slc35e3, Slc35d1"
"GO_CARBOHYDRATE_DERIVATIVE_TRANSPORTER_ACTIVITY",33,0.0303030303030303,0.212121212121212,"Up",0.045,0.784639285714286,"ENSMUSG00000028521, ENSMUSG00000060181","Slc35d1, Slc35e3"
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR",38,0.131578947368421,0,"Down",0.045,0.784639285714286,"ENSMUSG00000008540, ENSMUSG00000064065, ENSMUSG00000032487, ENSMUSG00000069917, ENSMUSG00000047250","Mgst1, Ipcef1, Ptgs2, Hba-a2, Ptgs1"
"GO_CHANNEL_INHIBITOR_ACTIVITY",34,0.235294117647059,0.0294117647058824,"Down",0.046,0.784639285714286,"ENSMUSG00000057329, ENSMUSG00000030102, ENSMUSG00000050732","Bcl2, Itpr1, Vamp8"
"GO_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_BINDING",33,0.212121212121212,0.0303030303030303,"Down",0.046,0.784639285714286,"ENSMUSG00000017817, ENSMUSG00000028159, ENSMUSG00000024451, ENSMUSG00000020709, ENSMUSG00000018001, ENSMUSG00000018417","Jph2, Dapp1, Arap3, Adap2, Cyth3, Myo1b"
"GO_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_3_PHOSPHATASE_ACTIVITY",10,0,0.1,"Up",0.049,0.784639285714286,"",""
"GO_FIBRONECTIN_BINDING",26,0.192307692307692,0.0769230769230769,"Down",0.052,0.784639285714286,"ENSMUSG00000040152, ENSMUSG00000022665, ENSMUSG00000019997, ENSMUSG00000006369, ENSMUSG00000017009","Thbs1, Ccdc80, Ctgf, Fbln1, Sdc4"
"GO_RNA_CAP_BINDING",10,0,0.2,"Up",0.053,0.784639285714286,"",""
"GO_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",18,0.0555555555555556,0.166666666666667,"Up",0.053,0.784639285714286,"ENSMUSG00000067276, ENSMUSG00000043705","Capn6, Capn13"
"GO_PHOSPHATASE_ACTIVITY",243,0.0946502057613169,0.135802469135802,"Up",0.053,0.784639285714286,"ENSMUSG00000007564, ENSMUSG00000041836, ENSMUSG00000032737, ENSMUSG00000034616, ENSMUSG00000022052, ENSMUSG00000022770, ENSMUSG00000031383, ENSMUSG00000026113, ENSMUSG00000027784","Ppp2r1a, Ptpre, Inppl1, Ssh3, Ppp2r2a, Dlg1, Dusp9, Inpp4a, Ppm1l"
"GO_VOLTAGE_GATED_ANION_CHANNEL_ACTIVITY",16,0,0.125,"Up",0.053,0.784639285714286,"ENSMUSG00000000605","Clcn4"
"GO_SEMAPHORIN_RECEPTOR_BINDING",22,0.0454545454545455,0.318181818181818,"Up",0.054,0.784639285714286,"ENSMUSG00000022231, ENSMUSG00000000627, ENSMUSG00000021451, ENSMUSG00000063531","Sema5a, Sema4f, Sema4d, Sema3e"
"GO_GROWTH_FACTOR_ACTIVITY",152,0.197368421052632,0.0592105263157895,"Down",0.054,0.784639285714286,"ENSMUSG00000020053, ENSMUSG00000029378, ENSMUSG00000032726, ENSMUSG00000048482, ENSMUSG00000021390, ENSMUSG00000019997, ENSMUSG00000074063, ENSMUSG00000070368, ENSMUSG00000059654, ENSMUSG00000004791, ENSMUSG00000021943, ENSMUSG00000031980, ENSMUSG00000039004, ENSMUSG00000001131, ENSMUSG00000037428, ENSMUSG00000022468, ENSMUSG00000037362, ENSMUSG00000019966, ENSMUSG00000000489, ENSMUSG00000109523, ENSMUSG00000028864, ENSMUSG00000028553, ENSMUSG00000031750, ENSMUSG00000031137, ENSMUSG00000048583","Igf1, Areg, Bmp8a, Bdnf, Ogn, Ctgf, Osgin1, Prok1, Reg1, Pgf, Gdf10, Agt, Bmp6, Timp1, Vgf, Endou, Nov, Kitl, Pdgfb, Gdf1, Hgf, Angptl3, Il34, Fgf13, Igf2"
"GO_ACETYLTRANSFERASE_ACTIVITY",91,0.010989010989011,0.0549450549450549,"Up",0.054,0.784639285714286,"ENSMUSG00000059288","Cdyl"
"GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",15,0.333333333333333,0,"Down",0.055,0.784639285714286,"ENSMUSG00000063796, ENSMUSG00000038963, ENSMUSG00000024650, ENSMUSG00000032548, ENSMUSG00000030235","Slc22a8, Slco4a1, Slc22a6, Slco2a1, Slco1c1"
"GO_CHOLESTEROL_TRANSPORTER_ACTIVITY",12,0.0833333333333333,0,"Down",0.055,0.784639285714286,"",""
"GO_TRNA_BINDING",41,0.024390243902439,0.0731707317073171,"Up",0.055,0.784639285714286,"ENSMUSG00000067150, ENSMUSG00000028811","Xpo5, Yars"
"GO_IRON_ION_BINDING",129,0.124031007751938,0.062015503875969,"Down",0.057,0.784639285714286,"ENSMUSG00000069917, ENSMUSG00000031209, ENSMUSG00000001348, ENSMUSG00000026822, ENSMUSG00000073424, ENSMUSG00000063558, ENSMUSG00000018906, ENSMUSG00000073063, ENSMUSG00000041660, ENSMUSG00000024066, ENSMUSG00000024087","Hba-a2, Heph, Acp5, Lcn2, Cyp4f15, Aox1, P4ha2, Hbq1b, Bbox1, Xdh, Cyp1b1"
"GO_QUINONE_BINDING",13,0,0.0769230769230769,"Up",0.058,0.784639285714286,"",""
"GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",17,0.352941176470588,0.0588235294117647,"Down",0.059,0.784639285714286,"ENSMUSG00000052430, ENSMUSG00000000530, ENSMUSG00000032440, ENSMUSG00000026814, ENSMUSG00000023047","Bmpr1b, Acvrl1, Tgfbr2, Eng, Amhr2"
"GO_MONOSACCHARIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",19,0.157894736842105,0.0526315789473684,"Down",0.059,0.784639285714286,"ENSMUSG00000018566","Slc2a4"
"GO_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY",29,0.241379310344828,0.0344827586206897,"Down",0.061,0.784639285714286,"ENSMUSG00000004951, ENSMUSG00000023067, ENSMUSG00000061718, ENSMUSG00000045671","Hspb1, Cdkn1a, Ppp1r1b, Spred2"
"GO_NUCLEOBASE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",29,0.0344827586206897,0.172413793103448,"Up",0.062,0.784639285714286,"ENSMUSG00000060181, ENSMUSG00000028521","Slc35e3, Slc35d1"
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_REGULATOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",38,0.184210526315789,0.0263157894736842,"Down",0.064,0.784639285714286,"ENSMUSG00000032359, ENSMUSG00000062210, ENSMUSG00000025888, ENSMUSG00000032000","Ctsh, Tnfaip8, Casp1, Birc3"
"GO_ARYLSULFATASE_ACTIVITY",8,0,0.25,"Up",0.066,0.784639285714286,"",""
"GO_PHOSPHATIDYLINOSITOL_MONOPHOSPHATE_PHOSPHATASE_ACTIVITY",13,0,0.153846153846154,"Up",0.066,0.784639285714286,"",""
"GO_ANTIOXIDANT_ACTIVITY",63,0.142857142857143,0.0158730158730159,"Down",0.066,0.784639285714286,"ENSMUSG00000000811, ENSMUSG00000069917, ENSMUSG00000031722, ENSMUSG00000008540, ENSMUSG00000047250, ENSMUSG00000072941, ENSMUSG00000032487, ENSMUSG00000064065","Txnrd3, Hba-a2, Hp, Mgst1, Ptgs1, Sod3, Ptgs2, Ipcef1"
"GO_PROTEIN_PHOSPHATASE_TYPE_2A_REGULATOR_ACTIVITY",19,0,0.157894736842105,"Up",0.067,0.784639285714286,"ENSMUSG00000022052, ENSMUSG00000043154, ENSMUSG00000007564","Ppp2r2a, Ppp2r3a, Ppp2r1a"
"GO_CYTOKINE_ACTIVITY",180,0.133333333333333,0.0388888888888889,"Down",0.067,0.784639285714286,"ENSMUSG00000035352, ENSMUSG00000021943, ENSMUSG00000001131, ENSMUSG00000032726, ENSMUSG00000021367, ENSMUSG00000039004, ENSMUSG00000041012, ENSMUSG00000029378, ENSMUSG00000024379, ENSMUSG00000109523, ENSMUSG00000050711, ENSMUSG00000034855, ENSMUSG00000031750, ENSMUSG00000035385, ENSMUSG00000019966","Ccl12, Gdf10, Timp1, Bmp8a, Edn1, Bmp6, Cmtm8, Areg, Tslp, Gdf1, Scg2, Cxcl10, Il34, Ccl2, Kitl"
"GO_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY_TRANSPOSING_C_C_BONDS",12,0,0.25,"Up",0.068,0.784639285714286,"ENSMUSG00000022129","Dct"
"GO_PHOSPHOTRANSFERASE_ACTIVITY_FOR_OTHER_SUBSTITUTED_PHOSPHATE_GROUPS",18,0,0.166666666666667,"Up",0.068,0.784639285714286,"",""
"GO_PHOSPHATASE_REGULATOR_ACTIVITY",78,0.0384615384615385,0.128205128205128,"Up",0.068,0.784639285714286,"ENSMUSG00000022052, ENSMUSG00000043154, ENSMUSG00000007564","Ppp2r2a, Ppp2r3a, Ppp2r1a"
"GO_LONG_CHAIN_FATTY_ACID_BINDING",12,0.333333333333333,0.0833333333333333,"Down",0.069,0.784639285714286,"ENSMUSG00000000440","Pparg"
"GO_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY",188,0.0212765957446809,0.0904255319148936,"Up",0.069,0.784639285714286,"ENSMUSG00000025702, ENSMUSG00000020134, ENSMUSG00000059890, ENSMUSG00000014668, ENSMUSG00000023286, ENSMUSG00000031438, ENSMUSG00000020184, ENSMUSG00000039328","March8, Peli1, Ube4a, Chfr, Ube2j2, Rnf128, Mdm2, Rnf122"
"GO_COFACTOR_TRANSPORTER_ACTIVITY",21,0,0.0952380952380952,"Up",0.071,0.784639285714286,"ENSMUSG00000019558","Slc6a8"
"GO_HYDROLASE_ACTIVITY_HYDROLYZING_N_GLYCOSYL_COMPOUNDS",22,0.0909090909090909,0.0454545454545455,"Down",0.071,0.784639285714286,"ENSMUSG00000029084, ENSMUSG00000029591","Cd38, Ung"
"GO_BILE_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",14,0.142857142857143,0,"Down",0.073,0.784639285714286,"ENSMUSG00000029321, ENSMUSG00000030235","Slc10a6, Slco1c1"
