"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",10,0,0.8,"Up",0.001,0.0663
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",10,0.6,0.1,"Down",0.001,0.0663
"KEGG_FATTY_ACID_METABOLISM",39,0.461538461538462,0.0769230769230769,"Down",0.001,0.0663
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",44,0.409090909090909,0.0454545454545455,"Down",0.001,0.0663
"REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS",10,0,0.4,"Up",0.001,0.0663
"KEGG_PROPANOATE_METABOLISM",31,0.354838709677419,0.032258064516129,"Down",0.001,0.0663
"REACTOME_BASE_EXCISION_REPAIR",19,0.263157894736842,0,"Down",0.001,0.0663
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",8,0.25,0,"Down",0.001,0.0663
"KEGG_PPAR_SIGNALING_PATHWAY",67,0.223880597014925,0.0746268656716418,"Down",0.001,0.0663
"REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS",450,0.177777777777778,0.0822222222222222,"Down",0.001,0.0663
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION",14,0.785714285714286,0,"Down",0.002,0.142071428571429
"ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS",45,0.0444444444444444,0.266666666666667,"Up",0.002,0.142071428571429
"KEGG_BASE_EXCISION_REPAIR",33,0.212121212121212,0.0303030303030303,"Down",0.002,0.142071428571429
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",15,0.133333333333333,0,"Down",0.002,0.142071428571429
"REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE",11,0,0.818181818181818,"Up",0.003,0.195
"REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS",10,0.1,0.6,"Up",0.003,0.195
"REACTOME_LIPOPROTEIN_METABOLISM",26,0.346153846153846,0.0769230769230769,"Down",0.003,0.195
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY",17,0.294117647058824,0,"Down",0.004,0.201782608695652
"KEGG_FOLATE_BIOSYNTHESIS",9,0.222222222222222,0,"Down",0.004,0.201782608695652
"KEGG_TASTE_TRANSDUCTION",41,0.024390243902439,0.219512195121951,"Up",0.004,0.201782608695652
"BIOCARTA_ATRBRCA_PATHWAY",20,0.2,0.05,"Down",0.004,0.201782608695652
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",21,0.19047619047619,0.0476190476190476,"Down",0.004,0.201782608695652
"REACTOME_SULFUR_AMINO_ACID_METABOLISM",22,0.181818181818182,0.0454545454545455,"Down",0.004,0.201782608695652
"REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT",15,0.4,0.0666666666666667,"Down",0.005,0.22790625
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",26,0.307692307692308,0.0769230769230769,"Down",0.005,0.22790625
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",34,0,0.5,"Up",0.006,0.22790625
"REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX_UPON_TLR7_8_OR_9_STIMULATION",8,0.5,0,"Down",0.006,0.22790625
"REACTOME_PEROXISOMAL_LIPID_METABOLISM",20,0.4,0.1,"Down",0.006,0.22790625
"BIOCARTA_CARM1_PATHWAY",12,0,0.333333333333333,"Up",0.006,0.22790625
"REACTOME_XENOBIOTICS",9,0,0.333333333333333,"Up",0.006,0.22790625
"REACTOME_SYNTHESIS_OF_PC",18,0.166666666666667,0.166666666666667,"Up",0.006,0.22790625
"BIOCARTA_ARF_PATHWAY",16,0.125,0,"Down",0.006,0.22790625
"REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS",11,0,0.545454545454545,"Up",0.007,0.232945945945946
"REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY",10,0.3,0,"Down",0.007,0.232945945945946
"REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS",26,0.153846153846154,0.0384615384615385,"Down",0.007,0.232945945945946
"REACTOME_DNA_REPAIR",100,0.13,0.02,"Down",0.007,0.232945945945946
"KEGG_OLFACTORY_TRANSDUCTION",269,0,0.0520446096654275,"Up",0.007,0.232945945945946
"REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS",12,0,0.5,"Up",0.008,0.24225
"KEGG_TYPE_II_DIABETES_MELLITUS",46,0.0434782608695652,0.326086956521739,"Up",0.008,0.24225
"BIOCARTA_DREAM_PATHWAY",13,0,0.307692307692308,"Up",0.008,0.24225
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY",12,0.25,0,"Down",0.008,0.24225
"REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM",11,0.363636363636364,0,"Down",0.009,0.24225
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS",14,0.357142857142857,0,"Down",0.009,0.24225
"REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE",18,0.166666666666667,0,"Down",0.009,0.24225
"REACTOME_MEIOTIC_RECOMBINATION",44,0.159090909090909,0.0909090909090909,"Down",0.009,0.24225
"KEGG_NON_HOMOLOGOUS_END_JOINING",12,0.0833333333333333,0,"Down",0.009,0.24225
"REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS",14,0,0.5,"Up",0.01,0.24225
"REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION",17,0,0.470588235294118,"Up",0.01,0.24225
"REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND",10,0.3,0,"Down",0.01,0.24225
"KEGG_SULFUR_METABOLISM",10,0.3,0,"Down",0.01,0.24225
"PID_PS1_PATHWAY",45,0.177777777777778,0.111111111111111,"Down",0.01,0.24225
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",30,0.166666666666667,0,"Down",0.01,0.24225
"KEGG_PEROXISOME",78,0.269230769230769,0.0641025641025641,"Down",0.011,0.253145454545455
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",50,0.24,0.04,"Down",0.011,0.253145454545455
"KEGG_PYRIMIDINE_METABOLISM",92,0.108695652173913,0.0326086956521739,"Down",0.011,0.253145454545455
"REACTOME_SYNTHESIS_OF_PA",25,0.16,0.04,"Down",0.013,0.29078947368421
"REACTOME_OLFACTORY_SIGNALING_PATHWAY",219,0,0.0365296803652968,"Up",0.013,0.29078947368421
"REACTOME_G1_PHASE",33,0.181818181818182,0.0303030303030303,"Down",0.014,0.303406779661017
"REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE",39,0.0769230769230769,0.0512820512820513,"Down",0.014,0.303406779661017
"PID_S1P_S1P1_PATHWAY",21,0.19047619047619,0.0476190476190476,"Down",0.015,0.3042
"REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES",30,0.166666666666667,0.0666666666666667,"Down",0.015,0.3042
"PID_RAC1_REG_PATHWAY",38,0.105263157894737,0.0526315789473684,"Down",0.015,0.3042
"REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS",17,0,0.352941176470588,"Up",0.016,0.3042
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",49,0.0408163265306122,0.163265306122449,"Up",0.016,0.3042
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",14,0.142857142857143,0.0714285714285714,"Down",0.016,0.3042
"REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE",15,0,0.466666666666667,"Up",0.017,0.3042
"REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM",164,0.182926829268293,0.0609756097560976,"Down",0.017,0.3042
"PID_EPHA2_FWD_PATHWAY",19,0.157894736842105,0,"Down",0.017,0.3042
"REACTOME_SEROTONIN_RECEPTORS",11,0,0.636363636363636,"Up",0.018,0.3042
"BIOCARTA_CK1_PATHWAY",16,0,0.5,"Up",0.018,0.3042
"REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX",13,0.230769230769231,0,"Down",0.018,0.3042
"BIOCARTA_NEUROTRANSMITTERS_PATHWAY",6,0,0.5,"Up",0.019,0.3042
"PID_TOLL_ENDOGENOUS_PATHWAY",24,0.458333333333333,0,"Down",0.019,0.3042
"REACTOME_CALNEXIN_CALRETICULIN_CYCLE",11,0.454545454545455,0,"Down",0.019,0.3042
"REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT",20,0.05,0.45,"Up",0.019,0.3042
"REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION",19,0.368421052631579,0,"Down",0.019,0.3042
"BIOCARTA_ECM_PATHWAY",24,0.208333333333333,0,"Down",0.019,0.3042
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",167,0.203592814371257,0.0838323353293413,"Down",0.019,0.3042
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",14,0.142857142857143,0,"Down",0.019,0.3042
"REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10",11,0.454545454545455,0,"Down",0.02,0.3042
"REACTOME_AMINE_LIGAND_BINDING_RECEPTORS",36,0,0.388888888888889,"Up",0.02,0.3042
"KEGG_TRYPTOPHAN_METABOLISM",39,0.205128205128205,0.102564102564103,"Down",0.02,0.3042
"PID_ARF6_TRAFFICKING_PATHWAY",49,0.163265306122449,0.0408163265306122,"Down",0.02,0.3042
"PID_FANCONI_PATHWAY",43,0.162790697674419,0.0232558139534884,"Down",0.02,0.3042
