"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",10,0,0.8,"Up",0.001,0.0663,"ENSMUSG00000021919, ENSMUSG00000031840, ENSMUSG00000023945, ENSMUSG00000100241, ENSMUSG00000027273, ENSMUSG00000026797","Chat, Rab3a, Slc5a7, Slc18a3, Snap25, Stxbp1"
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",10,0.6,0.1,"Down",0.001,0.0663,"ENSMUSG00000079334, ENSMUSG00000025465, ENSMUSG00000026687, ENSMUSG00000025745, ENSMUSG00000022853, ENSMUSG00000053644","Nat6, Echs1, Aldh9a1, Hadha, Ehhadh, Aldh7a1"
"KEGG_FATTY_ACID_METABOLISM",39,0.461538461538462,0.0769230769230769,"Down",0.001,0.0663,"ENSMUSG00000029545, ENSMUSG00000026003, ENSMUSG00000062908, ENSMUSG00000018574, ENSMUSG00000027984, ENSMUSG00000059447, ENSMUSG00000025745, ENSMUSG00000025465, ENSMUSG00000026687, ENSMUSG00000022853, ENSMUSG00000053644, ENSMUSG00000036138, ENSMUSG00000028607, ENSMUSG00000021417, ENSMUSG00000024132","Acads, Acadl, Acadm, Acadvl, Hadh, Hadhb, Hadha, Echs1, Aldh9a1, Ehhadh, Aldh7a1, Acaa1a, Cpt2, Eci2, Eci1"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",44,0.409090909090909,0.0454545454545455,"Down",0.001,0.0663,"ENSMUSG00000029545, ENSMUSG00000062908, ENSMUSG00000025260, ENSMUSG00000027984, ENSMUSG00000059447, ENSMUSG00000025745, ENSMUSG00000028672, ENSMUSG00000025465, ENSMUSG00000026687, ENSMUSG00000022853, ENSMUSG00000053644, ENSMUSG00000036138, ENSMUSG00000030826","Acads, Acadm, Hsd17b10, Hadh, Hadhb, Hadha, Hmgcl, Echs1, Aldh9a1, Ehhadh, Aldh7a1, Acaa1a, Bcat2"
"REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS",10,0,0.4,"Up",0.001,0.0663,"ENSMUSG00000021936","Mapk8"
"KEGG_PROPANOATE_METABOLISM",31,0.354838709677419,0.032258064516129,"Down",0.001,0.0663,"ENSMUSG00000062908, ENSMUSG00000025745, ENSMUSG00000025465, ENSMUSG00000026687, ENSMUSG00000022853, ENSMUSG00000053644, ENSMUSG00000074064, ENSMUSG00000061838","Acadm, Hadha, Echs1, Aldh9a1, Ehhadh, Aldh7a1, Mlycd, Suclg2"
"REACTOME_BASE_EXCISION_REPAIR",19,0.263157894736842,0,"Down",0.001,0.0663,"ENSMUSG00000030271, ENSMUSG00000038644","Ogg1, Pold1"
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",8,0.25,0,"Down",0.001,0.0663,"ENSMUSG00000021592, ENSMUSG00000025538","Arsk, Sumf2"
"KEGG_PPAR_SIGNALING_PATHWAY",67,0.223880597014925,0.0746268656716418,"Down",0.001,0.0663,"ENSMUSG00000026003, ENSMUSG00000062908, ENSMUSG00000026385, ENSMUSG00000002108, ENSMUSG00000030890, ENSMUSG00000026170, ENSMUSG00000028607, ENSMUSG00000036138, ENSMUSG00000028603, ENSMUSG00000022383, ENSMUSG00000022853, ENSMUSG00000002250","Acadl, Acadm, Dbi, Nr1h3, Ilk, Cyp27a1, Cpt2, Acaa1a, Scp2, Ppara, Ehhadh, Ppard"
"REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS",450,0.177777777777778,0.0822222222222222,"Down",0.001,0.0663,"ENSMUSG00000004270, ENSMUSG00000021468, ENSMUSG00000060675, ENSMUSG00000033174, ENSMUSG00000028607, ENSMUSG00000021592, ENSMUSG00000026170, ENSMUSG00000024132, ENSMUSG00000028223, ENSMUSG00000025465, ENSMUSG00000028412, ENSMUSG00000021003, ENSMUSG00000025538, ENSMUSG00000021884, ENSMUSG00000037295, ENSMUSG00000028048, ENSMUSG00000000594, ENSMUSG00000036138, ENSMUSG00000025745, ENSMUSG00000059447, ENSMUSG00000027984, ENSMUSG00000028672, ENSMUSG00000024507, ENSMUSG00000026003, ENSMUSG00000028763, ENSMUSG00000020609, ENSMUSG00000062908, ENSMUSG00000029545, ENSMUSG00000032737, ENSMUSG00000018574, ENSMUSG00000004880, ENSMUSG00000032207, ENSMUSG00000031591, ENSMUSG00000025130, ENSMUSG00000009633, ENSMUSG00000027195, ENSMUSG00000005615, ENSMUSG00000026737, ENSMUSG00000056220, ENSMUSG00000027695, ENSMUSG00000020828, ENSMUSG00000022383, ENSMUSG00000017760, ENSMUSG00000024887, ENSMUSG00000001211, ENSMUSG00000028603, ENSMUSG00000006390, ENSMUSG00000022098, ENSMUSG00000019822, ENSMUSG00000030353, ENSMUSG00000032602, ENSMUSG00000029233, ENSMUSG00000021696, ENSMUSG00000042289, ENSMUSG00000007655, ENSMUSG00000037936, ENSMUSG00000021036, ENSMUSG00000020889, ENSMUSG00000038417","Lpcat3, Sptlc1, Pla2g16, Mgll, Cpt2, Arsk, Cyp27a1, Eci1, Decr1, Echs1, Slc44a1, Galc, Sumf2, Hacl1, Ldlrap1, Gba, Gm2a, Acaa1a, Hadha, Hadhb, Hadh, Hmgcl, Hsd17b4, Acadl, Hspg2, Apob, Acadm, Acads, Inppl1, Acadvl, Lbr, Lipc, Asah1, P4hb, G0s2, Hsd17b12, Pcyt1a, Pip4k2a, Pla2g4a, Pld1, Pld2, Ppara, Ctsa, Asah2, Agpat3, Scp2, Elovl1, Bmp1, Smpd2, Tead4, Slc25a20, Srd5a3, Elovl7, Hsd3b7, Cav1, Scarb1, Sptlc2, Nr1d1, Fig4"
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION",14,0.785714285714286,0,"Down",0.002,0.142071428571429,"ENSMUSG00000024132, ENSMUSG00000028223, ENSMUSG00000025465, ENSMUSG00000025745, ENSMUSG00000059447, ENSMUSG00000027984, ENSMUSG00000026003, ENSMUSG00000062908, ENSMUSG00000029545, ENSMUSG00000018574","Eci1, Decr1, Echs1, Hadha, Hadhb, Hadh, Acadl, Acadm, Acads, Acadvl"
"ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS",45,0.0444444444444444,0.266666666666667,"Up",0.002,0.142071428571429,"ENSMUSG00000028072, ENSMUSG00000033430, ENSMUSG00000000214, ENSMUSG00000030228, ENSMUSG00000024639, ENSMUSG00000002413, ENSMUSG00000021936","Ntrk1, Terf2ip, Th, Pik3c2g, Gnaq, Braf, Mapk8"
