"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_NEUROTRANSMITTER_BIOSYNTHETIC_PROCESS",14,0.0714285714285714,0.571428571428571,"Up",0.001,0.0628783783783784
"GO_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.0628783783783784
"GO_FATTY_ACID_BETA_OXIDATION",50,0.54,0.04,"Down",0.001,0.0628783783783784
"GO_FATTY_ACID_CATABOLIC_PROCESS",70,0.414285714285714,0.0428571428571429,"Down",0.001,0.0628783783783784
"GO_AMINO_ACID_BETAINE_METABOLIC_PROCESS",18,0.388888888888889,0,"Down",0.001,0.0628783783783784
"GO_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS",92,0.33695652173913,0.0434782608695652,"Down",0.001,0.0628783783783784
"GO_GLYCOSYL_COMPOUND_CATABOLIC_PROCESS",34,0.323529411764706,0.0882352941176471,"Down",0.001,0.0628783783783784
"GO_RIBONUCLEOSIDE_CATABOLIC_PROCESS",19,0.315789473684211,0.105263157894737,"Down",0.001,0.0628783783783784
"GO_GTP_METABOLIC_PROCESS",21,0.285714285714286,0,"Down",0.001,0.0628783783783784
"GO_REGULATION_OF_LIPOPROTEIN_METABOLIC_PROCESS",14,0.285714285714286,0,"Down",0.001,0.0628783783783784
"GO_KERATINIZATION",25,0,0.28,"Up",0.001,0.0628783783783784
"GO_GLYCOPROTEIN_CATABOLIC_PROCESS",15,0.266666666666667,0.0666666666666667,"Down",0.001,0.0628783783783784
"GO_LIPID_CATABOLIC_PROCESS",232,0.25,0.0818965517241379,"Down",0.001,0.0628783783783784
"GO_UV_PROTECTION",12,0.25,0.0833333333333333,"Down",0.001,0.0628783783783784
"GO_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",34,0,0.235294117647059,"Up",0.001,0.0628783783783784
"GO_AMP_METABOLIC_PROCESS",13,0.230769230769231,0.0769230769230769,"Down",0.001,0.0628783783783784
"GO_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS",13,0.230769230769231,0,"Down",0.001,0.0628783783783784
"GO_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS",66,0.227272727272727,0.0606060606060606,"Down",0.001,0.0628783783783784
