"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_NEUROTRANSMITTER_BIOSYNTHETIC_PROCESS",14,0.0714285714285714,0.571428571428571,"Up",0.001,0.0628783783783784,"ENSMUSG00000000214, ENSMUSG00000023945, ENSMUSG00000070880, ENSMUSG00000026787, ENSMUSG00000023328, ENSMUSG00000021919, ENSMUSG00000029361, ENSMUSG00000007034","Th, Slc5a7, Gad1, Gad2, Ache, Chat, Nos1, Slc44a4"
"GO_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.0628783783783784,"ENSMUSG00000034656, ENSMUSG00000018698, ENSMUSG00000029595","Cacna1a, Lhx1, Lhx5"
"GO_FATTY_ACID_BETA_OXIDATION",50,0.54,0.04,"Down",0.001,0.0628783783783784,"ENSMUSG00000090150, ENSMUSG00000025465, ENSMUSG00000027984, ENSMUSG00000029545, ENSMUSG00000059447, ENSMUSG00000024132, ENSMUSG00000028603, ENSMUSG00000021417, ENSMUSG00000062908, ENSMUSG00000028223, ENSMUSG00000026003, ENSMUSG00000040374, ENSMUSG00000025745, ENSMUSG00000024507, ENSMUSG00000053898, ENSMUSG00000002250, ENSMUSG00000018574, ENSMUSG00000028607, ENSMUSG00000036138, ENSMUSG00000022853","Acad11, Echs1, Hadh, Acads, Hadhb, Eci1, Scp2, Eci2, Acadm, Decr1, Acadl, Pex2, Hadha, Hsd17b4, Ech1, Ppard, Acadvl, Cpt2, Acaa1a, Ehhadh"
"GO_FATTY_ACID_CATABOLIC_PROCESS",70,0.414285714285714,0.0428571428571429,"Down",0.001,0.0628783783783784,"ENSMUSG00000062908, ENSMUSG00000028603, ENSMUSG00000024132, ENSMUSG00000021417, ENSMUSG00000027984, ENSMUSG00000025465, ENSMUSG00000029545, ENSMUSG00000018574, ENSMUSG00000002250, ENSMUSG00000053898, ENSMUSG00000025745, ENSMUSG00000026003, ENSMUSG00000028223, ENSMUSG00000021884, ENSMUSG00000059447, ENSMUSG00000090150, ENSMUSG00000022853, ENSMUSG00000036138, ENSMUSG00000028607, ENSMUSG00000024507, ENSMUSG00000040374","Acadm, Scp2, Eci1, Eci2, Hadh, Echs1, Acads, Acadvl, Ppard, Ech1, Hadha, Acadl, Decr1, Hacl1, Hadhb, Acad11, Ehhadh, Acaa1a, Cpt2, Hsd17b4, Pex2"
"GO_AMINO_ACID_BETAINE_METABOLIC_PROCESS",18,0.388888888888889,0,"Down",0.001,0.0628783783783784,"ENSMUSG00000062908, ENSMUSG00000026687, ENSMUSG00000026003, ENSMUSG00000053644","Acadm, Aldh9a1, Acadl, Aldh7a1"
"GO_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS",92,0.33695652173913,0.0434782608695652,"Down",0.001,0.0628783783783784,"ENSMUSG00000040374, ENSMUSG00000024507, ENSMUSG00000036138, ENSMUSG00000028607, ENSMUSG00000022853, ENSMUSG00000090150, ENSMUSG00000059447, ENSMUSG00000021884, ENSMUSG00000028223, ENSMUSG00000026003, ENSMUSG00000025745, ENSMUSG00000053898, ENSMUSG00000002250, ENSMUSG00000018574, ENSMUSG00000029759, ENSMUSG00000029545, ENSMUSG00000027984, ENSMUSG00000025465, ENSMUSG00000021417, ENSMUSG00000028603, ENSMUSG00000024132, ENSMUSG00000062908","Pex2, Hsd17b4, Acaa1a, Cpt2, Ehhadh, Acad11, Hadhb, Hacl1, Decr1, Acadl, Hadha, Ech1, Ppard, Acadvl, Pon3, Acads, Hadh, Echs1, Eci2, Scp2, Eci1, Acadm"
"GO_GLYCOSYL_COMPOUND_CATABOLIC_PROCESS",34,0.323529411764706,0.0882352941176471,"Down",0.001,0.0628783783783784,"ENSMUSG00000074064, ENSMUSG00000029310, ENSMUSG00000022453, ENSMUSG00000062937, ENSMUSG00000030225, ENSMUSG00000028673, ENSMUSG00000021871, ENSMUSG00000031767","Mlycd, Nudt9, Naga, Mtap, Dera, Fuca1, Pnp, Nudt7"
"GO_RIBONUCLEOSIDE_CATABOLIC_PROCESS",19,0.315789473684211,0.105263157894737,"Down",0.001,0.0628783783783784,"ENSMUSG00000031767, ENSMUSG00000021871, ENSMUSG00000074064, ENSMUSG00000029310","Nudt7, Pnp, Mlycd, Nudt9"
"GO_GTP_METABOLIC_PROCESS",21,0.285714285714286,0,"Down",0.001,0.0628783783783784,"ENSMUSG00000039616","Mocos"
"GO_REGULATION_OF_LIPOPROTEIN_METABOLIC_PROCESS",14,0.285714285714286,0,"Down",0.001,0.0628783783783784,"ENSMUSG00000022548, ENSMUSG00000027087","Apod, Itgav"
"GO_KERATINIZATION",25,0,0.28,"Up",0.001,0.0628783783783784,"ENSMUSG00000052415, ENSMUSG00000063651, ENSMUSG00000061048, ENSMUSG00000039457, ENSMUSG00000005355","Tchh, Cnfn, Cdh3, Ppl, Casp14"
"GO_GLYCOPROTEIN_CATABOLIC_PROCESS",15,0.266666666666667,0.0666666666666667,"Down",0.001,0.0628783783783784,"ENSMUSG00000023031, ENSMUSG00000030104","Cela1, Edem1"
"GO_LIPID_CATABOLIC_PROCESS",232,0.25,0.0818965517241379,"Down",0.001,0.0628783783783784,"ENSMUSG00000028657, ENSMUSG00000033174, ENSMUSG00000034330, ENSMUSG00000028048, ENSMUSG00000025745, ENSMUSG00000020828, ENSMUSG00000021003, ENSMUSG00000026003, ENSMUSG00000021417, ENSMUSG00000024132, ENSMUSG00000028603, ENSMUSG00000029545, ENSMUSG00000024960, ENSMUSG00000024781, ENSMUSG00000022853, ENSMUSG00000024507, ENSMUSG00000059447, ENSMUSG00000028750, ENSMUSG00000056220, ENSMUSG00000032207, ENSMUSG00000022453, ENSMUSG00000037936, ENSMUSG00000020609, ENSMUSG00000000594, ENSMUSG00000018574, ENSMUSG00000002250, ENSMUSG00000027695, ENSMUSG00000053898, ENSMUSG00000025465, ENSMUSG00000027984, ENSMUSG00000062908, ENSMUSG00000002847, ENSMUSG00000060675, ENSMUSG00000062054, ENSMUSG00000040997, ENSMUSG00000028607, ENSMUSG00000036138, ENSMUSG00000040374, ENSMUSG00000021884, ENSMUSG00000028223, ENSMUSG00000029233, ENSMUSG00000028885, ENSMUSG00000090150, ENSMUSG00000025277, ENSMUSG00000029311","Ppt1, Mgll, Plcg2, Gba, Hadha, Pld2, Galc, Acadl, Eci2, Eci1, Scp2, Acads, Plcb3, Lipa, Ehhadh, Hsd17b4, Hadhb, Pla2g2c, Pla2g4a, Lipc, Naga, Scarb1, Apob, Gm2a, Acadvl, Ppard, Pld1, Ech1, Echs1, Hadh, Acadm, Pla1a, Pla2g16, Iah1, Abhd4, Cpt2, Acaa1a, Pex2, Hacl1, Decr1, Srd5a3, Smpdl3b, Acad11, Abhd6, Hsd17b11"
