"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX",19,0,0.526315789473684,"Up",0.001,0.072625
"GO_CELL_DIVISION_SITE",51,0.196078431372549,0.0980392156862745,"Down",0.001,0.072625
"GO_ENDOPLASMIC_RETICULUM_PART",1030,0.190291262135922,0.0951456310679612,"Down",0.001,0.072625
"GO_ENDOPLASMIC_RETICULUM",1441,0.178348369188064,0.104788341429563,"Down",0.001,0.072625
"GO_INHIBITORY_SYNAPSE",12,0,0.583333333333333,"Up",0.002,0.1089375
"GO_ROUGH_ENDOPLASMIC_RETICULUM",67,0.238805970149254,0.104477611940299,"Down",0.002,0.1089375
"GO_KERATIN_FILAMENT",39,0,0.230769230769231,"Up",0.002,0.1089375
"GO_RUFFLE_MEMBRANE",75,0.186666666666667,0.0666666666666667,"Down",0.002,0.1089375
"GO_CLATHRIN_SCULPTED_VESICLE",12,0,0.75,"Up",0.003,0.119617647058824
"GO_INTEGRATOR_COMPLEX",11,0.272727272727273,0,"Down",0.003,0.119617647058824
"GO_MIDBODY",125,0.152,0.064,"Down",0.003,0.119617647058824
"GO_SODIUM_CHANNEL_COMPLEX",16,0,0.5625,"Up",0.004,0.119617647058824
"GO_NEURON_PROJECTION_MEMBRANE",33,0.0606060606060606,0.484848484848485,"Up",0.004,0.119617647058824
"GO_PLATELET_DENSE_TUBULAR_NETWORK",10,0.3,0,"Down",0.004,0.119617647058824
"GO_MICROBODY",126,0.246031746031746,0.0714285714285714,"Down",0.004,0.119617647058824
"GO_TOR_COMPLEX",13,0.230769230769231,0,"Down",0.004,0.119617647058824
"GO_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK",882,0.19047619047619,0.0963718820861678,"Down",0.004,0.119617647058824
"GO_GOLGI_TRANSPORT_COMPLEX",12,0.25,0,"Down",0.005,0.137605263157895
"GO_LIPID_PARTICLE",58,0.241379310344828,0.0689655172413793,"Down",0.005,0.137605263157895
"GO_MICROBODY_LUMEN",45,0.333333333333333,0.0444444444444444,"Down",0.006,0.154328125
