"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"REACTOME_UNWINDING_OF_DNA",11,0,0.636363636363636,"Up",0.001,0.663,"ENSMUSG00000002870, ENSMUSG00000022673, ENSMUSG00000005410, ENSMUSG00000026355, ENSMUSG00000029730","Mcm2, Mcm4, Mcm5, Mcm6, Mcm7"
"REACTOME_DNA_STRAND_ELONGATION",30,0,0.466666666666667,"Up",0.003,0.991965596330275,"ENSMUSG00000056394, ENSMUSG00000002870, ENSMUSG00000022673, ENSMUSG00000005410, ENSMUSG00000026355, ENSMUSG00000029730, ENSMUSG00000025395, ENSMUSG00000026134","Lig1, Mcm2, Mcm4, Mcm5, Mcm6, Mcm7, Prim1, Prim2"
"REACTOME_CS_DS_DEGRADATION",12,0,0.25,"Up",0.006,0.991965596330275,"ENSMUSG00000032911, ENSMUSG00000019929","Cspg4, Dcn"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",22,0,0.272727272727273,"Up",0.009,0.991965596330275,"ENSMUSG00000030657, ENSMUSG00000034612, ENSMUSG00000026156","Xylt1, Chst11, B3gat2"
"KEGG_TYROSINE_METABOLISM",39,0.0512820512820513,0,"Down",0.01,0.991965596330275,"ENSMUSG00000022821, ENSMUSG00000000214","Hgd, Th"
"BIOCARTA_FIBRINOLYSIS_PATHWAY",12,0.166666666666667,0,"Down",0.011,0.991965596330275,"ENSMUSG00000027249, ENSMUSG00000062345","F2, Serpinb2"
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND",15,0,0.333333333333333,"Up",0.012,0.991965596330275,"ENSMUSG00000056394, ENSMUSG00000025395, ENSMUSG00000026134","Lig1, Prim1, Prim2"
"REACTOME_EXTENSION_OF_TELOMERES",27,0,0.296296296296296,"Up",0.012,0.991965596330275,"ENSMUSG00000056394, ENSMUSG00000025395, ENSMUSG00000026134","Lig1, Prim1, Prim2"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",29,0,0.379310344827586,"Up",0.014,0.991965596330275,"ENSMUSG00000002870, ENSMUSG00000022673, ENSMUSG00000005410, ENSMUSG00000026355, ENSMUSG00000029730, ENSMUSG00000025395, ENSMUSG00000026134","Mcm2, Mcm4, Mcm5, Mcm6, Mcm7, Prim1, Prim2"
"PID_SYNDECAN_3_PATHWAY",16,0,0.3125,"Up",0.014,0.991965596330275,"ENSMUSG00000047259, ENSMUSG00000025743","Mc4r, Sdc3"
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",15,0,0.133333333333333,"Up",0.015,0.991965596330275,"ENSMUSG00000033308","Dpyd"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",35,0,0.314285714285714,"Up",0.017,0.991965596330275,"ENSMUSG00000002870, ENSMUSG00000022673, ENSMUSG00000005410, ENSMUSG00000026355, ENSMUSG00000029730","Mcm2, Mcm4, Mcm5, Mcm6, Mcm7"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",40,0.075,0,"Down",0.017,0.991965596330275,"ENSMUSG00000032315","Cyp1a1"
"KEGG_DNA_REPLICATION",35,0,0.371428571428571,"Up",0.018,0.991965596330275,"ENSMUSG00000025395, ENSMUSG00000026134, ENSMUSG00000022673, ENSMUSG00000026355, ENSMUSG00000005410, ENSMUSG00000029730, ENSMUSG00000002870, ENSMUSG00000056394","Prim1, Prim2, Mcm4, Mcm6, Mcm5, Mcm7, Mcm2, Lig1"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",44,0.0681818181818182,0,"Down",0.018,0.991965596330275,"ENSMUSG00000022445","Cyp2d26"
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS",19,0,0.263157894736842,"Up",0.019,0.991965596330275,"ENSMUSG00000032911, ENSMUSG00000019929, ENSMUSG00000034612","Cspg4, Dcn, Chst11"
"PID_ARF6_PATHWAY",34,0.0588235294117647,0.0588235294117647,"Down",0.019,0.991965596330275,"ENSMUSG00000034312","Iqsec1"
"REACTOME_LAGGING_STRAND_SYNTHESIS",19,0,0.368421052631579,"Up",0.021,0.991965596330275,"ENSMUSG00000056394, ENSMUSG00000025395, ENSMUSG00000026134","Lig1, Prim1, Prim2"
"KEGG_ONE_CARBON_POOL_BY_FOLATE",17,0,0,"Up",0.021,0.991965596330275,"",""
