"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS",15,0.333333333333333,0,"Down",0.002,0.9995
"GO_CYTOKINETIC_PROCESS",14,0,0.142857142857143,"Up",0.002,0.9995
"GO_POLYOL_METABOLIC_PROCESS",90,0.0333333333333333,0.0111111111111111,"Down",0.002,0.9995
"GO_DERMATAN_SULFATE_METABOLIC_PROCESS",13,0,0.384615384615385,"Up",0.003,0.9995
"GO_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS",29,0,0.344827586206897,"Up",0.004,0.9995
"GO_DERMATAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS",16,0,0.3125,"Up",0.004,0.9995
"GO_REGULATION_OF_MICROVILLUS_ORGANIZATION",14,0.0714285714285714,0.0714285714285714,"Down",0.004,0.9995
"GO_NEGATIVE_REGULATION_OF_AUTOPHAGY",47,0.0212765957446809,0,"Down",0.004,0.9995
"GO_NEGATIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",11,0,0.272727272727273,"Up",0.005,0.9995
"GO_CHONDROITIN_SULFATE_CATABOLIC_PROCESS",14,0,0.285714285714286,"Up",0.006,0.9995
"GO_SULFUR_COMPOUND_CATABOLIC_PROCESS",39,0.0256410256410256,0.205128205128205,"Up",0.006,0.9995
"GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE",25,0.2,0,"Down",0.006,0.9995
"GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS",16,0.0625,0,"Down",0.007,0.9995
"GO_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION",25,0,0.32,"Up",0.008,0.9995
"GO_DNA_STRAND_ELONGATION",29,0,0.275862068965517,"Up",0.009,0.9995
"GO_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS",42,0,0.238095238095238,"Up",0.009,0.9995
"GO_PROTEOGLYCAN_METABOLIC_PROCESS",81,0,0.222222222222222,"Up",0.009,0.9995
"GO_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS",25,0,0.36,"Up",0.011,0.9995
"GO_HEMIDESMOSOME_ASSEMBLY",12,0.25,0,"Down",0.011,0.9995
"GO_PYRIMIDINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS",16,0,0.1875,"Up",0.011,0.9995
"GO_SEGMENT_SPECIFICATION",17,0,0.235294117647059,"Up",0.012,0.9995
"GO_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS",57,0,0.263157894736842,"Up",0.015,0.9995
"GO_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS",12,0,0.416666666666667,"Up",0.016,0.9995
"GO_DNA_REPLICATION_INITIATION",28,0,0.428571428571429,"Up",0.017,0.9995
"GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS",102,0.00980392156862745,0.245098039215686,"Up",0.017,0.9995
"GO_OXIDATIVE_DEMETHYLATION",9,0.111111111111111,0,"Down",0.017,0.9995
"GO_POSITIVE_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS",13,0,0,"Down",0.017,0.9995
"GO_RELAXATION_OF_MUSCLE",19,0,0.210526315789474,"Up",0.019,0.9995
"GO_LOOP_OF_HENLE_DEVELOPMENT",11,0,0.272727272727273,"Up",0.021,0.9995
"GO_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS",23,0.0434782608695652,0.130434782608696,"Up",0.022,0.9995
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS",11,0,0.272727272727273,"Up",0.024,0.9995
"GO_FEMALE_MEIOTIC_DIVISION",22,0,0.272727272727273,"Up",0.025,0.9995
"GO_REGULATION_OF_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH",11,0,0.0909090909090909,"Up",0.026,0.9995
"GO_REGULATION_OF_HISTONE_H4_ACETYLATION",11,0.0909090909090909,0,"Down",0.026,0.9995
"GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTRACELLULAR_STIMULUS",48,0.0416666666666667,0.0208333333333333,"Down",0.027,0.9995
"GO_PYRIMIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS",27,0,0.111111111111111,"Up",0.029,0.9995
"GO_ACTIVATION_OF_MAPKKK_ACTIVITY",11,0.272727272727273,0,"Down",0.03,0.9995
"GO_GLYCOPROTEIN_METABOLIC_PROCESS",323,0.0247678018575851,0.111455108359133,"Up",0.031,0.9995
"GO_LAGGING_STRAND_ELONGATION",11,0,0.0909090909090909,"Up",0.031,0.9995
"GO_POSITIVE_REGULATION_OF_CELL_FATE_COMMITMENT",11,0.0909090909090909,0,"Down",0.034,0.9995
"GO_MITOTIC_RECOMBINATION",41,0,0.292682926829268,"Up",0.035,0.9995
"GO_POSITIVE_REGULATION_OF_RESPONSE_TO_NUTRIENT_LEVELS",48,0.0416666666666667,0.0208333333333333,"Down",0.035,0.9995
"GO_PHOSPHATIDYLGLYCEROL_METABOLIC_PROCESS",30,0.0666666666666667,0.0333333333333333,"Down",0.036,0.9995
"GO_FUSION_OF_SPERM_TO_EGG_PLASMA_MEMBRANE",9,0.111111111111111,0,"Down",0.037,0.9995
"GO_TELOMERE_MAINTENANCE_VIA_RECOMBINATION",32,0,0.28125,"Up",0.038,0.9995
