"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_BANDED_COLLAGEN_FIBRIL",12,0,0.583333333333333,"Up",0.001,0.2905
"GO_MCM_COMPLEX",11,0,0.545454545454545,"Up",0.004,0.997278079710145
"GO_PSEUDOPODIUM",16,0.125,0,"Down",0.011,0.997278079710145
"GO_SMOOTH_ENDOPLASMIC_RETICULUM",32,0.0625,0,"Down",0.013,0.997278079710145
"GO_COMPLEX_OF_COLLAGEN_TRIMERS",23,0,0.478260869565217,"Up",0.017,0.997278079710145
"GO_ENDOPLASMIC_RETICULUM_SUBCOMPARTMENT",15,0.0666666666666667,0,"Down",0.017,0.997278079710145
"GO_LAMELLIPODIUM_MEMBRANE",18,0,0.277777777777778,"Up",0.025,0.997278079710145
"GO_GOLGI_STACK",116,0.0172413793103448,0.0689655172413793,"Up",0.025,0.997278079710145
"GO_COLLAGEN_TRIMER",81,0.037037037037037,0.259259259259259,"Up",0.031,0.997278079710145
"GO_BRUSH_BORDER",102,0.0490196078431373,0.0686274509803922,"Down",0.035,0.997278079710145
"GO_CLATHRIN_COATED_ENDOCYTIC_VESICLE",54,0.0740740740740741,0.0185185185185185,"Down",0.037,0.997278079710145
"GO_PRE_AUTOPHAGOSOMAL_STRUCTURE_MEMBRANE",15,0.0666666666666667,0,"Down",0.037,0.997278079710145
"GO_COATED_PIT",64,0.0625,0.03125,"Down",0.037,0.997278079710145
"GO_SPINDLE_MIDZONE",26,0.0384615384615385,0.230769230769231,"Up",0.04,0.997278079710145
"GO_ZYMOGEN_GRANULE",14,0.0714285714285714,0.0714285714285714,"Down",0.045,0.997278079710145
"GO_GOLGI_CISTERNA_MEMBRANE",67,0.0149253731343284,0.0597014925373134,"Up",0.046,0.997278079710145
"GO_POLYSOME",35,0,0,"Down",0.048,0.997278079710145
"GO_REPLICATION_FORK",60,0.0166666666666667,0.216666666666667,"Up",0.056,0.997278079710145
"GO_ANCHORED_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",16,0.125,0,"Down",0.056,0.997278079710145
"GO_DNA_POLYMERASE_COMPLEX",13,0,0.230769230769231,"Up",0.067,0.997278079710145
"GO_REPLISOME",27,0,0.148148148148148,"Up",0.068,0.997278079710145
"GO_MYOFILAMENT",24,0.0833333333333333,0.0416666666666667,"Down",0.068,0.997278079710145
"GO_PERINUCLEAR_ENDOPLASMIC_RETICULUM",13,0.0769230769230769,0.153846153846154,"Up",0.069,0.997278079710145
"GO_MRNA_CLEAVAGE_AND_POLYADENYLATION_SPECIFICITY_FACTOR_COMPLEX",12,0,0.0833333333333333,"Up",0.07,0.997278079710145
"GO_CLATHRIN_COAT_OF_COATED_PIT",16,0.125,0,"Down",0.072,0.997278079710145
"GO_TCTN_B9D_COMPLEX",11,0,0.272727272727273,"Up",0.074,0.997278079710145
"GO_FANCONI_ANAEMIA_NUCLEAR_COMPLEX",8,0,0.25,"Up",0.076,0.997278079710145
"GO_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK",11,0,0,"Down",0.081,0.997278079710145
"GO_FIBRIL",14,0,0.214285714285714,"Up",0.084,0.997278079710145
"GO_PORE_COMPLEX",17,0.0588235294117647,0.0588235294117647,"Down",0.09,0.997278079710145
"GO_CONDENSED_CHROMOSOME_CENTROMERIC_REGION",87,0.0114942528735632,0.241379310344828,"Up",0.096,0.997278079710145
"GO_CLATHRIN_ADAPTOR_COMPLEX",27,0.111111111111111,0,"Down",0.102,0.997278079710145
"GO_MITOTIC_SPINDLE",51,0.0196078431372549,0.0980392156862745,"Up",0.102,0.997278079710145
"GO_CONDENSED_CHROMOSOME_OUTER_KINETOCHORE",11,0,0.363636363636364,"Up",0.118,0.997278079710145
"GO_CYTOPLASMIC_MICROTUBULE",50,0,0.14,"Up",0.119,0.997278079710145
"GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS",135,0.037037037037037,0.0666666666666667,"Down",0.119,0.997278079710145
"GO_PRE_AUTOPHAGOSOMAL_STRUCTURE",28,0.0357142857142857,0,"Down",0.119,0.997278079710145
"GO_CYTOPLASMIC_DYNEIN_COMPLEX",15,0,0,"Down",0.138,0.997278079710145
"GO_MRNA_CLEAVAGE_FACTOR_COMPLEX",17,0,0.0588235294117647,"Up",0.139,0.997278079710145
"GO_PRESPLICEOSOME",21,0,0,"Down",0.141,0.997278079710145
"GO_U2_TYPE_PRESPLICEOSOME",16,0,0,"Down",0.141,0.997278079710145
"GO_COP9_SIGNALOSOME",30,0.0333333333333333,0,"Down",0.143,0.997278079710145
"GO_IONOTROPIC_GLUTAMATE_RECEPTOR_COMPLEX",47,0,0.340425531914894,"Up",0.145,0.997278079710145
"GO_GOLGI_LUMEN",80,0.0375,0.2125,"Up",0.146,0.997278079710145
"GO_MICROVILLUS",73,0.0273972602739726,0.0821917808219178,"Down",0.146,0.997278079710145
"GO_ACTIN_CYTOSKELETON",417,0.0407673860911271,0.0479616306954436,"Down",0.148,0.997278079710145
"GO_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX",36,0.0833333333333333,0,"Down",0.149,0.997278079710145
"GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",27,0,0.333333333333333,"Up",0.152,0.997278079710145
"GO_ACTOMYOSIN",60,0.0333333333333333,0.05,"Down",0.156,0.997278079710145
"GO_NUCLEAR_NUCLEOSOME",14,0,0,"Down",0.157,0.997278079710145
"GO_OUTER_MEMBRANE",172,0.0232558139534884,0.0290697674418605,"Down",0.158,0.997278079710145
"GO_SNARE_COMPLEX",50,0.04,0.02,"Down",0.162,0.997278079710145
"GO_DNA_REPLICATION_FACTOR_A_COMPLEX",13,0,0,"Up",0.162,0.997278079710145
"GO_LYSOSOMAL_LUMEN",83,0.0120481927710843,0.180722891566265,"Up",0.166,0.997278079710145
"GO_INTEGRATOR_COMPLEX",11,0,0,"Up",0.169,0.997278079710145
"GO_NUCLEAR_REPLICATION_FORK",37,0.027027027027027,0.135135135135135,"Up",0.172,0.997278079710145
"GO_GOLGI_CISTERNA",85,0.0117647058823529,0.0470588235294118,"Up",0.174,0.997278079710145
