"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_14_3_3_PROTEIN_BINDING",18,0.0555555555555556,0,"Down",0.001,0.4635
"GO_ARYLSULFATASE_ACTIVITY",8,0,0.375,"Up",0.006,0.997805525460455
"GO_ACID_AMINO_ACID_LIGASE_ACTIVITY",19,0.0526315789473684,0,"Down",0.009,0.997805525460455
"GO_INOSITOL_TETRAKISPHOSPHATE_PHOSPHATASE_ACTIVITY",11,0.272727272727273,0,"Down",0.012,0.997805525460455
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS",166,0.0180722891566265,0.108433734939759,"Up",0.013,0.997805525460455
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_AMINO_ACYL_GROUPS",19,0.210526315789474,0.0526315789473684,"Down",0.014,0.997805525460455
"GO_PLATELET_DERIVED_GROWTH_FACTOR_BINDING",11,0,0.545454545454545,"Up",0.015,0.997805525460455
"GO_ARF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY",23,0.130434782608696,0,"Down",0.015,0.997805525460455
"GO_DNA_POLYMERASE_BINDING",12,0,0.25,"Up",0.017,0.997805525460455
"GO_FOUR_WAY_JUNCTION_DNA_BINDING",13,0,0.230769230769231,"Up",0.023,0.997805525460455
"GO_RETINOL_DEHYDROGENASE_ACTIVITY",17,0.117647058823529,0,"Down",0.025,0.997805525460455
"GO_SINGLE_STRANDED_DNA_DEPENDENT_ATPASE_ACTIVITY",13,0,0.461538461538462,"Up",0.03,0.997805525460455
"GO_GABA_RECEPTOR_BINDING",15,0.0666666666666667,0,"Down",0.037,0.997805525460455
"GO_DIPEPTIDASE_ACTIVITY",13,0,0.307692307692308,"Up",0.038,0.997805525460455
"GO_RAB_GTPASE_BINDING",111,0.045045045045045,0.036036036036036,"Down",0.038,0.997805525460455
"GO_NUCLEOTIDASE_ACTIVITY",12,0,0.0833333333333333,"Up",0.042,0.997805525460455
"GO_POLYPEPTIDE_N_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY",15,0.0666666666666667,0.333333333333333,"Up",0.046,0.997805525460455
"GO_PROTEIN_PHOSPHATASE_1_BINDING",16,0.125,0,"Down",0.051,0.997805525460455
"GO_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY",30,0.0333333333333333,0.266666666666667,"Up",0.052,0.997805525460455
"GO_DEOXYRIBONUCLEASE_ACTIVITY",63,0.0158730158730159,0.0952380952380952,"Up",0.054,0.997805525460455
"GO_PHOSPHOLIPASE_A2_ACTIVITY",30,0.0666666666666667,0,"Down",0.056,0.997805525460455
"GO_ACTIVIN_BINDING",12,0.166666666666667,0,"Down",0.057,0.997805525460455
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ALKYL_OR_ARYL_OTHER_THAN_METHYL_GROUPS",51,0.0588235294117647,0,"Down",0.06,0.997805525460455
"GO_MAGNESIUM_ION_BINDING",185,0.0324324324324324,0.0324324324324324,"Down",0.062,0.997805525460455
"GO_INOSITOL_TRISPHOSPHATE_PHOSPHATASE_ACTIVITY",11,0.272727272727273,0,"Down",0.065,0.997805525460455
"GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_PHOSPHATASE_ACTIVITY",17,0,0.176470588235294,"Up",0.067,0.997805525460455
"GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",72,0.0416666666666667,0.263888888888889,"Up",0.071,0.997805525460455
"GO_HYALURONIC_ACID_BINDING",21,0.0476190476190476,0.19047619047619,"Up",0.071,0.997805525460455
"GO_ACTIN_DEPENDENT_ATPASE_ACTIVITY",13,0,0,"Down",0.079,0.997805525460455
"GO_BITTER_TASTE_RECEPTOR_ACTIVITY",15,0,0,"Down",0.08,0.997805525460455
"GO_OXIDOREDUCTASE_ACTIVITY_OXIDIZING_METAL_IONS_NAD_OR_NADP_AS_ACCEPTOR",10,0.1,0.2,"Up",0.081,0.997805525460455
"GO_CARBOHYDRATE_PHOSPHATASE_ACTIVITY",10,0.1,0,"Down",0.081,0.997805525460455
"GO_EXODEOXYRIBONUCLEASE_ACTIVITY",15,0,0.2,"Up",0.083,0.997805525460455
"GO_UDP_GLYCOSYLTRANSFERASE_ACTIVITY",113,0.0265486725663717,0.141592920353982,"Up",0.083,0.997805525460455
"GO_METHYL_CPG_BINDING",17,0,0.0588235294117647,"Up",0.087,0.997805525460455
"GO_TASTE_RECEPTOR_ACTIVITY",20,0,0,"Down",0.088,0.997805525460455
"GO_LEUCINE_ZIPPER_DOMAIN_BINDING",10,0,0,"Down",0.089,0.997805525460455
"GO_CYCLIC_NUCLEOTIDE_GATED_ION_CHANNEL_ACTIVITY",11,0.181818181818182,0,"Down",0.09,0.997805525460455
"GO_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",18,0.0555555555555556,0,"Down",0.095,0.997805525460455
"GO_SULFURIC_ESTER_HYDROLASE_ACTIVITY",12,0,0.25,"Up",0.096,0.997805525460455
"GO_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY",43,0.0232558139534884,0.162790697674419,"Up",0.096,0.997805525460455
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN",29,0.0344827586206897,0.0344827586206897,"Down",0.1,0.997805525460455
"GO_INOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY",20,0.15,0,"Down",0.101,0.997805525460455
"GO_EXTRACELLULAR_GLUTAMATE_GATED_ION_CHANNEL_ACTIVITY",20,0,0.4,"Up",0.103,0.997805525460455
"GO_MONOCARBOXYLIC_ACID_BINDING",54,0.0185185185185185,0,"Down",0.103,0.997805525460455
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",76,0.0131578947368421,0,"Down",0.103,0.997805525460455
"GO_AMIDE_BINDING",232,0.0387931034482759,0.0387931034482759,"Down",0.106,0.997805525460455
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_GLYCOSYL_GROUPS",238,0.0210084033613445,0.0840336134453782,"Up",0.109,0.997805525460455
"GO_ODORANT_BINDING",68,0,0,"Down",0.109,0.997805525460455
"GO_GLUCURONOSYLTRANSFERASE_ACTIVITY",19,0,0.105263157894737,"Up",0.11,0.997805525460455
"GO_ENDODEOXYRIBONUCLEASE_ACTIVITY",47,0,0.0851063829787234,"Up",0.11,0.997805525460455
"GO_4_IRON_4_SULFUR_CLUSTER_BINDING",39,0,0.128205128205128,"Up",0.113,0.997805525460455
"GO_LAMININ_BINDING",29,0.0344827586206897,0.172413793103448,"Up",0.118,0.997805525460455
"GO_DNA_DIRECTED_DNA_POLYMERASE_ACTIVITY",26,0,0.153846153846154,"Up",0.118,0.997805525460455
"GO_DEACETYLASE_ACTIVITY",52,0.0192307692307692,0,"Down",0.122,0.997805525460455
"GO_SUMO_BINDING",13,0,0,"Down",0.123,0.997805525460455
"GO_CARBOXYPEPTIDASE_ACTIVITY",37,0,0.216216216216216,"Up",0.124,0.997805525460455
"GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_DISTAL_ENHANCER_SEQUENCE_SPECIFIC_BINDING",25,0.08,0.04,"Down",0.125,0.997805525460455
"GO_MICROTUBULE_SEVERING_ATPASE_ACTIVITY",11,0,0.181818181818182,"Up",0.136,0.997805525460455
"GO_DNA_HELICASE_ACTIVITY",50,0,0.18,"Up",0.136,0.997805525460455
