"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS",24,0,0.458333333333333,"Up",0.001,0.0184166666666667
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",31,0,0.451612903225806,"Up",0.001,0.0184166666666667
"REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS",30,0,0.433333333333333,"Up",0.001,0.0184166666666667
"REACTOME_GABA_RECEPTOR_ACTIVATION",52,0,0.423076923076923,"Up",0.001,0.0184166666666667
"REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT",12,0,0.416666666666667,"Up",0.001,0.0184166666666667
"KEGG_CALCIUM_SIGNALING_PATHWAY",170,0.0117647058823529,0.352941176470588,"Up",0.001,0.0184166666666667
"REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS",23,0,0.347826086956522,"Up",0.001,0.0184166666666667
"REACTOME_DAG_AND_IP3_SIGNALING",27,0,0.333333333333333,"Up",0.001,0.0184166666666667
"PID_SYNDECAN_1_PATHWAY",46,0.0217391304347826,0.304347826086957,"Up",0.001,0.0184166666666667
"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM",10,0,0.3,"Up",0.001,0.0184166666666667
"REACTOME_G_ALPHA_S_SIGNALLING_EVENTS",118,0.00847457627118644,0.288135593220339,"Up",0.001,0.0184166666666667
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS",171,0,0.286549707602339,"Up",0.001,0.0184166666666667
"REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS",44,0,0.272727272727273,"Up",0.001,0.0184166666666667
"PID_RAS_PATHWAY",30,0,0.266666666666667,"Up",0.001,0.0184166666666667
"ST_WNT_CA2_CYCLIC_GMP_PATHWAY",19,0.0526315789473684,0.263157894736842,"Up",0.001,0.0184166666666667
"REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK",191,0,0.261780104712042,"Up",0.001,0.0184166666666667
"REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION",20,0,0.25,"Up",0.001,0.0184166666666667
"ST_MYOCYTE_AD_PATHWAY",26,0,0.230769230769231,"Up",0.001,0.0184166666666667
"REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS",9,0,0.222222222222222,"Up",0.001,0.0184166666666667
"REACTOME_DEVELOPMENTAL_BIOLOGY",375,0.0186666666666667,0.213333333333333,"Up",0.001,0.0184166666666667
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",109,0.018348623853211,0.211009174311927,"Up",0.001,0.0184166666666667
"NABA_MATRISOME",914,0.00765864332603939,0.206783369803063,"Up",0.001,0.0184166666666667
"REACTOME_SIGNALING_BY_GPCR",753,0.00398406374501992,0.201859229747676,"Up",0.001,0.0184166666666667
"BIOCARTA_AGR_PATHWAY",35,0,0.2,"Up",0.001,0.0184166666666667
"PID_LPA4_PATHWAY",15,0,0.2,"Up",0.001,0.0184166666666667
"REACTOME_GPCR_DOWNSTREAM_SIGNALING",659,0.00455235204855842,0.195751138088012,"Up",0.001,0.0184166666666667
"KEGG_GAP_JUNCTION",85,0.0117647058823529,0.188235294117647,"Up",0.001,0.0184166666666667
"NABA_ECM_AFFILIATED",139,0.00719424460431655,0.18705035971223,"Up",0.001,0.0184166666666667
"REACTOME_G_ALPHA1213_SIGNALLING_EVENTS",73,0.0136986301369863,0.178082191780822,"Up",0.001,0.0184166666666667
"REACTOME_SIGNALING_BY_PDGF",114,0.0087719298245614,0.175438596491228,"Up",0.001,0.0184166666666667
"KEGG_MELANOMA",70,0,0.171428571428571,"Up",0.001,0.0184166666666667
"REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY",13,0,0.153846153846154,"Up",0.001,0.0184166666666667
"NABA_ECM_REGULATORS",219,0.0182648401826484,0.150684931506849,"Up",0.001,0.0184166666666667
"KEGG_MELANOGENESIS",96,0.0104166666666667,0.135416666666667,"Up",0.001,0.0184166666666667
"BIOCARTA_PAR1_PATHWAY",37,0.027027027027027,0.135135135135135,"Up",0.001,0.0184166666666667
"REACTOME_SIGNALING_BY_FGFR",104,0.00961538461538462,0.134615384615385,"Up",0.001,0.0184166666666667
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",17,0,0.470588235294118,"Up",0.002,0.0320806451612903
"BIOCARTA_STATHMIN_PATHWAY",17,0,0.411764705882353,"Up",0.002,0.0320806451612903
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",259,0.00386100386100386,0.386100386100386,"Up",0.002,0.0320806451612903
"REACTOME_GLYCOPROTEIN_HORMONES",9,0,0.333333333333333,"Up",0.002,0.0320806451612903
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",158,0,0.310126582278481,"Up",0.002,0.0320806451612903
"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS",83,0.0120481927710843,0.301204819277108,"Up",0.002,0.0320806451612903
"REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS",263,0.00380228136882129,0.29277566539924,"Up",0.002,0.0320806451612903
"BIOCARTA_NFAT_PATHWAY",49,0,0.285714285714286,"Up",0.002,0.0320806451612903
"KEGG_LONG_TERM_POTENTIATION",64,0.015625,0.28125,"Up",0.002,0.0320806451612903
"KEGG_NITROGEN_METABOLISM",22,0,0.272727272727273,"Up",0.002,0.0320806451612903
"REACTOME_AXON_GUIDANCE",235,0.00851063829787234,0.272340425531915,"Up",0.002,0.0320806451612903
"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS",172,0.00581395348837209,0.267441860465116,"Up",0.002,0.0320806451612903
"REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE",49,0,0.26530612244898,"Up",0.002,0.0320806451612903
"REACTOME_PLATELET_HOMEOSTASIS",75,0,0.253333333333333,"Up",0.002,0.0320806451612903
