"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_GABAERGIC_NEURON_DIFFERENTIATION",14,0,0.714285714285714,"Up",0.001,0.0110785714285714
"GO_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT",10,0,0.7,"Up",0.001,0.0110785714285714
"GO_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE",11,0,0.636363636363636,"Up",0.001,0.0110785714285714
"GO_ROUNDABOUT_SIGNALING_PATHWAY",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.0110785714285714
"GO_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE",11,0,0.636363636363636,"Up",0.001,0.0110785714285714
"GO_CATECHOLAMINE_TRANSPORT",13,0,0.615384615384615,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_GLUTAMATE_SECRETION",15,0,0.6,"Up",0.001,0.0110785714285714
"GO_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS",20,0,0.5,"Up",0.001,0.0110785714285714
"GO_DETECTION_OF_TEMPERATURE_STIMULUS",16,0,0.5,"Up",0.001,0.0110785714285714
"GO_INSEMINATION",12,0,0.5,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_CILIUM_MOVEMENT",10,0,0.5,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT",17,0.0588235294117647,0.470588235294118,"Up",0.001,0.0110785714285714
"GO_DENDRITIC_SPINE_ORGANIZATION",15,0.0666666666666667,0.466666666666667,"Up",0.001,0.0110785714285714
"GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION",13,0,0.461538461538462,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY",18,0,0.444444444444444,"Up",0.001,0.0110785714285714
"GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL",16,0,0.4375,"Up",0.001,0.0110785714285714
"GO_RESPONSE_TO_MORPHINE",30,0.0333333333333333,0.433333333333333,"Up",0.001,0.0110785714285714
"GO_DETECTION_OF_TEMPERATURE_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN",12,0,0.416666666666667,"Up",0.001,0.0110785714285714
"GO_DETECTION_OF_TEMPERATURE_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION",12,0,0.416666666666667,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING",17,0,0.411764705882353,"Up",0.001,0.0110785714285714
"GO_KIDNEY_MESENCHYME_DEVELOPMENT",17,0,0.411764705882353,"Up",0.001,0.0110785714285714
"GO_CRANIAL_NERVE_MORPHOGENESIS",22,0,0.409090909090909,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY",64,0,0.40625,"Up",0.001,0.0110785714285714
"GO_MUSCLE_FILAMENT_SLIDING",37,0.027027027027027,0.405405405405405,"Up",0.001,0.0110785714285714
"GO_ACTIN_MYOSIN_FILAMENT_SLIDING",37,0.027027027027027,0.405405405405405,"Up",0.001,0.0110785714285714
"GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT",25,0,0.4,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_CARDIAC_CONDUCTION",63,0,0.396825396825397,"Up",0.001,0.0110785714285714
"GO_POTASSIUM_ION_IMPORT",28,0,0.392857142857143,"Up",0.001,0.0110785714285714
"GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT",13,0,0.384615384615385,"Up",0.001,0.0110785714285714
"GO_POSITIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS",24,0.0416666666666667,0.375,"Up",0.001,0.0110785714285714
"GO_ACID_SECRETION",65,0,0.369230769230769,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_RYANODINE_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY",22,0,0.363636363636364,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_RENAL_SODIUM_EXCRETION",22,0,0.363636363636364,"Up",0.001,0.0110785714285714
"GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER",160,0.0125,0.3625,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_CAMP_METABOLIC_PROCESS",119,0,0.352941176470588,"Up",0.001,0.0110785714285714
"GO_BRAIN_MORPHOGENESIS",34,0.0294117647058824,0.352941176470588,"Up",0.001,0.0110785714285714
"GO_ENDOCRINE_PROCESS",43,0,0.348837209302326,"Up",0.001,0.0110785714285714
"GO_RESPONSE_TO_PAIN",29,0,0.344827586206897,"Up",0.001,0.0110785714285714
"GO_ACTIN_MEDIATED_CELL_CONTRACTION",70,0.0142857142857143,0.342857142857143,"Up",0.001,0.0110785714285714
"GO_CELL_CELL_SIGNALING",714,0.0140056022408964,0.337535014005602,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_ENDOCRINE_PROCESS",48,0.0208333333333333,0.333333333333333,"Up",0.001,0.0110785714285714
"GO_AXON_EXTENSION",36,0,0.333333333333333,"Up",0.001,0.0110785714285714
"GO_DOPAMINE_METABOLIC_PROCESS",24,0,0.333333333333333,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_SARCOPLASMIC_RETICULUM",21,0,0.333333333333333,"Up",0.001,0.0110785714285714
"GO_DRUG_TRANSMEMBRANE_TRANSPORT",18,0.0555555555555556,0.333333333333333,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_RESPONSE_TO_FOOD",18,0,0.333333333333333,"Up",0.001,0.0110785714285714
"GO_THYROID_HORMONE_METABOLIC_PROCESS",15,0,0.333333333333333,"Up",0.001,0.0110785714285714
"GO_BLASTODERM_SEGMENTATION",15,0,0.333333333333333,"Up",0.001,0.0110785714285714
"GO_PROTEIN_AUTOPROCESSING",12,0,0.333333333333333,"Up",0.001,0.0110785714285714
"GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT",50,0.02,0.32,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_NEUROLOGICAL_SYSTEM_PROCESS",63,0.0317460317460317,0.317460317460317,"Up",0.001,0.0110785714285714
"GO_POSITIVE_REGULATION_OF_RECEPTOR_ACTIVITY",41,0.024390243902439,0.317073170731707,"Up",0.001,0.0110785714285714
"GO_MUSCLE_FIBER_DEVELOPMENT",41,0,0.317073170731707,"Up",0.001,0.0110785714285714
"GO_ACTIN_FILAMENT_BASED_MOVEMENT",89,0.0112359550561798,0.314606741573034,"Up",0.001,0.0110785714285714
"GO_IMPORT_INTO_CELL",35,0.0571428571428571,0.314285714285714,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS",48,0.0625,0.3125,"Up",0.001,0.0110785714285714
"GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT",42,0,0.30952380952381,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_RECEPTOR_ACTIVITY",110,0.0272727272727273,0.309090909090909,"Up",0.001,0.0110785714285714
"GO_POSITIVE_REGULATION_OF_CYCLASE_ACTIVITY",55,0,0.309090909090909,"Up",0.001,0.0110785714285714
"GO_POSITIVE_REGULATION_OF_LYASE_ACTIVITY",55,0,0.309090909090909,"Up",0.001,0.0110785714285714
"GO_MYOTUBE_DIFFERENTIATION",49,0,0.306122448979592,"Up",0.001,0.0110785714285714
"GO_CELLULAR_RESPONSE_TO_PROSTAGLANDIN_STIMULUS",23,0,0.304347826086957,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",63,0,0.301587301587302,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE",80,0,0.3,"Up",0.001,0.0110785714285714
"GO_PROTEIN_KINASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",30,0,0.3,"Up",0.001,0.0110785714285714
"GO_RESPONSE_TO_LITHIUM_ION",27,0,0.296296296296296,"Up",0.001,0.0110785714285714
"GO_POSITIVE_REGULATION_OF_HEART_GROWTH",27,0,0.296296296296296,"Up",0.001,0.0110785714285714
"GO_NEGATIVE_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT",55,0,0.290909090909091,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT",31,0,0.290322580645161,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT",398,0.0050251256281407,0.28643216080402,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS",35,0,0.285714285714286,"Up",0.001,0.0110785714285714
"GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",28,0,0.285714285714286,"Up",0.001,0.0110785714285714
"GO_NEGATIVE_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS",14,0,0.285714285714286,"Up",0.001,0.0110785714285714
"GO_POSITIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS",102,0,0.284313725490196,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_HEART_RATE",81,0,0.283950617283951,"Up",0.001,0.0110785714285714
"GO_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL",67,0,0.283582089552239,"Up",0.001,0.0110785714285714
"GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT",545,0.0220183486238532,0.28256880733945,"Up",0.001,0.0110785714285714
