"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_GABAERGIC_NEURON_DIFFERENTIATION",14,0,0.714285714285714,"Up",0.001,0.0110785714285714,"ENSMUSG00000021743, ENSMUSG00000021478, ENSMUSG00000041324, ENSMUSG00000047171, ENSMUSG00000018012","Fezf2, Drd1, Inhba, Helt, Rac3"
"GO_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT",10,0,0.7,"Up",0.001,0.0110785714285714,"ENSMUSG00000019787, ENSMUSG00000021313, ENSMUSG00000032826, ENSMUSG00000020635","Trdn, Ryr2, Ank2, Fkbp1b"
"GO_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE",11,0,0.636363636363636,"Up",0.001,0.0110785714285714,"ENSMUSG00000034684, ENSMUSG00000028883, ENSMUSG00000019936, ENSMUSG00000056427, ENSMUSG00000041559","Sema3f, Sema3a, Epyc, Slit3, Fmod"
"GO_ROUNDABOUT_SIGNALING_PATHWAY",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.0110785714285714,"ENSMUSG00000056427, ENSMUSG00000041559, ENSMUSG00000019936","Slit3, Fmod, Epyc"
"GO_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE",11,0,0.636363636363636,"Up",0.001,0.0110785714285714,"ENSMUSG00000056427, ENSMUSG00000041559, ENSMUSG00000019936, ENSMUSG00000034684, ENSMUSG00000028883","Slit3, Fmod, Epyc, Sema3f, Sema3a"
"GO_CATECHOLAMINE_TRANSPORT",13,0,0.615384615384615,"Up",0.001,0.0110785714285714,"ENSMUSG00000025889, ENSMUSG00000021478, ENSMUSG00000023829, ENSMUSG00000040966","Snca, Drd1, Slc22a1, Slc22a2"
"GO_REGULATION_OF_GLUTAMATE_SECRETION",15,0,0.6,"Up",0.001,0.0110785714285714,"ENSMUSG00000056755, ENSMUSG00000044014, ENSMUSG00000025889, ENSMUSG00000039059, ENSMUSG00000020123, ENSMUSG00000027568","Grm7, Npy5r, Snca, Hrh3, Avpr1a, Ntsr1"
"GO_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS",20,0,0.5,"Up",0.001,0.0110785714285714,"ENSMUSG00000024957, ENSMUSG00000027612, ENSMUSG00000028664, ENSMUSG00000025905, ENSMUSG00000027568, ENSMUSG00000032769, ENSMUSG00000036251","Kcnk4, Mmp24, Ephb2, Oprk1, Ntsr1, Trpa1, Trpm8"
"GO_DETECTION_OF_TEMPERATURE_STIMULUS",16,0,0.5,"Up",0.001,0.0110785714285714,"ENSMUSG00000074968, ENSMUSG00000036251, ENSMUSG00000027568, ENSMUSG00000027612, ENSMUSG00000028664","Ano3, Trpm8, Ntsr1, Mmp24, Ephb2"
"GO_INSEMINATION",12,0,0.5,"Up",0.001,0.0110785714285714,"ENSMUSG00000020123, ENSMUSG00000020838","Avpr1a, Slc6a4"
