"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_MUSCLE_MYOSIN_COMPLEX",16,0,0.625,"Up",0.001,0.00675581395348837
"GO_MYOSIN_II_COMPLEX",22,0,0.5,"Up",0.001,0.00675581395348837
"GO_DENDRITIC_SHAFT",36,0.0277777777777778,0.472222222222222,"Up",0.001,0.00675581395348837
"GO_MYOSIN_FILAMENT",20,0,0.4,"Up",0.001,0.00675581395348837
"GO_CHLORIDE_CHANNEL_COMPLEX",46,0,0.391304347826087,"Up",0.001,0.00675581395348837
"GO_SARCOPLASMIC_RETICULUM_MEMBRANE",35,0,0.371428571428571,"Up",0.001,0.00675581395348837
"GO_SPERM_FLAGELLUM",52,0,0.365384615384615,"Up",0.001,0.00675581395348837
"GO_KINESIN_COMPLEX",52,0.0192307692307692,0.346153846153846,"Up",0.001,0.00675581395348837
"GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE",34,0,0.323529411764706,"Up",0.001,0.00675581395348837
"GO_COSTAMERE",19,0,0.315789473684211,"Up",0.001,0.00675581395348837
"GO_NEUROMUSCULAR_JUNCTION",52,0.0192307692307692,0.307692307692308,"Up",0.001,0.00675581395348837
"GO_SARCOPLASM",65,0.0153846153846154,0.292307692307692,"Up",0.001,0.00675581395348837
"GO_MYOSIN_COMPLEX",63,0.0317460317460317,0.285714285714286,"Up",0.001,0.00675581395348837
"GO_ANCHORED_COMPONENT_OF_MEMBRANE",129,0,0.27906976744186,"Up",0.001,0.00675581395348837
"GO_INTERCALATED_DISC",49,0,0.26530612244898,"Up",0.001,0.00675581395348837
"GO_CONTRACTILE_FIBER",199,0.0050251256281407,0.261306532663317,"Up",0.001,0.00675581395348837
"GO_STEREOCILIUM_BUNDLE",39,0,0.256410256410256,"Up",0.001,0.00675581395348837
"GO_PLASMA_MEMBRANE_REGION",877,0.0182440136830103,0.251995438996579,"Up",0.001,0.00675581395348837
"GO_SPERM_PART",131,0.0229007633587786,0.251908396946565,"Up",0.001,0.00675581395348837
"GO_CORTICAL_CYTOSKELETON",77,0,0.246753246753247,"Up",0.001,0.00675581395348837
"GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE",1474,0.0183175033921303,0.244911804613297,"Up",0.001,0.00675581395348837
"GO_CELL_CELL_CONTACT_ZONE",62,0.0161290322580645,0.241935483870968,"Up",0.001,0.00675581395348837
"GO_SARCOLEMMA",122,0.0245901639344262,0.237704918032787,"Up",0.001,0.00675581395348837
"GO_BASOLATERAL_PLASMA_MEMBRANE",204,0.0196078431372549,0.235294117647059,"Up",0.001,0.00675581395348837
"GO_LATERAL_PLASMA_MEMBRANE",47,0.0212765957446809,0.234042553191489,"Up",0.001,0.00675581395348837
"GO_INTERMEDIATE_FILAMENT",107,0.0186915887850467,0.233644859813084,"Up",0.001,0.00675581395348837
"GO_CELL_PROJECTION",1663,0.0240529164161155,0.227901383042694,"Up",0.001,0.00675581395348837
"GO_RECEPTOR_COMPLEX",318,0.00314465408805031,0.226415094339623,"Up",0.001,0.00675581395348837
"GO_MEMBRANE_REGION",1074,0.021415270018622,0.225325884543762,"Up",0.001,0.00675581395348837
"GO_SUPRAMOLECULAR_FIBER",540,0.0185185185185185,0.216666666666667,"Up",0.001,0.00675581395348837
"GO_SECRETORY_VESICLE",438,0.0365296803652968,0.214611872146119,"Up",0.001,0.00675581395348837
"GO_CELL_PROJECTION_MEMBRANE",280,0.025,0.210714285714286,"Up",0.001,0.00675581395348837
"GO_CELL_JUNCTION",1083,0.0277008310249307,0.207756232686981,"Up",0.001,0.00675581395348837
"GO_FILOPODIUM",89,0.0224719101123595,0.202247191011236,"Up",0.001,0.00675581395348837
"GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS",135,0.00740740740740741,0.2,"Up",0.001,0.00675581395348837
"GO_LEADING_EDGE_MEMBRANE",125,0.04,0.2,"Up",0.001,0.00675581395348837
