"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_MUSCLE_MYOSIN_COMPLEX",16,0,0.625,"Up",0.001,0.00675581395348837,"ENSMUSG00000033196, ENSMUSG00000057003, ENSMUSG00000056328, ENSMUSG00000059741, ENSMUSG00000039824","Myh2, Myh4, Myh1, Myl3, Myl6b"
"GO_MYOSIN_II_COMPLEX",22,0,0.5,"Up",0.001,0.00675581395348837,"ENSMUSG00000039824, ENSMUSG00000059741, ENSMUSG00000057003, ENSMUSG00000056328, ENSMUSG00000033196","Myl6b, Myl3, Myh4, Myh1, Myh2"
"GO_DENDRITIC_SHAFT",36,0.0277777777777778,0.472222222222222,"Up",0.001,0.00675581395348837,"ENSMUSG00000026514, ENSMUSG00000022208, ENSMUSG00000017740, ENSMUSG00000021057, ENSMUSG00000021478, ENSMUSG00000024873, ENSMUSG00000027568, ENSMUSG00000036306, ENSMUSG00000056755","Cnih3, Jph4, Slc12a5, Akap5, Drd1, Cnih2, Ntsr1, Lzts1, Grm7"
"GO_MYOSIN_FILAMENT",20,0,0.4,"Up",0.001,0.00675581395348837,"ENSMUSG00000033196, ENSMUSG00000056328, ENSMUSG00000057003","Myh2, Myh1, Myh4"
"GO_CHLORIDE_CHANNEL_COMPLEX",46,0,0.391304347826087,"Up",0.001,0.00675581395348837,"ENSMUSG00000010803, ENSMUSG00000055078","Gabra1, Gabra5"
"GO_SARCOPLASMIC_RETICULUM_MEMBRANE",35,0,0.371428571428571,"Up",0.001,0.00675581395348837,"ENSMUSG00000061603, ENSMUSG00000057897, ENSMUSG00000019787, ENSMUSG00000022208, ENSMUSG00000021313, ENSMUSG00000020635","Akap6, Camk2b, Trdn, Jph4, Ryr2, Fkbp1b"
"GO_SPERM_FLAGELLUM",52,0,0.365384615384615,"Up",0.001,0.00675581395348837,"ENSMUSG00000072663, ENSMUSG00000042189, ENSMUSG00000047671, ENSMUSG00000024033, ENSMUSG00000036551","Spef2, Tekt3, Tctex1d4, Rsph1, Akap14"
"GO_KINESIN_COMPLEX",52,0.0192307692307692,0.346153846153846,"Up",0.001,0.00675581395348837,"ENSMUSG00000027475, ENSMUSG00000004187, ENSMUSG00000026764, ENSMUSG00000060176","Kif3b, Kifc2, Kif5c, Kif27"
"GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE",34,0,0.323529411764706,"Up",0.001,0.00675581395348837,"ENSMUSG00000048915, ENSMUSG00000055653, ENSMUSG00000050896, ENSMUSG00000043557","Efna5, Gpc3, Rtn4rl2, Mdga1"
"GO_COSTAMERE",19,0,0.315789473684211,"Up",0.001,0.00675581395348837,"ENSMUSG00000032826, ENSMUSG00000022565, ENSMUSG00000041476, ENSMUSG00000049382","Ank2, Plec, Smpx, Krt8"
"GO_NEUROMUSCULAR_JUNCTION",52,0.0192307692307692,0.307692307692308,"Up",0.001,0.00675581395348837,"ENSMUSG00000028289, ENSMUSG00000057280, ENSMUSG00000034799, ENSMUSG00000026235, ENSMUSG00000031962","Epha7, Musk, Unc13a, Epha4, Cdh15"
"GO_SARCOPLASM",65,0.0153846153846154,0.292307692307692,"Up",0.001,0.00675581395348837,"ENSMUSG00000020635, ENSMUSG00000022208, ENSMUSG00000022519, ENSMUSG00000028773, ENSMUSG00000061603, ENSMUSG00000021313, ENSMUSG00000019787, ENSMUSG00000057897, ENSMUSG00000022565","Fkbp1b, Jph4, Srl, Fabp3, Akap6, Ryr2, Trdn, Camk2b, Plec"
