"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_NEUROTRANSMITTER_TRANSPORTER_ACTIVITY",25,0,0.56,"Up",0.001,0.00842727272727273
"GO_NEUROTRANSMITTER_SODIUM_SYMPORTER_ACTIVITY",19,0,0.473684210526316,"Up",0.001,0.00842727272727273
"GO_PHOSPHOLIPASE_BINDING",15,0,0.466666666666667,"Up",0.001,0.00842727272727273
"GO_DIACYLGLYCEROL_BINDING",11,0,0.454545454545455,"Up",0.001,0.00842727272727273
"GO_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY",16,0,0.4375,"Up",0.001,0.00842727272727273
"GO_GAP_JUNCTION_CHANNEL_ACTIVITY",16,0,0.4375,"Up",0.001,0.00842727272727273
"GO_INTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY",28,0,0.428571428571429,"Up",0.001,0.00842727272727273
"GO_CARBONATE_DEHYDRATASE_ACTIVITY",14,0,0.428571428571429,"Up",0.001,0.00842727272727273
"GO_GAMMA_CATENIN_BINDING",12,0,0.416666666666667,"Up",0.001,0.00842727272727273
"GO_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING",51,0,0.372549019607843,"Up",0.001,0.00842727272727273
"GO_MICROFILAMENT_MOTOR_ACTIVITY",19,0,0.368421052631579,"Up",0.001,0.00842727272727273
"GO_CALMODULIN_BINDING",173,0.00578034682080925,0.358381502890173,"Up",0.001,0.00842727272727273
"GO_MICROTUBULE_MOTOR_ACTIVITY",70,0.0142857142857143,0.342857142857143,"Up",0.001,0.00842727272727273
"GO_STRUCTURAL_CONSTITUENT_OF_MUSCLE",38,0,0.342105263157895,"Up",0.001,0.00842727272727273
"GO_NUCLEOSIDE_DIPHOSPHATE_KINASE_ACTIVITY",15,0,0.333333333333333,"Up",0.001,0.00842727272727273
"GO_MOTOR_ACTIVITY",121,0.0165289256198347,0.330578512396694,"Up",0.001,0.00842727272727273
