"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_NEUROTRANSMITTER_TRANSPORTER_ACTIVITY",25,0,0.56,"Up",0.001,0.00842727272727273,"ENSMUSG00000023829, ENSMUSG00000021612, ENSMUSG00000040966, ENSMUSG00000052026, ENSMUSG00000020838","Slc22a1, Slc6a18, Slc22a2, Slc6a7, Slc6a4"
"GO_NEUROTRANSMITTER_SODIUM_SYMPORTER_ACTIVITY",19,0,0.473684210526316,"Up",0.001,0.00842727272727273,"ENSMUSG00000020838, ENSMUSG00000052026, ENSMUSG00000021612","Slc6a4, Slc6a7, Slc6a18"
"GO_PHOSPHOLIPASE_BINDING",15,0,0.466666666666667,"Up",0.001,0.00842727272727273,"ENSMUSG00000057897, ENSMUSG00000022055, ENSMUSG00000025889","Camk2b, Nefl, Snca"
"GO_DIACYLGLYCEROL_BINDING",11,0,0.454545454545455,"Up",0.001,0.00842727272727273,"ENSMUSG00000034799, ENSMUSG00000062151, ENSMUSG00000032946","Unc13a, Unc13c, Rasgrp2"
"GO_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY",16,0,0.4375,"Up",0.001,0.00842727272727273,"ENSMUSG00000021313, ENSMUSG00000020635, ENSMUSG00000032769","Ryr2, Fkbp1b, Trpa1"
"GO_GAP_JUNCTION_CHANNEL_ACTIVITY",16,0,0.4375,"Up",0.001,0.00842727272727273,"ENSMUSG00000068615, ENSMUSG00000058441","Gjd2, Panx2"
"GO_INTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY",28,0,0.428571428571429,"Up",0.001,0.00842727272727273,"ENSMUSG00000020635, ENSMUSG00000021313, ENSMUSG00000032769","Fkbp1b, Ryr2, Trpa1"
"GO_CARBONATE_DEHYDRATASE_ACTIVITY",14,0,0.428571428571429,"Up",0.001,0.00842727272727273,"ENSMUSG00000028463","Car9"
"GO_GAMMA_CATENIN_BINDING",12,0,0.416666666666667,"Up",0.001,0.00842727272727273,"ENSMUSG00000005871, ENSMUSG00000059898, ENSMUSG00000000303","Apc, Dsc3, Cdh1"
"GO_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING",51,0,0.372549019607843,"Up",0.001,0.00842727272727273,"ENSMUSG00000021950, ENSMUSG00000052301, ENSMUSG00000004961, ENSMUSG00000020848, ENSMUSG00000031635","Anxa8, Doc2a, Syt5, Doc2b, Anxa10"
"GO_MICROFILAMENT_MOTOR_ACTIVITY",19,0,0.368421052631579,"Up",0.001,0.00842727272727273,"ENSMUSG00000033196, ENSMUSG00000025885, ENSMUSG00000057003","Myh2, Myo5b, Myh4"
"GO_CALMODULIN_BINDING",173,0.00578034682080925,0.358381502890173,"Up",0.001,0.00842727272727273,"ENSMUSG00000038128, ENSMUSG00000057003, ENSMUSG00000029471, ENSMUSG00000021708, ENSMUSG00000057897, ENSMUSG00000030302, ENSMUSG00000059173, ENSMUSG00000028161, ENSMUSG00000025885, ENSMUSG00000056328, ENSMUSG00000032936, ENSMUSG00000033196, ENSMUSG00000015222, ENSMUSG00000021057, ENSMUSG00000053310, ENSMUSG00000020431, ENSMUSG00000032503, ENSMUSG00000019943, ENSMUSG00000021313","Camk4, Myh4, Camkk2, Rasgrf2, Camk2b, Atp2b2, Pde1a, Ppp3ca, Myo5b, Myh1, Camkv, Myh2, Map2, Akap5, Nrgn, Adcy1, Arpp21, Atp2b1, Ryr2"
"GO_MICROTUBULE_MOTOR_ACTIVITY",70,0.0142857142857143,0.342857142857143,"Up",0.001,0.00842727272727273,"ENSMUSG00000004187, ENSMUSG00000027475, ENSMUSG00000056752, ENSMUSG00000034467, ENSMUSG00000060176, ENSMUSG00000026764, ENSMUSG00000042707","Kifc2, Kif3b, Dnah9, Dynlrb2, Kif27, Kif5c, Dnali1"
