"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",13,0,0.692307692307692,"Up",0.001,0.01325
"REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS",13,0.0769230769230769,0.692307692307692,"Up",0.001,0.01325
"REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION",22,0.0454545454545455,0.636363636363636,"Up",0.001,0.01325
"BIOCARTA_MPR_PATHWAY",33,0.606060606060606,0.0606060606060606,"Down",0.001,0.01325
"REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA",20,0.05,0.6,"Up",0.001,0.01325
"REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR",19,0.578947368421053,0.0526315789473684,"Down",0.001,0.01325
"REACTOME_ADP_SIGNALLING_THROUGH_P2RY12",21,0.571428571428571,0.0476190476190476,"Down",0.001,0.01325
"BIOCARTA_NDKDYNAMIN_PATHWAY",16,0.5625,0,"Down",0.001,0.01325
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION",33,0.0606060606060606,0.545454545454545,"Up",0.001,0.01325
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING",13,0.538461538461538,0,"Down",0.001,0.01325
"REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS",19,0.526315789473684,0,"Down",0.001,0.01325
"BIOCARTA_BARRESTIN_SRC_PATHWAY",15,0.466666666666667,0.133333333333333,"Down",0.001,0.01325
"BIOCARTA_CDK5_PATHWAY",11,0.454545454545455,0,"Down",0.001,0.01325
"BIOCARTA_P35ALZHEIMERS_PATHWAY",11,0.454545454545455,0,"Down",0.001,0.01325
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",18,0.444444444444444,0,"Down",0.001,0.01325
"BIOCARTA_CREB_PATHWAY",25,0.44,0.04,"Down",0.001,0.01325
"REACTOME_ADP_SIGNALLING_THROUGH_P2RY1",25,0.44,0.04,"Down",0.001,0.01325
"REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1",41,0.439024390243902,0.0487804878048781,"Down",0.001,0.01325
"REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR",23,0.434782608695652,0.0434782608695652,"Down",0.001,0.01325
"REACTOME_SIGNAL_AMPLIFICATION",31,0.419354838709677,0.032258064516129,"Down",0.001,0.01325
"REACTOME_ARMS_MEDIATED_ACTIVATION",17,0.411764705882353,0.0588235294117647,"Down",0.001,0.01325
"REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA",25,0.4,0.08,"Down",0.001,0.01325
"REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN",15,0.4,0,"Down",0.001,0.01325
"BIOCARTA_PARKIN_PATHWAY",10,0.4,0.1,"Down",0.001,0.01325
"BIOCARTA_PYK2_PATHWAY",26,0.384615384615385,0.0769230769230769,"Down",0.001,0.01325
"REACTOME_OPIOID_SIGNALLING",73,0.383561643835616,0.0958904109589041,"Down",0.001,0.01325
"PID_NETRIN_PATHWAY",32,0.375,0.09375,"Down",0.001,0.01325
"KEGG_LYSINE_DEGRADATION",38,0.0263157894736842,0.342105263157895,"Up",0.001,0.01325
"REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION",97,0.11340206185567,0.34020618556701,"Up",0.001,0.01325
"REACTOME_L1CAM_INTERACTIONS",81,0.333333333333333,0.0987654320987654,"Down",0.001,0.01325
"BIOCARTA_CXCR4_PATHWAY",24,0.333333333333333,0.0833333333333333,"Down",0.001,0.01325
