"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",13,0,0.692307692307692,"Up",0.001,0.01325,"ENSMUSG00000028957, ENSMUSG00000030103, ENSMUSG00000020889, ENSMUSG00000068742, ENSMUSG00000055116","Per3, Bhlhe40, Nr1d1, Cry2, Arntl"
"REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS",13,0.0769230769230769,0.692307692307692,"Up",0.001,0.01325,"ENSMUSG00000033400, ENSMUSG00000025791, ENSMUSG00000034055, ENSMUSG00000031295, ENSMUSG00000036879, ENSMUSG00000025537, ENSMUSG00000033059","Agl, Pgm2, Phka1, Phka2, Phkb, Phkg1, Pygb"
"REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION",22,0.0454545454545455,0.636363636363636,"Up",0.001,0.01325,"ENSMUSG00000038369, ENSMUSG00000055116, ENSMUSG00000022383, ENSMUSG00000032238, ENSMUSG00000020538, ENSMUSG00000027630, ENSMUSG00000020889","Ncoa6, Arntl, Ppara, Rora, Srebf1, Tbl1xr1, Nr1d1"
"BIOCARTA_MPR_PATHWAY",33,0.606060606060606,0.0606060606060606,"Down",0.001,0.01325,"ENSMUSG00000025499, ENSMUSG00000010505, ENSMUSG00000031972, ENSMUSG00000057614, ENSMUSG00000028656, ENSMUSG00000032171, ENSMUSG00000005034, ENSMUSG00000027523, ENSMUSG00000079426, ENSMUSG00000008475, ENSMUSG00000029064, ENSMUSG00000020152, ENSMUSG00000020612, ENSMUSG00000029622, ENSMUSG00000025855, ENSMUSG00000063065, ENSMUSG00000006304","Hras, Myt1, Acta1, Gnai1, Cap1, Pin1, Prkacb, Gnas, Arpc4, Arpc5, Gnb1, Actr2, Prkar1a, Arpc1b, Prkar1b, Mapk3, Arpc2"
"REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA",20,0.05,0.6,"Up",0.001,0.01325,"ENSMUSG00000038369, ENSMUSG00000055116, ENSMUSG00000022383, ENSMUSG00000032238, ENSMUSG00000027630, ENSMUSG00000020889","Ncoa6, Arntl, Ppara, Rora, Tbl1xr1, Nr1d1"
"REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR",19,0.578947368421053,0.0526315789473684,"Down",0.001,0.01325,"ENSMUSG00000027523, ENSMUSG00000029064, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000021303, ENSMUSG00000048240, ENSMUSG00000038607, ENSMUSG00000038811, ENSMUSG00000025739, ENSMUSG00000043004, ENSMUSG00000027669","Gnas, Gnb1, Gnb2, Gng3, Gng4, Gng7, Gng10, Gngt2, Gng13, Gng2, Gnb4"
"REACTOME_ADP_SIGNALLING_THROUGH_P2RY12",21,0.571428571428571,0.0476190476190476,"Down",0.001,0.01325,"ENSMUSG00000057614, ENSMUSG00000029064, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000021303, ENSMUSG00000048240, ENSMUSG00000038607, ENSMUSG00000038811, ENSMUSG00000025739, ENSMUSG00000043004, ENSMUSG00000027669, ENSMUSG00000036353","Gnai1, Gnb1, Gnb2, Gng3, Gng4, Gng7, Gng10, Gngt2, Gng13, Gng2, Gnb4, P2ry12"
"BIOCARTA_NDKDYNAMIN_PATHWAY",16,0.5625,0,"Down",0.001,0.01325,"ENSMUSG00000023805, ENSMUSG00000026825, ENSMUSG00000024381, ENSMUSG00000037601, ENSMUSG00000020857, ENSMUSG00000036438, ENSMUSG00000022841","Synj2, Dnm1, Bin1, Nme1, Nme2, Calm2, Ap2m1"
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION",33,0.0606060606060606,0.545454545454545,"Up",0.001,0.01325,"ENSMUSG00000068742, ENSMUSG00000059824, ENSMUSG00000038369, ENSMUSG00000055116, ENSMUSG00000022383, ENSMUSG00000032238, ENSMUSG00000027630, ENSMUSG00000030103, ENSMUSG00000020889","Cry2, Dbp, Ncoa6, Arntl, Ppara, Rora, Tbl1xr1, Bhlhe40, Nr1d1"
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING",13,0.538461538461538,0,"Down",0.001,0.01325,"ENSMUSG00000022841, ENSMUSG00000008036, ENSMUSG00000028478, ENSMUSG00000002957, ENSMUSG00000035152, ENSMUSG00000026825, ENSMUSG00000027859","Ap2m1, Ap2s1, Clta, Ap2a2, Ap2b1, Dnm1, Ngf"
"REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS",19,0.526315789473684,0,"Down",0.001,0.01325,"ENSMUSG00000022841, ENSMUSG00000004849, ENSMUSG00000008036, ENSMUSG00000002957, ENSMUSG00000035152, ENSMUSG00000048076, ENSMUSG00000033793, ENSMUSG00000026012","Ap2m1, Ap1s1, Ap2s1, Ap2a2, Ap2b1, Arf1, Atp6v1h, Cd28"
"BIOCARTA_BARRESTIN_SRC_PATHWAY",15,0.466666666666667,0.133333333333333,"Down",0.001,0.01325,"ENSMUSG00000025499, ENSMUSG00000051177, ENSMUSG00000027523, ENSMUSG00000026825, ENSMUSG00000029064, ENSMUSG00000063065","Hras, Plcb1, Gnas, Dnm1, Gnb1, Mapk3"
"BIOCARTA_CDK5_PATHWAY",11,0.454545454545455,0,"Down",0.001,0.01325,"ENSMUSG00000025499, ENSMUSG00000048895, ENSMUSG00000027859, ENSMUSG00000063065","Hras, Cdk5r1, Ngf, Mapk3"
"BIOCARTA_P35ALZHEIMERS_PATHWAY",11,0.454545454545455,0,"Down",0.001,0.01325,"ENSMUSG00000048895, ENSMUSG00000020349, ENSMUSG00000001794, ENSMUSG00000078144, ENSMUSG00000022892","Cdk5r1, Ppp2ca, Capns1, Capns2, App"
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",18,0.444444444444444,0,"Down",0.001,0.01325,"ENSMUSG00000023004, ENSMUSG00000062380, ENSMUSG00000062591, ENSMUSG00000030007, ENSMUSG00000034024, ENSMUSG00000022234, ENSMUSG00000072235","Tuba1b, Tubb3, Tubb4a, Cct7, Cct2, Cct5, Tuba1a"
"BIOCARTA_CREB_PATHWAY",25,0.44,0.04,"Down",0.001,0.01325,"ENSMUSG00000025499, ENSMUSG00000052889, ENSMUSG00000024617, ENSMUSG00000057897, ENSMUSG00000005034, ENSMUSG00000027523, ENSMUSG00000059923, ENSMUSG00000020612, ENSMUSG00000025855, ENSMUSG00000063065, ENSMUSG00000001847","Hras, Prkcb, Camk2a, Camk2b, Prkacb, Gnas, Grb2, Prkar1a, Prkar1b, Mapk3, Rac1"
"REACTOME_ADP_SIGNALLING_THROUGH_P2RY1",25,0.44,0.04,"Down",0.001,0.01325,"ENSMUSG00000029064, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000021303, ENSMUSG00000048240, ENSMUSG00000038607, ENSMUSG00000038811, ENSMUSG00000025739, ENSMUSG00000056220, ENSMUSG00000043004, ENSMUSG00000027669","Gnb1, Gnb2, Gng3, Gng4, Gng7, Gng10, Gngt2, Gng13, Pla2g4a, Gng2, Gnb4"
"REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1",41,0.439024390243902,0.0487804878048781,"Down",0.001,0.01325,"ENSMUSG00000049044, ENSMUSG00000022840, ENSMUSG00000027523, ENSMUSG00000029064, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000021303, ENSMUSG00000048240, ENSMUSG00000038607, ENSMUSG00000038811, ENSMUSG00000025739, ENSMUSG00000043004, ENSMUSG00000005469, ENSMUSG00000005034, ENSMUSG00000020612, ENSMUSG00000025855, ENSMUSG00000027669","Rapgef4, Adcy5, Gnas, Gnb1, Gnb2, Gng3, Gng4, Gng7, Gng10, Gngt2, Gng13, Gng2, Prkaca, Prkacb, Prkar1a, Prkar1b, Gnb4"
"REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR",23,0.434782608695652,0.0434782608695652,"Down",0.001,0.01325,"ENSMUSG00000029064, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000021303, ENSMUSG00000048240, ENSMUSG00000038607, ENSMUSG00000038811, ENSMUSG00000025739, ENSMUSG00000043004, ENSMUSG00000027669","Gnb1, Gnb2, Gng3, Gng4, Gng7, Gng10, Gngt2, Gng13, Gng2, Gnb4"
"REACTOME_SIGNAL_AMPLIFICATION",31,0.419354838709677,0.032258064516129,"Down",0.001,0.01325,"ENSMUSG00000057614, ENSMUSG00000029064, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000021303, ENSMUSG00000048240, ENSMUSG00000038607, ENSMUSG00000038811, ENSMUSG00000025739, ENSMUSG00000056220, ENSMUSG00000043004, ENSMUSG00000027669, ENSMUSG00000036353","Gnai1, Gnb1, Gnb2, Gng3, Gng4, Gng7, Gng10, Gngt2, Gng13, Pla2g4a, Gng2, Gnb4, P2ry12"
"REACTOME_ARMS_MEDIATED_ACTIVATION",17,0.411764705882353,0.0588235294117647,"Down",0.001,0.01325,"ENSMUSG00000025499, ENSMUSG00000027859, ENSMUSG00000063065, ENSMUSG00000018326","Hras, Ngf, Mapk3, Ywhab"
"REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA",25,0.4,0.08,"Down",0.001,0.01325,"ENSMUSG00000029064, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000021303, ENSMUSG00000048240, ENSMUSG00000038607, ENSMUSG00000038811, ENSMUSG00000025739, ENSMUSG00000043004, ENSMUSG00000027669","Gnb1, Gnb2, Gng3, Gng4, Gng7, Gng10, Gngt2, Gng13, Gng2, Gnb4"
"REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN",15,0.4,0,"Down",0.001,0.01325,"ENSMUSG00000025499, ENSMUSG00000027859, ENSMUSG00000063065, ENSMUSG00000057455, ENSMUSG00000018326","Hras, Ngf, Mapk3, Rit2, Ywhab"
"BIOCARTA_PARKIN_PATHWAY",10,0.4,0.1,"Down",0.001,0.01325,"ENSMUSG00000025889","Snca"
"BIOCARTA_PYK2_PATHWAY",26,0.384615384615385,0.0769230769230769,"Down",0.001,0.01325,"ENSMUSG00000025499, ENSMUSG00000052889, ENSMUSG00000033352, ENSMUSG00000030774, ENSMUSG00000059923, ENSMUSG00000063065, ENSMUSG00000036438, ENSMUSG00000059456, ENSMUSG00000001847","Hras, Prkcb, Map2k4, Pak1, Grb2, Mapk3, Calm2, Ptk2b, Rac1"
"REACTOME_OPIOID_SIGNALLING",73,0.383561643835616,0.0958904109589041,"Down",0.001,0.01325,"ENSMUSG00000022840, ENSMUSG00000051177, ENSMUSG00000057614, ENSMUSG00000029064, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000021303, ENSMUSG00000048240, ENSMUSG00000038607, ENSMUSG00000038811, ENSMUSG00000059173, ENSMUSG00000025739, ENSMUSG00000056220, ENSMUSG00000040061, ENSMUSG00000043004, ENSMUSG00000040385, ENSMUSG00000020349, ENSMUSG00000009630, ENSMUSG00000033953, ENSMUSG00000005469, ENSMUSG00000005034, ENSMUSG00000020612, ENSMUSG00000025855, ENSMUSG00000027669, ENSMUSG00000036438, ENSMUSG00000061718","Adcy5, Plcb1, Gnai1, Gnb1, Gnb2, Gng3, Gng4, Gng7, Gng10, Gngt2, Pde1a, Gng13, Pla2g4a, Plcb2, Gng2, Ppp1ca, Ppp2ca, Ppp2cb, Ppp3r1, Prkaca, Prkacb, Prkar1a, Prkar1b, Gnb4, Calm2, Ppp1r1b"
"PID_NETRIN_PATHWAY",32,0.375,0.09375,"Down",0.001,0.01325,"ENSMUSG00000006699, ENSMUSG00000025422, ENSMUSG00000030774, ENSMUSG00000020099, ENSMUSG00000063065, ENSMUSG00000017781, ENSMUSG00000001847, ENSMUSG00000024617, ENSMUSG00000052727, ENSMUSG00000041112, ENSMUSG00000025876","Cdc42, Agap2, Pak1, Unc5b, Mapk3, Pitpna, Rac1, Camk2a, Map1b, Elmo1, Unc5a"
"KEGG_LYSINE_DEGRADATION",38,0.0263157894736842,0.342105263157895,"Up",0.001,0.01325,"ENSMUSG00000055923, ENSMUSG00000032374, ENSMUSG00000029695, ENSMUSG00000028053, ENSMUSG00000003809, ENSMUSG00000053644, ENSMUSG00000036893, ENSMUSG00000021488, ENSMUSG00000017453","Aasdh, Plod2, Aass, Ash1l, Gcdh, Aldh7a1, Ehmt1, Nsd1, Pipox"
"REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION",97,0.11340206185567,0.34020618556701,"Up",0.001,0.01325,"ENSMUSG00000029635, ENSMUSG00000031980, ENSMUSG00000038369, ENSMUSG00000020656, ENSMUSG00000021670, ENSMUSG00000031808, ENSMUSG00000055116, ENSMUSG00000022383, ENSMUSG00000032238, ENSMUSG00000020538, ENSMUSG00000002249, ENSMUSG00000027630, ENSMUSG00000030545, ENSMUSG00000019984, ENSMUSG00000020397, ENSMUSG00000020889, ENSMUSG00000079487","Cdk8, Agt, Ncoa6, Grhl1, Hmgcr, Slc27a1, Arntl, Ppara, Rora, Srebf1, Tead3, Tbl1xr1, Pex11a, Med23, Med7, Nr1d1, Med12"
"REACTOME_L1CAM_INTERACTIONS",81,0.333333333333333,0.0987654320987654,"Down",0.001,0.01325,"ENSMUSG00000024966, ENSMUSG00000022841, ENSMUSG00000008036, ENSMUSG00000028478, ENSMUSG00000055022, ENSMUSG00000024387, ENSMUSG00000002957, ENSMUSG00000035152, ENSMUSG00000031285, ENSMUSG00000026825, ENSMUSG00000069601, ENSMUSG00000020689, ENSMUSG00000016346, ENSMUSG00000030774, ENSMUSG00000063065, ENSMUSG00000011751, ENSMUSG00000001847, ENSMUSG00000019194, ENSMUSG00000070304, ENSMUSG00000021061, ENSMUSG00000067889, ENSMUSG00000053024, ENSMUSG00000017167, ENSMUSG00000025969","Stip1, Ap2m1, Ap2s1, Clta, Cntn1, Csnk2b, Ap2a2, Ap2b1, Dcx, Dnm1, Ank3, Itgb3, Kcnq2, Pak1, Mapk3, Sptbn4, Rac1, Scn1b, Scn2b, Sptb, Sptbn2, Cntn2, Cntnap1, Nrp2"
"BIOCARTA_CXCR4_PATHWAY",24,0.333333333333333,0.0833333333333333,"Down",0.001,0.01325,"ENSMUSG00000025499, ENSMUSG00000052889, ENSMUSG00000057614, ENSMUSG00000061353, ENSMUSG00000029064, ENSMUSG00000063065, ENSMUSG00000059456","Hras, Prkcb, Gnai1, Cxcl12, Gnb1, Mapk3, Ptk2b"
