"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_VENTRAL_SPINAL_CORD_INTERNEURON_SPECIFICATION",9,0,0.666666666666667,"Up",0.001,0.0314256756756757
"GO_CELL_FATE_SPECIFICATION_INVOLVED_IN_PATTERN_SPECIFICATION",9,0,0.666666666666667,"Up",0.001,0.0314256756756757
"GO_NEGATIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.0314256756756757
"GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS",8,0,0.625,"Up",0.001,0.0314256756756757
"GO_ENAMEL_MINERALIZATION",10,0,0.6,"Up",0.001,0.0314256756756757
"GO_TOOTH_MINERALIZATION",12,0,0.583333333333333,"Up",0.001,0.0314256756756757
"GO_SPINAL_CORD_MOTOR_NEURON_CELL_FATE_SPECIFICATION",7,0,0.571428571428571,"Up",0.001,0.0314256756756757
"GO_PROSTATE_GLANDULAR_ACINUS_DEVELOPMENT",9,0.111111111111111,0.555555555555556,"Up",0.001,0.0314256756756757
"GO_ACTIN_NUCLEATION",20,0.55,0.15,"Down",0.001,0.0314256756756757
"GO_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.0314256756756757
"GO_FLUID_TRANSPORT",24,0.0833333333333333,0.5,"Up",0.001,0.0314256756756757
"GO_CELLULAR_RESPONSE_TO_STEROL",14,0,0.5,"Up",0.001,0.0314256756756757
"GO_CELLULAR_RESPONSE_TO_CHOLESTEROL",12,0,0.5,"Up",0.001,0.0314256756756757
"GO_POLYSACCHARIDE_CATABOLIC_PROCESS",21,0.0476190476190476,0.476190476190476,"Up",0.001,0.0314256756756757
"GO_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING",15,0.133333333333333,0.466666666666667,"Up",0.001,0.0314256756756757
"GO_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS",26,0.115384615384615,0.461538461538462,"Up",0.001,0.0314256756756757
