"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_VENTRAL_SPINAL_CORD_INTERNEURON_SPECIFICATION",9,0,0.666666666666667,"Up",0.001,0.0314256756756757,"ENSMUSG00000048402, ENSMUSG00000021318, ENSMUSG00000025231, ENSMUSG00000027168","Gli2, Gli3, Sufu, Pax6"
"GO_CELL_FATE_SPECIFICATION_INVOLVED_IN_PATTERN_SPECIFICATION",9,0,0.666666666666667,"Up",0.001,0.0314256756756757,"ENSMUSG00000048402, ENSMUSG00000021318, ENSMUSG00000025231, ENSMUSG00000027168","Gli2, Gli3, Sufu, Pax6"
"GO_NEGATIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.0314256756756757,"ENSMUSG00000021469, ENSMUSG00000022510, ENSMUSG00000029687, ENSMUSG00000026923","Msx2, Trp63, Ezh2, Notch1"
"GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS",8,0,0.625,"Up",0.001,0.0314256756756757,"ENSMUSG00000033717, ENSMUSG00000026923, ENSMUSG00000021071, ENSMUSG00000000838","Adra2a, Notch1, Trim9, Fmr1"
"GO_ENAMEL_MINERALIZATION",10,0,0.6,"Up",0.001,0.0314256756756757,"ENSMUSG00000021469, ENSMUSG00000022383, ENSMUSG00000044976, ENSMUSG00000020614","Msx2, Ppara, Wdr72, Fam20a"
"GO_TOOTH_MINERALIZATION",12,0,0.583333333333333,"Up",0.001,0.0314256756756757,"ENSMUSG00000022383, ENSMUSG00000028766, ENSMUSG00000021469, ENSMUSG00000020614, ENSMUSG00000044976","Ppara, Alpl, Msx2, Fam20a, Wdr72"
"GO_SPINAL_CORD_MOTOR_NEURON_CELL_FATE_SPECIFICATION",7,0,0.571428571428571,"Up",0.001,0.0314256756756757,"ENSMUSG00000027168, ENSMUSG00000025231, ENSMUSG00000048402, ENSMUSG00000021318","Pax6, Sufu, Gli2, Gli3"
"GO_PROSTATE_GLANDULAR_ACINUS_DEVELOPMENT",9,0.111111111111111,0.555555555555556,"Up",0.001,0.0314256756756757,"ENSMUSG00000026923, ENSMUSG00000030849, ENSMUSG00000022510","Notch1, Fgfr2, Trp63"
"GO_ACTIN_NUCLEATION",20,0.55,0.15,"Down",0.001,0.0314256756756757,"ENSMUSG00000079426, ENSMUSG00000010154, ENSMUSG00000020152, ENSMUSG00000006304, ENSMUSG00000008475, ENSMUSG00000026755, ENSMUSG00000029622, ENSMUSG00000021326","Arpc4, Spire2, Actr2, Arpc2, Arpc5, Arpc5l, Arpc1b, Trim27"
"GO_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.0314256756756757,"ENSMUSG00000028341, ENSMUSG00000055782, ENSMUSG00000038894, ENSMUSG00000022383, ENSMUSG00000004056","Nr4a3, Abcd2, Irs2, Ppara, Akt2"
