"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_METHYLOSOME",12,0.666666666666667,0,"Down",0.001,0.0413571428571429
"GO_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE_MEMBRANE",12,0.416666666666667,0,"Down",0.001,0.0413571428571429
"GO_CLATHRIN_COAT_OF_TRANS_GOLGI_NETWORK_VESICLE",10,0.4,0,"Down",0.001,0.0413571428571429
"GO_RECYCLING_ENDOSOME_MEMBRANE",38,0.315789473684211,0.0263157894736842,"Down",0.001,0.0413571428571429
"GO_SNARE_COMPLEX",50,0.3,0.02,"Down",0.001,0.0413571428571429
"GO_RECYCLING_ENDOSOME",112,0.267857142857143,0.116071428571429,"Down",0.001,0.0413571428571429
"GO_MEMBRANE_PROTEIN_COMPLEX",911,0.264544456641054,0.111964873765093,"Down",0.001,0.0413571428571429
"GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX",45,0.622222222222222,0.0222222222222222,"Down",0.002,0.0965
"GO_CELL_PROJECTION_CYTOPLASM",47,0.361702127659574,0.0425531914893617,"Down",0.002,0.0965
"GO_BLOC_1_COMPLEX",8,0.75,0,"Down",0.003,0.0965
"GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_CATALYTIC_DOMAIN",16,0.6875,0.0625,"Down",0.003,0.0965
"GO_DENDRITE_CYTOPLASM",16,0.5625,0.0625,"Down",0.003,0.0965
"GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_PROTON_TRANSPORTING_DOMAIN",20,0.55,0,"Down",0.003,0.0965
"GO_TELOMERASE_HOLOENZYME_COMPLEX",19,0.315789473684211,0.157894736842105,"Down",0.003,0.0965
"GO_EARLY_ENDOSOME_MEMBRANE",92,0.228260869565217,0.152173913043478,"Down",0.003,0.0965
"GO_CLATHRIN_VESICLE_COAT",22,0.454545454545455,0.0909090909090909,"Down",0.004,0.100211538461538
"GO_CILIARY_BASE",21,0.285714285714286,0.380952380952381,"Up",0.004,0.100211538461538
"GO_COATED_VESICLE_MEMBRANE",117,0.222222222222222,0.0769230769230769,"Down",0.004,0.100211538461538
"GO_VESICLE_MEMBRANE",466,0.21244635193133,0.107296137339056,"Down",0.004,0.100211538461538
"GO_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX",20,0.75,0,"Down",0.005,0.100211538461538
"GO_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX",23,0.521739130434783,0,"Down",0.005,0.100211538461538
"GO_CLATHRIN_COATED_VESICLE_MEMBRANE",69,0.289855072463768,0.101449275362319,"Down",0.005,0.100211538461538
"GO_AXON_CYTOPLASM",28,0.285714285714286,0,"Down",0.005,0.100211538461538
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",19,0,0.263157894736842,"Up",0.005,0.100211538461538
"GO_PROTEIN_LIPID_COMPLEX",32,0.0625,0.25,"Up",0.005,0.100211538461538
"GO_HOST",11,0,0.181818181818182,"Up",0.005,0.100211538461538
"GO_ESCRT_III_COMPLEX",9,0.777777777777778,0,"Down",0.006,0.113732142857143
"GO_GOLGI_APPARATUS_PART",795,0.182389937106918,0.118238993710692,"Down",0.006,0.113732142857143
"GO_MITOCHONDRIAL_MEMBRANE_PART",147,0.517006802721088,0.0612244897959184,"Down",0.007,0.117609375
"GO_ENDOLYSOSOME_MEMBRANE",11,0.454545454545455,0.0909090909090909,"Down",0.007,0.117609375
"GO_U2_SNRNP",18,0.444444444444444,0,"Down",0.007,0.117609375
"GO_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE",25,0.28,0.08,"Down",0.007,0.117609375
"GO_U12_TYPE_SPLICEOSOMAL_COMPLEX",25,0.48,0,"Down",0.008,0.124071428571429
"GO_TRANSPORT_VESICLE",305,0.229508196721311,0.0983606557377049,"Down",0.008,0.124071428571429
"GO_PRC1_COMPLEX",12,0,0.0833333333333333,"Up",0.008,0.124071428571429
"GO_NADH_DEHYDROGENASE_COMPLEX",39,0.769230769230769,0,"Down",0.009,0.129513157894737
"GO_U5_SNRNP",16,0.4375,0,"Down",0.009,0.129513157894737
"GO_CLATHRIN_COAT",45,0.288888888888889,0.155555555555556,"Down",0.009,0.129513157894737
"GO_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O_",10,0.7,0,"Down",0.01,0.134158536585366
"GO_PRECATALYTIC_SPLICEOSOME",21,0.476190476190476,0.0952380952380952,"Down",0.01,0.134158536585366
"GO_INTEGRATOR_COMPLEX",11,0,0.181818181818182,"Up",0.01,0.134158536585366
"GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",93,0.645161290322581,0.010752688172043,"Down",0.011,0.141383720930233
"GO_PROTEASOME_CORE_COMPLEX",19,0.578947368421053,0,"Down",0.011,0.141383720930233
"GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE",11,0.0909090909090909,0.272727272727273,"Up",0.012,0.151329545454545
"GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX",26,0.615384615384615,0,"Down",0.013,0.157336956521739
"GO_ENDOLYSOSOME",14,0.428571428571429,0.0714285714285714,"Down",0.013,0.157336956521739
"GO_MYELIN_SHEATH",164,0.365853658536585,0.0792682926829268,"Down",0.014,0.166308510638298
"GO_U4_U6_X_U5_TRI_SNRNP_COMPLEX",21,0.619047619047619,0,"Down",0.015,0.171336734693878
"GO_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_OUTER_MEMBRANE",20,0.45,0.15,"Down",0.015,0.171336734693878
"GO_ARP2_3_PROTEIN_COMPLEX",10,0.9,0.1,"Down",0.016,0.175970588235294
"GO_INVADOPODIUM",11,0.272727272727273,0.0909090909090909,"Down",0.016,0.175970588235294
"GO_RESPIRATORY_CHAIN",70,0.614285714285714,0.0142857142857143,"Down",0.017,0.183721153846154
"GO_TRANSPORT_VESICLE_MEMBRANE",130,0.261538461538462,0.0615384615384615,"Down",0.018,0.184227272727273
"GO_COATED_MEMBRANE",78,0.230769230769231,0.102564102564103,"Down",0.018,0.184227272727273
"GO_ZYMOGEN_GRANULE",13,0.230769230769231,0.0769230769230769,"Down",0.018,0.184227272727273
"GO_CLATHRIN_COATED_VESICLE",140,0.207142857142857,0.107142857142857,"Down",0.019,0.188175
"GO_MITOCHONDRIAL_PROTEIN_COMPLEX",120,0.583333333333333,0.0416666666666667,"Down",0.02,0.188175
"GO_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX",14,0.428571428571429,0,"Down",0.02,0.188175
"GO_GOLGI_MEMBRANE",637,0.189952904238619,0.10989010989011,"Down",0.02,0.188175
"GO_EXTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE",24,0.0833333333333333,0,"Down",0.02,0.188175
"GO_RETROMER_COMPLEX",20,0.4,0,"Down",0.021,0.194581967213115
"GO_HISTONE_DEACETYLASE_COMPLEX",57,0.087719298245614,0.210526315789474,"Up",0.023,0.210120967741935
"GO_VESICLE_COAT",42,0.285714285714286,0.0476190476190476,"Down",0.024,0.21597619047619
"GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT",36,0.833333333333333,0,"Down",0.025,0.218238461538462
"GO_A_BAND",29,0.0344827586206897,0.206896551724138,"Up",0.025,0.218238461538462
"GO_HETEROTRIMERIC_G_PROTEIN_COMPLEX",31,0.32258064516129,0.193548387096774,"Down",0.026,0.220365671641791
"GO_CORTICAL_ACTIN_CYTOSKELETON",56,0.232142857142857,0.0892857142857143,"Down",0.026,0.220365671641791
"GO_RIBOSOMAL_SUBUNIT",135,0.6,0,"Down",0.027,0.222369565217391
"GO_SPERM_MIDPIECE",11,0.181818181818182,0.272727272727273,"Up",0.027,0.222369565217391
"GO_CYTOPLASMIC_VESICLE_PART",531,0.209039548022599,0.120527306967985,"Down",0.028,0.224260563380282
"GO_FANCONI_ANAEMIA_NUCLEAR_COMPLEX",8,0,0.125,"Up",0.028,0.224260563380282
"GO_INTRACELLULAR_VESICLE",1121,0.191793041926851,0.123104371097235,"Down",0.029,0.2291875
"GO_CHROMOCENTER",13,0,0.230769230769231,"Up",0.03,0.232361842105263
"GO_CLATHRIN_COAT_OF_ENDOCYTIC_VESICLE",12,0.583333333333333,0.166666666666667,"Down",0.031,0.232361842105263
"GO_CLATHRIN_COAT_OF_COATED_PIT",16,0.5625,0.125,"Down",0.031,0.232361842105263
"GO_M_BAND",18,0,0.277777777777778,"Up",0.031,0.232361842105263
"GO_CATION_TRANSPORTING_ATPASE_COMPLEX",15,0.2,0.4,"Up",0.032,0.236863636363636
"GO_ORGANELLE_SUBCOMPARTMENT",279,0.164874551971326,0.103942652329749,"Down",0.033,0.238196202531646
"GO_NUCLEAR_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX",14,0,0.142857142857143,"Up",0.033,0.238196202531646
"GO_BLOC_COMPLEX",13,0.461538461538462,0,"Down",0.034,0.239462962962963
"GO_ENDOSOMAL_PART",377,0.246684350132626,0.0981432360742706,"Down",0.034,0.239462962962963
"GO_CENTRIOLE",89,0.0337078651685393,0.292134831460674,"Up",0.035,0.240668674698795
"GO_PHOSPHATASE_COMPLEX",41,0.219512195121951,0.0487804878048781,"Down",0.035,0.240668674698795
"GO_LARGE_RIBOSOMAL_SUBUNIT",76,0.552631578947368,0,"Down",0.036,0.244696428571429
"GO_PLATELET_DENSE_GRANULE_LUMEN",11,0,0.272727272727273,"Up",0.037,0.247683333333333
"GO_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_MEMBRANE",41,0.341463414634146,0.146341463414634,"Down",0.038,0.247683333333333
"GO_VACUOLAR_MEMBRANE",524,0.24236641221374,0.083969465648855,"Down",0.038,0.247683333333333
"GO_SMALL_RIBOSOMAL_SUBUNIT",59,0.661016949152542,0,"Down",0.039,0.247683333333333
"GO_ESCRT_COMPLEX",21,0.476190476190476,0,"Down",0.039,0.247683333333333
"GO_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX",58,0.362068965517241,0.103448275862069,"Down",0.039,0.247683333333333
"GO_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX",15,0.6,0,"Down",0.041,0.252145161290323
"GO_CYTOSOLIC_PART",178,0.460674157303371,0.0449438202247191,"Down",0.041,0.252145161290323
"GO_ENDOSOME",704,0.220170454545455,0.112215909090909,"Down",0.041,0.252145161290323
"GO_TRANSLATION_PREINITIATION_COMPLEX",15,0.6,0,"Down",0.042,0.252931578947368
"GO_DENDRITE_MEMBRANE",18,0.388888888888889,0.0555555555555556,"Down",0.042,0.252931578947368
"GO_CYTOSOLIC_RIBOSOME",88,0.715909090909091,0.0227272727272727,"Down",0.043,0.253685567010309
"GO_PERINUCLEAR_REGION_OF_CYTOPLASM",585,0.198290598290598,0.136752136752137,"Down",0.043,0.253685567010309
"GO_ORGANELLAR_LARGE_RIBOSOMAL_SUBUNIT",30,0.333333333333333,0,"Down",0.044,0.257005102040816
"GO_INTRINSIC_COMPONENT_OF_GOLGI_MEMBRANE",51,0.215686274509804,0.0588235294117647,"Down",0.045,0.257655
"GO_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE",95,0.210526315789474,0.115789473684211,"Down",0.045,0.257655
"GO_OXIDOREDUCTASE_COMPLEX",86,0.430232558139535,0.0697674418604651,"Down",0.047,0.261393203883495
"GO_PRIMARY_LYSOSOME",13,0.307692307692308,0,"Down",0.047,0.261393203883495
"GO_PROTEASOME_ACCESSORY_COMPLEX",23,0.260869565217391,0,"Down",0.047,0.261393203883495
"GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT",44,0.727272727272727,0,"Down",0.048,0.261928571428571
"GO_RIBOSOME",192,0.5,0.046875,"Down",0.048,0.261928571428571
"GO_PROTEASOME_COMPLEX",72,0.291666666666667,0.0416666666666667,"Down",0.049,0.264919811320755
