"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_GDP_DISSOCIATION_INHIBITOR_ACTIVITY",11,0.636363636363636,0,"Down",0.001,0.0328928571428571
"GO_TRANSCRIPTION_COACTIVATOR_BINDING",10,0,0.5,"Up",0.001,0.0328928571428571
"GO_POLYPEPTIDE_N_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY",15,0.4,0.0666666666666667,"Down",0.001,0.0328928571428571
"GO_MACROLIDE_BINDING",18,0.388888888888889,0.0555555555555556,"Down",0.001,0.0328928571428571
"GO_CHLORIDE_CHANNEL_REGULATOR_ACTIVITY",14,0.357142857142857,0.0714285714285714,"Down",0.001,0.0328928571428571
"GO_ACTIN_MONOMER_BINDING",22,0.318181818181818,0,"Down",0.001,0.0328928571428571
"GO_ACID_THIOL_LIGASE_ACTIVITY",17,0,0.294117647058824,"Up",0.001,0.0328928571428571
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_2_OXOGLUTARATE_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_EACH_OF_OXYGEN_INTO_BOTH_DONORS",38,0.0789473684210526,0.289473684210526,"Up",0.001,0.0328928571428571
"GO_FLAVIN_ADENINE_DINUCLEOTIDE_BINDING",71,0.0422535211267606,0.28169014084507,"Up",0.001,0.0328928571428571
"GO_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS",37,0.135135135135135,0.27027027027027,"Up",0.001,0.0328928571428571
"GO_GTPASE_ACTIVITY",219,0.255707762557078,0.100456621004566,"Down",0.001,0.0328928571428571
"GO_L_ASCORBIC_ACID_BINDING",17,0.0588235294117647,0.235294117647059,"Up",0.001,0.0328928571428571
"GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY",16,0.1875,0,"Down",0.001,0.0328928571428571
"GO_OXIDIZED_NAD_BINDING",13,0.0769230769230769,0.0769230769230769,"Up",0.001,0.0328928571428571
"GO_PROTEIN_BINDING_INVOLVED_IN_PROTEIN_FOLDING",11,0.454545454545455,0,"Down",0.002,0.0511666666666667
"GO_HYDROGEN_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",89,0.449438202247191,0.0561797752808989,"Down",0.002,0.0511666666666667
"GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY",26,0.423076923076923,0.0384615384615385,"Down",0.002,0.0511666666666667
"GO_CATION_TRANSPORTING_ATPASE_ACTIVITY",57,0.403508771929825,0.12280701754386,"Down",0.002,0.0511666666666667
"GO_FK506_BINDING",18,0.388888888888889,0.0555555555555556,"Down",0.002,0.0511666666666667
"GO_DEATH_RECEPTOR_BINDING",16,0.375,0.0625,"Down",0.002,0.0511666666666667
"GO_FIBROBLAST_GROWTH_FACTOR_BINDING",22,0.0909090909090909,0.363636363636364,"Up",0.002,0.0511666666666667
"GO_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",67,0.358208955223881,0.134328358208955,"Down",0.002,0.0511666666666667
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN",24,0,0.333333333333333,"Up",0.002,0.0511666666666667
"GO_PEPTIDYL_PROLINE_DIOXYGENASE_ACTIVITY",9,0.111111111111111,0.333333333333333,"Up",0.002,0.0511666666666667
"GO_ATPASE_ACTIVITY_COUPLED_TO_MOVEMENT_OF_SUBSTANCES",115,0.31304347826087,0.121739130434783,"Down",0.002,0.0511666666666667
"GO_PHOSPHOLIPID_TRANSLOCATING_ATPASE_ACTIVITY",16,0.3125,0.0625,"Down",0.002,0.0511666666666667
"GO_VITAMIN_BINDING",68,0.0441176470588235,0.191176470588235,"Up",0.002,0.0511666666666667
"GO_WNT_ACTIVATED_RECEPTOR_ACTIVITY",21,0,0.523809523809524,"Up",0.003,0.0697727272727273
