"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"PID_VEGF_VEGFR_PATHWAY",9,0.222222222222222,0.777777777777778,"Up",0.001,0.0042741935483871
"REACTOME_SMOOTH_MUSCLE_CONTRACTION",21,0.0476190476190476,0.714285714285714,"Up",0.001,0.0042741935483871
"SA_FAS_SIGNALING",9,0,0.666666666666667,"Up",0.001,0.0042741935483871
"BIOCARTA_MONOCYTE_PATHWAY",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.0042741935483871
"REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.0042741935483871
"BIOCARTA_LYM_PATHWAY",10,0,0.6,"Up",0.001,0.0042741935483871
"REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE",24,0.166666666666667,0.583333333333333,"Up",0.001,0.0042741935483871
"BIOCARTA_LONGEVITY_PATHWAY",14,0.142857142857143,0.571428571428571,"Up",0.001,0.0042741935483871
"BIOCARTA_LECTIN_PATHWAY",9,0.555555555555556,0,"Down",0.001,0.0042741935483871
"BIOCARTA_VEGF_PATHWAY",29,0.172413793103448,0.551724137931034,"Up",0.001,0.0042741935483871
"BIOCARTA_TFF_PATHWAY",20,0.05,0.55,"Up",0.001,0.0042741935483871
"BIOCARTA_EIF2_PATHWAY",11,0,0.545454545454545,"Up",0.001,0.0042741935483871
"PID_INTEGRIN4_PATHWAY",11,0,0.545454545454545,"Up",0.001,0.0042741935483871
"REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS",11,0,0.545454545454545,"Up",0.001,0.0042741935483871
"REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS",11,0.181818181818182,0.545454545454545,"Up",0.001,0.0042741935483871
"PID_LYMPH_ANGIOGENESIS_PATHWAY",24,0.0416666666666667,0.541666666666667,"Up",0.001,0.0042741935483871
"REACTOME_DEADENYLATION_OF_MRNA",17,0,0.529411764705882,"Up",0.001,0.0042741935483871
"REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY",19,0.0526315789473684,0.526315789473684,"Up",0.001,0.0042741935483871
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B",19,0,0.526315789473684,"Up",0.001,0.0042741935483871
"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",21,0,0.523809523809524,"Up",0.001,0.0042741935483871
"REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING",29,0.103448275862069,0.517241379310345,"Up",0.001,0.0042741935483871
"PID_ALK1_PATHWAY",24,0.166666666666667,0.5,"Up",0.001,0.0042741935483871
"REACTOME_SIGNALING_BY_HIPPO",20,0.15,0.5,"Up",0.001,0.0042741935483871
"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS",18,0,0.5,"Up",0.001,0.0042741935483871
"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE",16,0,0.5,"Up",0.001,0.0042741935483871
"REACTOME_METABOLISM_OF_RNA",228,0.0219298245614035,0.491228070175439,"Up",0.001,0.0042741935483871
"PID_HIF1_TFPATHWAY",60,0.0833333333333333,0.483333333333333,"Up",0.001,0.0042741935483871
"REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION",25,0.04,0.48,"Up",0.001,0.0042741935483871
"KEGG_ADHERENS_JUNCTION",68,0.102941176470588,0.470588235294118,"Up",0.001,0.0042741935483871
"REACTOME_ENOS_ACTIVATION_AND_REGULATION",17,0.0588235294117647,0.470588235294118,"Up",0.001,0.0042741935483871
"REACTOME_GLOBAL_GENOMIC_NER_GG_NER",32,0.03125,0.46875,"Up",0.001,0.0042741935483871
"PID_HIF2PATHWAY",30,0.133333333333333,0.466666666666667,"Up",0.001,0.0042741935483871
"BIOCARTA_DEATH_PATHWAY",30,0.0333333333333333,0.466666666666667,"Up",0.001,0.0042741935483871
"BIOCARTA_BCELLSURVIVAL_PATHWAY",15,0.0666666666666667,0.466666666666667,"Up",0.001,0.0042741935483871
"PID_TGFBR_PATHWAY",54,0.0555555555555556,0.462962962962963,"Up",0.001,0.0042741935483871
"BIOCARTA_WNT_PATHWAY",26,0.115384615384615,0.461538461538462,"Up",0.001,0.0042741935483871
"PID_NECTIN_PATHWAY",26,0.0769230769230769,0.461538461538462,"Up",0.001,0.0042741935483871
"BIOCARTA_PLATELETAPP_PATHWAY",13,0,0.461538461538462,"Up",0.001,0.0042741935483871
"SA_G1_AND_S_PHASES",13,0.0769230769230769,0.461538461538462,"Up",0.001,0.0042741935483871
