"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"PID_VEGF_VEGFR_PATHWAY",9,0.222222222222222,0.777777777777778,"Up",0.001,0.0042741935483871,"ENSMUSG00000029648, ENSMUSG00000025969, ENSMUSG00000062960, ENSMUSG00000020357, ENSMUSG00000025810, ENSMUSG00000031520","Flt1, Nrp2, Kdr, Flt4, Nrp1, Vegfc"
"REACTOME_SMOOTH_MUSCLE_CONTRACTION",21,0.0476190476190476,0.714285714285714,"Up",0.001,0.0042741935483871,"ENSMUSG00000034868, ENSMUSG00000067818, ENSMUSG00000042284, ENSMUSG00000018830, ENSMUSG00000090841, ENSMUSG00000022836, ENSMUSG00000031799, ENSMUSG00000021823, ENSMUSG00000029761","Myl12b, Myl9, Itga1, Myh11, Myl6, Mylk, Tpm4, Vcl, Cald1"
"SA_FAS_SIGNALING",9,0,0.666666666666667,"Up",0.001,0.0042741935483871,"ENSMUSG00000022468","Endou"
"BIOCARTA_MONOCYTE_PATHWAY",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.0042741935483871,"ENSMUSG00000026580, ENSMUSG00000027009, ENSMUSG00000025809, ENSMUSG00000000157, ENSMUSG00000020717, ENSMUSG00000026582","Selp, Itga4, Itgb1, Itgb2l, Pecam1, Sele"
"REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.0042741935483871,"ENSMUSG00000054693, ENSMUSG00000027276, ENSMUSG00000002799, ENSMUSG00000015468, ENSMUSG00000027314","Adam10, Jag1, Jag2, Notch4, Dll4"
"BIOCARTA_LYM_PATHWAY",10,0,0.6,"Up",0.001,0.0042741935483871,"ENSMUSG00000027009, ENSMUSG00000025809, ENSMUSG00000000157, ENSMUSG00000020717, ENSMUSG00000016494","Itga4, Itgb1, Itgb2l, Pecam1, Cd34"
"REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE",24,0.166666666666667,0.583333333333333,"Up",0.001,0.0042741935483871,"ENSMUSG00000034868, ENSMUSG00000067818, ENSMUSG00000002233, ENSMUSG00000020900, ENSMUSG00000018830, ENSMUSG00000090841, ENSMUSG00000024290, ENSMUSG00000020580","Myl12b, Myl9, Rhoc, Myh10, Myh11, Myl6, Rock1, Rock2"
"BIOCARTA_LONGEVITY_PATHWAY",14,0.142857142857143,0.571428571428571,"Up",0.001,0.0042741935483871,"ENSMUSG00000022982, ENSMUSG00000072941, ENSMUSG00000042626, ENSMUSG00000055737, ENSMUSG00000005533","Sod1, Sod3, Shc1, Ghr, Igf1r"
"BIOCARTA_LECTIN_PATHWAY",9,0.555555555555556,0,"Down",0.001,0.0042741935483871,"ENSMUSG00000024371, ENSMUSG00000026874, ENSMUSG00000073418, ENSMUSG00000028979, ENSMUSG00000022887","C2, Hc, C4b, Masp2, Masp1"
"BIOCARTA_VEGF_PATHWAY",29,0.172413793103448,0.551724137931034,"Up",0.001,0.0042741935483871,"ENSMUSG00000042626, ENSMUSG00000035530, ENSMUSG00000004788, ENSMUSG00000074656, ENSMUSG00000028978, ENSMUSG00000029648, ENSMUSG00000021109, ENSMUSG00000062960, ENSMUSG00000021116, ENSMUSG00000020357","Shc1, Eif1, Eif2b2, Eif2s2, Nos3, Flt1, Hif1a, Kdr, Eif2s1, Flt4"
