"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY",13,0.846153846153846,0,"Down",0.001,0.00599355670103093
"GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT",8,0,0.75,"Up",0.001,0.00599355670103093
"GO_ALKALOID_METABOLIC_PROCESS",8,0,0.75,"Up",0.001,0.00599355670103093
"GO_PROTEIN_LOCALIZATION_TO_SYNAPSE",15,0.733333333333333,0,"Down",0.001,0.00599355670103093
"GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS",11,0,0.727272727272727,"Up",0.001,0.00599355670103093
"GO_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER",10,0.2,0.7,"Up",0.001,0.00599355670103093
"GO_NEGATIVE_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY",10,0.1,0.7,"Up",0.001,0.00599355670103093
"GO_CENTRAL_NERVOUS_SYSTEM_MYELINATION",10,0.7,0,"Down",0.001,0.00599355670103093
"GO_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM",10,0.7,0,"Down",0.001,0.00599355670103093
"GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY",9,0.111111111111111,0.666666666666667,"Up",0.001,0.00599355670103093
"GO_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME",9,0,0.666666666666667,"Up",0.001,0.00599355670103093
"GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY",45,0.644444444444444,0.0444444444444444,"Down",0.001,0.00599355670103093
"GO_NEGATIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00599355670103093
"GO_ENDOTHELIAL_TUBE_MORPHOGENESIS",11,0,0.636363636363636,"Up",0.001,0.00599355670103093
"GO_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY",30,0.633333333333333,0.0333333333333333,"Down",0.001,0.00599355670103093
"GO_NEGATIVE_REGULATION_OF_ANOIKIS",16,0.0625,0.625,"Up",0.001,0.00599355670103093
"GO_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE",16,0.125,0.625,"Up",0.001,0.00599355670103093
"GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT",13,0,0.615384615384615,"Up",0.001,0.00599355670103093
"GO_CELL_SEPARATION_AFTER_CYTOKINESIS",15,0,0.6,"Up",0.001,0.00599355670103093
"GO_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS",10,0.6,0,"Down",0.001,0.00599355670103093
"GO_REGULATION_OF_ANOIKIS",22,0.0454545454545455,0.590909090909091,"Up",0.001,0.00599355670103093
"GO_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL",29,0.586206896551724,0.0689655172413793,"Down",0.001,0.00599355670103093
"GO_L_AMINO_ACID_IMPORT",12,0.583333333333333,0.0833333333333333,"Down",0.001,0.00599355670103093
"GO_LEUKOCYTE_TETHERING_OR_ROLLING",12,0.0833333333333333,0.583333333333333,"Up",0.001,0.00599355670103093
"GO_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL",12,0.0833333333333333,0.583333333333333,"Up",0.001,0.00599355670103093
"GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY",12,0,0.583333333333333,"Up",0.001,0.00599355670103093
"GO_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS",19,0.0526315789473684,0.578947368421053,"Up",0.001,0.00599355670103093
"GO_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER",28,0.142857142857143,0.571428571428571,"Up",0.001,0.00599355670103093
"GO_CELLULAR_EXTRAVASATION",21,0.0476190476190476,0.571428571428571,"Up",0.001,0.00599355670103093
"GO_PEPTIDE_CATABOLIC_PROCESS",21,0.0952380952380952,0.571428571428571,"Up",0.001,0.00599355670103093
"GO_COPPER_ION_HOMEOSTASIS",14,0.0714285714285714,0.571428571428571,"Up",0.001,0.00599355670103093
"GO_MORPHOGENESIS_OF_AN_ENDOTHELIUM",16,0.0625,0.5625,"Up",0.001,0.00599355670103093
"GO_RESPONSE_TO_COPPER_ION",27,0.111111111111111,0.555555555555556,"Up",0.001,0.00599355670103093
"GO_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY",20,0.2,0.55,"Up",0.001,0.00599355670103093
"GO_WALKING_BEHAVIOR",31,0.548387096774194,0,"Down",0.001,0.00599355670103093
"GO_ADULT_WALKING_BEHAVIOR",31,0.548387096774194,0,"Down",0.001,0.00599355670103093
"GO_REGULATION_OF_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER",11,0,0.545454545454545,"Up",0.001,0.00599355670103093
"GO_BONE_TRABECULA_MORPHOGENESIS",11,0.545454545454545,0,"Down",0.001,0.00599355670103093
"GO_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION",24,0,0.541666666666667,"Up",0.001,0.00599355670103093
