"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY",13,0.846153846153846,0,"Down",0.001,0.00599355670103093,"ENSMUSG00000022494, ENSMUSG00000053930, ENSMUSG00000031840, ENSMUSG00000034799, ENSMUSG00000022415, ENSMUSG00000030376, ENSMUSG00000056073, ENSMUSG00000053550, ENSMUSG00000031144, ENSMUSG00000003863, ENSMUSG00000096883","Shisa9, Shisa6, Rab3a, Unc13a, Syngr1, Slc8a2, Grik2, Shisa7, Syp, Ppfia3, Shisa8"
"GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT",8,0,0.75,"Up",0.001,0.00599355670103093,"ENSMUSG00000025747, ENSMUSG00000021109","Tyms, Hif1a"
"GO_ALKALOID_METABOLIC_PROCESS",8,0,0.75,"Up",0.001,0.00599355670103093,"ENSMUSG00000024228, ENSMUSG00000020572, ENSMUSG00000027792, ENSMUSG00000032487, ENSMUSG00000017969","Nudt12, Nampt, Bche, Ptgs2, Ptgis"
"GO_PROTEIN_LOCALIZATION_TO_SYNAPSE",15,0.733333333333333,0,"Down",0.001,0.00599355670103093,"ENSMUSG00000051790, ENSMUSG00000060780, ENSMUSG00000052572, ENSMUSG00000063887, ENSMUSG00000038738, ENSMUSG00000000881, ENSMUSG00000033768, ENSMUSG00000024109, ENSMUSG00000050321, ENSMUSG00000020886","Nlgn2, Lrrtm1, Dlg2, Nlgn1, Shank1, Dlg3, Nrxn2, Nrxn1, Neto1, Dlg4"
"GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS",11,0,0.727272727272727,"Up",0.001,0.00599355670103093,"ENSMUSG00000001435, ENSMUSG00000015452, ENSMUSG00000056481, ENSMUSG00000073599, ENSMUSG00000064210, ENSMUSG00000017652","Col18a1, Ager, Cd248, Ecscr, Ano6, Cd40"
"GO_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER",10,0.2,0.7,"Up",0.001,0.00599355670103093,"ENSMUSG00000050029, ENSMUSG00000020149, ENSMUSG00000037533, ENSMUSG00000062232, ENSMUSG00000030516","Rap2c, Rab1a, Rapgef6, Rapgef2, Tjp1"
"GO_NEGATIVE_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY",10,0.1,0.7,"Up",0.001,0.00599355670103093,"ENSMUSG00000025423, ENSMUSG00000022150, ENSMUSG00000037171, ENSMUSG00000028800, ENSMUSG00000030067, ENSMUSG00000038845","Pias2, Dab2, Nodal, Hdac1, Foxp1, Phb"
"GO_CENTRAL_NERVOUS_SYSTEM_MYELINATION",10,0.7,0,"Down",0.001,0.00599355670103093,"ENSMUSG00000022037, ENSMUSG00000033579, ENSMUSG00000048001, ENSMUSG00000030400, ENSMUSG00000053024, ENSMUSG00000031425, ENSMUSG00000044708","Clu, Fa2h, Hes5, Ercc2, Cntn2, Plp1, Kcnj10"
"GO_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM",10,0.7,0,"Down",0.001,0.00599355670103093,"ENSMUSG00000022037, ENSMUSG00000048001, ENSMUSG00000033579, ENSMUSG00000053024, ENSMUSG00000030400, ENSMUSG00000044708, ENSMUSG00000031425","Clu, Hes5, Fa2h, Cntn2, Ercc2, Kcnj10, Plp1"
"GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY",9,0.111111111111111,0.666666666666667,"Up",0.001,0.00599355670103093,"ENSMUSG00000020954, ENSMUSG00000036550, ENSMUSG00000020166, ENSMUSG00000050919","Strn3, Cnot1, Cnot2, Zfp366"
