"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_AXON_INITIAL_SEGMENT",11,1,0,"Down",0.001,0.00603125
"GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",27,0.851851851851852,0.0740740740740741,"Down",0.001,0.00603125
"GO_IONOTROPIC_GLUTAMATE_RECEPTOR_COMPLEX",47,0.851063829787234,0.0425531914893617,"Down",0.001,0.00603125
"GO_NMDA_SELECTIVE_GLUTAMATE_RECEPTOR_COMPLEX",11,0.818181818181818,0,"Down",0.001,0.00603125
"GO_APICOLATERAL_PLASMA_MEMBRANE",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00603125
"GO_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX",10,0,0.7,"Up",0.001,0.00603125
"GO_PLATELET_ALPHA_GRANULE_MEMBRANE",13,0.153846153846154,0.615384615384615,"Up",0.001,0.00603125
"GO_CCR4_NOT_COMPLEX",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.00603125
"GO_SIN3_COMPLEX",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.00603125
"GO_SMN_SM_PROTEIN_COMPLEX",16,0,0.5,"Up",0.001,0.00603125
"GO_U1_SNRNP",16,0.25,0.5,"Up",0.001,0.00603125
"GO_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX",14,0,0.5,"Up",0.001,0.00603125
"GO_ACTIN_FILAMENT_BUNDLE",52,0.0769230769230769,0.480769230769231,"Up",0.001,0.00603125
"GO_SECRETORY_GRANULE_MEMBRANE",67,0.238805970149254,0.462686567164179,"Up",0.001,0.00603125
"GO_ORGANELLE_MEMBRANE_CONTACT_SITE",11,0.0909090909090909,0.454545454545455,"Up",0.001,0.00603125
"GO_INVADOPODIUM",11,0.181818181818182,0.454545454545455,"Up",0.001,0.00603125
"GO_ANAPHASE_PROMOTING_COMPLEX",20,0.05,0.45,"Up",0.001,0.00603125
"GO_ACTOMYOSIN",58,0.103448275862069,0.448275862068966,"Up",0.001,0.00603125
"GO_SIN3_TYPE_COMPLEX",16,0.0625,0.4375,"Up",0.001,0.00603125
"GO_PHOSPHATASE_COMPLEX",41,0.121951219512195,0.414634146341463,"Up",0.001,0.00603125
"GO_CELL_SUBSTRATE_JUNCTION",373,0.117962466487936,0.412868632707775,"Up",0.001,0.00603125
"GO_PLATELET_DENSE_GRANULE",17,0.117647058823529,0.411764705882353,"Up",0.001,0.00603125
"GO_NUCLEAR_EUCHROMATIN",22,0.136363636363636,0.409090909090909,"Up",0.001,0.00603125
"GO_U12_TYPE_SPLICEOSOMAL_COMPLEX",25,0,0.4,"Up",0.001,0.00603125
"GO_TRANSCRIPTION_FACTOR_TFIID_COMPLEX",20,0.05,0.4,"Up",0.001,0.00603125
