"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_AXON_INITIAL_SEGMENT",11,1,0,"Down",0.001,0.00603125,"ENSMUSG00000023033, ENSMUSG00000069601, ENSMUSG00000064329, ENSMUSG00000020598, ENSMUSG00000026442, ENSMUSG00000011751, ENSMUSG00000016346, ENSMUSG00000028176, ENSMUSG00000032532, ENSMUSG00000056258","Scn8a, Ank3, Scn1a, Nrcam, Nfasc, Sptbn4, Kcnq2, Lrrc7, Cck, Kcnq3"
"GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",27,0.851851851851852,0.0740740740740741,"Down",0.001,0.00603125,"ENSMUSG00000053930, ENSMUSG00000033981, ENSMUSG00000025892, ENSMUSG00000040373, ENSMUSG00000031169, ENSMUSG00000069806, ENSMUSG00000000881, ENSMUSG00000096883, ENSMUSG00000019146, ENSMUSG00000032046, ENSMUSG00000053550, ENSMUSG00000022494, ENSMUSG00000024873, ENSMUSG00000053395, ENSMUSG00000001986, ENSMUSG00000007783, ENSMUSG00000020886, ENSMUSG00000026514, ENSMUSG00000020524, ENSMUSG00000032172, ENSMUSG00000020723","Shisa6, Gria2, Gria4, Cacng5, Porcn, Cacng7, Dlg3, Shisa8, Cacng2, Abhd12, Shisa7, Shisa9, Cnih2, Cacng8, Gria3, Cpt1c, Dlg4, Cnih3, Gria1, Olfm2, Cacng4"
"GO_IONOTROPIC_GLUTAMATE_RECEPTOR_COMPLEX",47,0.851063829787234,0.0425531914893617,"Down",0.001,0.00603125,"ENSMUSG00000000881, ENSMUSG00000031169, ENSMUSG00000052572, ENSMUSG00000053550, ENSMUSG00000063887, ENSMUSG00000019146, ENSMUSG00000026959, ENSMUSG00000038738, ENSMUSG00000003378, ENSMUSG00000059003, ENSMUSG00000026514, ENSMUSG00000020524, ENSMUSG00000030209, ENSMUSG00000039579, ENSMUSG00000053395, ENSMUSG00000020734, ENSMUSG00000015766, ENSMUSG00000069806, ENSMUSG00000032046, ENSMUSG00000096883, ENSMUSG00000053930, ENSMUSG00000071424, ENSMUSG00000025892, ENSMUSG00000040373, ENSMUSG00000032017, ENSMUSG00000033981, ENSMUSG00000056073, ENSMUSG00000020886, ENSMUSG00000007783, ENSMUSG00000001986, ENSMUSG00000020723, ENSMUSG00000036902, ENSMUSG00000050321, ENSMUSG00000032172, ENSMUSG00000022494, ENSMUSG00000037541, ENSMUSG00000024873, ENSMUSG00000002771","Dlg3, Porcn, Dlg2, Shisa7, Nlgn1, Cacng2, Grin1, Shank1, Grik5, Grin2a, Cnih3, Gria1, Grin2b, Grin3a, Cacng8, Grin2c, Eps8, Cacng7, Abhd12, Shisa8, Shisa6, Grid2, Gria4, Cacng5, Grik4, Gria2, Grik2, Dlg4, Cpt1c, Gria3, Cacng4, Neto2, Neto1, Olfm2, Shisa9, Shank2, Cnih2, Grin2d"
"GO_NMDA_SELECTIVE_GLUTAMATE_RECEPTOR_COMPLEX",11,0.818181818181818,0,"Down",0.001,0.00603125,"ENSMUSG00000015766, ENSMUSG00000059003, ENSMUSG00000063887, ENSMUSG00000026959, ENSMUSG00000030209, ENSMUSG00000038738, ENSMUSG00000039579, ENSMUSG00000002771, ENSMUSG00000020734","Eps8, Grin2a, Nlgn1, Grin1, Grin2b, Shank1, Grin3a, Grin2d, Grin2c"
"GO_APICOLATERAL_PLASMA_MEMBRANE",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00603125,"ENSMUSG00000041378, ENSMUSG00000044860, ENSMUSG00000030516, ENSMUSG00000021638, ENSMUSG00000047501, ENSMUSG00000022297, ENSMUSG00000023906","Cldn5, Gm1123, Tjp1, Ocln, Cldn4, Fzd6, Cldn6"
"GO_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX",10,0,0.7,"Up",0.001,0.00603125,"ENSMUSG00000024976, ENSMUSG00000032475, ENSMUSG00000047714","Shoc2, Nck1, Ppp1r2"
"GO_PLATELET_ALPHA_GRANULE_MEMBRANE",13,0.153846153846154,0.615384615384615,"Up",0.001,0.00603125,"ENSMUSG00000062866, ENSMUSG00000024614, ENSMUSG00000026456, ENSMUSG00000020717, ENSMUSG00000031996, ENSMUSG00000026580, ENSMUSG00000034664","Phactr2, Tmx3, Cyb5r1, Pecam1, Aplp2, Selp, Itga2b"
"GO_CCR4_NOT_COMPLEX",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.00603125,"ENSMUSG00000036550, ENSMUSG00000020166, ENSMUSG00000033955, ENSMUSG00000020362, ENSMUSG00000034724","Cnot1, Cnot2, Tnks1bp1, Cnot6, Cnot6l"
"GO_SIN3_COMPLEX",13,0.0769230769230769,0.538461538461538,"Up",0.001,0.00603125,"ENSMUSG00000039985, ENSMUSG00000066900, ENSMUSG00000042557, ENSMUSG00000063049, ENSMUSG00000028800, ENSMUSG00000062270","Fam60a, Suds3, Sin3a, Ing2, Hdac1, Morf4l1"
"GO_SMN_SM_PROTEIN_COMPLEX",16,0,0.5,"Up",0.001,0.00603125,"ENSMUSG00000090553, ENSMUSG00000060121, ENSMUSG00000020018, ENSMUSG00000044709, ENSMUSG00000057278, ENSMUSG00000002477, ENSMUSG00000027404","Snrpe, Gemin2, Snrpf, Gemin7, Snrpg, Snrpd1, Snrpb"
"GO_U1_SNRNP",16,0.25,0.5,"Up",0.001,0.00603125,"ENSMUSG00000090553, ENSMUSG00000020018, ENSMUSG00000061136, ENSMUSG00000057278, ENSMUSG00000002477, ENSMUSG00000027404","Snrpe, Snrpf, Prpf40a, Snrpg, Snrpd1, Snrpb"
"GO_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX",14,0,0.5,"Up",0.001,0.00603125,"ENSMUSG00000020974, ENSMUSG00000030094, ENSMUSG00000068391, ENSMUSG00000030042, ENSMUSG00000031347","Pole2, Xpc, Chrac1, Pole4, Cetn2"
"GO_ACTIN_FILAMENT_BUNDLE",52,0.0769230769230769,0.480769230769231,"Up",0.001,0.00603125,"ENSMUSG00000031799, ENSMUSG00000041731, ENSMUSG00000054808, ENSMUSG00000025278, ENSMUSG00000004665, ENSMUSG00000034868, ENSMUSG00000037712, ENSMUSG00000025085, ENSMUSG00000067818, ENSMUSG00000020900, ENSMUSG00000030562, ENSMUSG00000022836, ENSMUSG00000021493, ENSMUSG00000026175, ENSMUSG00000006386, ENSMUSG00000015143, ENSMUSG00000068270","Tpm4, Pgm5, Actn4, Flnb, Cnn2, Myl12b, Fermt2, Ablim1, Myl9, Myh10, Nox4, Mylk, Pdlim7, Vil1, Tek, Actn1, Shroom4"
"GO_SECRETORY_GRANULE_MEMBRANE",67,0.238805970149254,0.462686567164179,"Up",0.001,0.00603125,"ENSMUSG00000000889, ENSMUSG00000026335, ENSMUSG00000020847, ENSMUSG00000000805, ENSMUSG00000032849, ENSMUSG00000062866, ENSMUSG00000003161, ENSMUSG00000034664, ENSMUSG00000021687, ENSMUSG00000031255, ENSMUSG00000002847, ENSMUSG00000020717, ENSMUSG00000051412, ENSMUSG00000021814, ENSMUSG00000031996, ENSMUSG00000000058, ENSMUSG00000028264, ENSMUSG00000007655, ENSMUSG00000004948, ENSMUSG00000030102, ENSMUSG00000024614, ENSMUSG00000026456, ENSMUSG00000023175, ENSMUSG00000026580","Dbh, Pam, Rph3al, Car4, Abcc4, Phactr2, Sri, Itga2b, Scamp1, Sytl4, Pla1a, Pecam1, Vamp7, Anxa7, Aplp2, Cav2, Spaca1, Cav1, Zp3, Itpr1, Tmx3, Cyb5r1, Bsg, Selp"
"GO_ORGANELLE_MEMBRANE_CONTACT_SITE",11,0.0909090909090909,0.454545454545455,"Up",0.001,0.00603125,"ENSMUSG00000025366, ENSMUSG00000021171, ENSMUSG00000037526, ENSMUSG00000038160","Esyt1, Esyt2, Atg14, Atg5"
"GO_INVADOPODIUM",11,0.181818181818182,0.454545454545455,"Up",0.001,0.00603125,"ENSMUSG00000025809, ENSMUSG00000033032, ENSMUSG00000035000","Itgb1, Afap1l1, Dpp4"
