"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_EXTRACELLULAR_GLUTAMATE_GATED_ION_CHANNEL_ACTIVITY",19,0.947368421052632,0,"Down",0.001,0.00697727272727273
"GO_TRANSMITTER_GATED_CHANNEL_ACTIVITY",25,0.8,0,"Down",0.001,0.00697727272727273
"GO_POLY_A_SPECIFIC_RIBONUCLEASE_ACTIVITY",11,0,0.727272727272727,"Up",0.001,0.00697727272727273
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS_DISULFIDE_AS_ACCEPTOR",9,0,0.666666666666667,"Up",0.001,0.00697727272727273
"GO_PHOSPHOTRANSFERASE_ACTIVITY_NITROGENOUS_GROUP_AS_ACCEPTOR",11,0.636363636363636,0.0909090909090909,"Down",0.001,0.00697727272727273
"GO_DNA_BINDING_BENDING",16,0,0.625,"Up",0.001,0.00697727272727273
"GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY",40,0.6,0.05,"Down",0.001,0.00697727272727273
"GO_NARROW_PORE_CHANNEL_ACTIVITY",14,0.571428571428571,0.0714285714285714,"Down",0.001,0.00697727272727273
"GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.00697727272727273
"GO_LACTATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",11,0.181818181818182,0.545454545454545,"Up",0.001,0.00697727272727273
"GO_I_SMAD_BINDING",11,0,0.545454545454545,"Up",0.001,0.00697727272727273
"GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY",26,0.0769230769230769,0.5,"Up",0.001,0.00697727272727273
"GO_PROTEIN_DISULFIDE_OXIDOREDUCTASE_ACTIVITY",20,0,0.5,"Up",0.001,0.00697727272727273
"GO_PROTEIN_PHOSPHATASE_1_BINDING",16,0.1875,0.5,"Up",0.001,0.00697727272727273
"GO_GLYCINE_BINDING",14,0.5,0.0714285714285714,"Down",0.001,0.00697727272727273
"GO_GLUTATHIONE_PEROXIDASE_ACTIVITY",14,0,0.5,"Up",0.001,0.00697727272727273
"GO_TAU_PROTEIN_BINDING",12,0.5,0,"Down",0.001,0.00697727272727273
"GO_RNA_POLYMERASE_CORE_ENZYME_BINDING",19,0.105263157894737,0.473684210526316,"Up",0.001,0.00697727272727273
"GO_RNA_POLYMERASE_BINDING",32,0.09375,0.46875,"Up",0.001,0.00697727272727273
"GO_TRANSLATION_INITIATION_FACTOR_ACTIVITY",47,0,0.468085106382979,"Up",0.001,0.00697727272727273
"GO_HISTONE_ACETYLTRANSFERASE_BINDING",28,0.0714285714285714,0.464285714285714,"Up",0.001,0.00697727272727273
"GO_RAL_GTPASE_BINDING",13,0.0769230769230769,0.461538461538462,"Up",0.001,0.00697727272727273
"GO_EXORIBONUCLEASE_ACTIVITY",31,0,0.451612903225806,"Up",0.001,0.00697727272727273
"GO_PROLINE_RICH_REGION_BINDING",18,0.166666666666667,0.444444444444444,"Up",0.001,0.00697727272727273
"GO_MANNOSE_BINDING",14,0.0714285714285714,0.428571428571429,"Up",0.001,0.00697727272727273
"GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_SEQUENCE_SPECIFIC",14,0,0.428571428571429,"Up",0.001,0.00697727272727273
"GO_NUCLEOSOMAL_DNA_BINDING",26,0.115384615384615,0.423076923076923,"Up",0.001,0.00697727272727273
"GO_CIS_TRANS_ISOMERASE_ACTIVITY",38,0.0789473684210526,0.421052631578947,"Up",0.001,0.00697727272727273
"GO_TAU_PROTEIN_KINASE_ACTIVITY",12,0.416666666666667,0.166666666666667,"Down",0.001,0.00697727272727273
"GO_RNA_POLYMERASE_II_DISTAL_ENHANCER_SEQUENCE_SPECIFIC_DNA_BINDING",59,0.0847457627118644,0.406779661016949,"Up",0.001,0.00697727272727273
"GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_BINDING",32,0.0625,0.40625,"Up",0.001,0.00697727272727273
"GO_SNRNA_BINDING",32,0.125,0.40625,"Up",0.001,0.00697727272727273
