"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_EXTRACELLULAR_GLUTAMATE_GATED_ION_CHANNEL_ACTIVITY",19,0.947368421052632,0,"Down",0.001,0.00697727272727273,"ENSMUSG00000039579, ENSMUSG00000022935, ENSMUSG00000002771, ENSMUSG00000020734, ENSMUSG00000056073, ENSMUSG00000003378, ENSMUSG00000001986, ENSMUSG00000059003, ENSMUSG00000070570, ENSMUSG00000020524, ENSMUSG00000030209, ENSMUSG00000071424, ENSMUSG00000032017, ENSMUSG00000025892, ENSMUSG00000001985, ENSMUSG00000033981, ENSMUSG00000041078, ENSMUSG00000026959","Grin3a, Grik1, Grin2d, Grin2c, Grik2, Grik5, Gria3, Grin2a, Slc17a7, Gria1, Grin2b, Grid2, Grik4, Gria4, Grik3, Gria2, Grid1, Grin1"
"GO_TRANSMITTER_GATED_CHANNEL_ACTIVITY",25,0.8,0,"Down",0.001,0.00697727272727273,"ENSMUSG00000001985, ENSMUSG00000032017, ENSMUSG00000025892, ENSMUSG00000033981, ENSMUSG00000030525, ENSMUSG00000071424, ENSMUSG00000041078, ENSMUSG00000026959, ENSMUSG00000002771, ENSMUSG00000020734, ENSMUSG00000022935, ENSMUSG00000039579, ENSMUSG00000020524, ENSMUSG00000030209, ENSMUSG00000056073, ENSMUSG00000033676, ENSMUSG00000059003, ENSMUSG00000001986, ENSMUSG00000003378","Grik3, Grik4, Gria4, Gria2, Chrna7, Grid2, Grid1, Grin1, Grin2d, Grin2c, Grik1, Grin3a, Gria1, Grin2b, Grik2, Gabrb3, Grin2a, Gria3, Grik5"
"GO_POLY_A_SPECIFIC_RIBONUCLEASE_ACTIVITY",11,0,0.727272727272727,"Up",0.001,0.00697727272727273,"ENSMUSG00000020166, ENSMUSG00000036550, ENSMUSG00000020362, ENSMUSG00000034724, ENSMUSG00000043702","Cnot2, Cnot1, Cnot6, Cnot6l, Pde12"
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS_DISULFIDE_AS_ACCEPTOR",9,0,0.666666666666667,"Up",0.001,0.00697727272727273,"ENSMUSG00000027006, ENSMUSG00000028367, ENSMUSG00000051236, ENSMUSG00000028567, ENSMUSG00000024583","Dnajc10, Txn1, Msrb3, Txndc12, Txnl1"
"GO_PHOSPHOTRANSFERASE_ACTIVITY_NITROGENOUS_GROUP_AS_ACCEPTOR",11,0.636363636363636,0.0909090909090909,"Down",0.001,0.00697727272727273,"ENSMUSG00000000308, ENSMUSG00000035355, ENSMUSG00000038319, ENSMUSG00000037579, ENSMUSG00000034402, ENSMUSG00000001270","Ckmt1, Kcnh4, Kcnh2, Kcnh3, Kcnh5, Ckb"
"GO_DNA_BINDING_BENDING",16,0,0.625,"Up",0.001,0.00697727272727273,"ENSMUSG00000050295, ENSMUSG00000025925, ENSMUSG00000054717, ENSMUSG00000003923, ENSMUSG00000051490, ENSMUSG00000024986, ENSMUSG00000027985","Foxc1, Terf1, Hmgb2, Tfam, Foxd4, Hhex, Lef1"
"GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY",40,0.6,0.05,"Down",0.001,0.00697727272727273,"ENSMUSG00000031142, ENSMUSG00000052372, ENSMUSG00000062661, ENSMUSG00000030592, ENSMUSG00000053395, ENSMUSG00000024112, ENSMUSG00000019146, ENSMUSG00000017412, ENSMUSG00000057914, ENSMUSG00000041460, ENSMUSG00000015968, ENSMUSG00000020866, ENSMUSG00000003352, ENSMUSG00000020723, ENSMUSG00000051331, ENSMUSG00000010066, ENSMUSG00000022416, ENSMUSG00000040118, ENSMUSG00000020882, ENSMUSG00000069806, ENSMUSG00000040373, ENSMUSG00000004113","Cacna1f, Il1rapl1, Ncs1, Ryr1, Cacng8, Cacna1h, Cacng2, Cacnb4, Cacnb2, Cacna2d4, Cacna1d, Cacna1g, Cacnb3, Cacng4, Cacna1c, Cacna2d2, Cacna1i, Cacna2d1, Cacnb1, Cacng7, Cacng5, Cacna1b"
"GO_NARROW_PORE_CHANNEL_ACTIVITY",14,0.571428571428571,0.0714285714285714,"Down",0.001,0.00697727272727273,"ENSMUSG00000049265, ENSMUSG00000037624, ENSMUSG00000013495, ENSMUSG00000033854, ENSMUSG00000045404, ENSMUSG00000050138, ENSMUSG00000024957, ENSMUSG00000033998","Kcnk3, Kcnk2, Tmem175, Kcnk10, Kcnk13, Kcnk12, Kcnk4, Kcnk1"
"GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.00697727272727273,"ENSMUSG00000003031, ENSMUSG00000048878, ENSMUSG00000037664, ENSMUSG00000073802","Cdkn1b, Hexim1, Cdkn1c, Cdkn2b"
"GO_LACTATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",11,0.181818181818182,0.545454545454545,"Up",0.001,0.00697727272727273,"ENSMUSG00000044367, ENSMUSG00000040938, ENSMUSG00000027896, ENSMUSG00000032902","Slc16a13, Slc16a11, Slc16a4, Slc16a1"
