"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"PID_FOXM1_PATHWAY",38,0.684210526315789,0.131578947368421,"Down",0.001,0.015406976744186
"BIOCARTA_CARM1_PATHWAY",12,0.583333333333333,0.0833333333333333,"Down",0.001,0.015406976744186
"PID_HEDGEHOG_2PATHWAY",21,0.571428571428571,0.0476190476190476,"Down",0.001,0.015406976744186
"REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION",23,0.565217391304348,0.0869565217391304,"Down",0.001,0.015406976744186
"REACTOME_GLUCONEOGENESIS",29,0.103448275862069,0.551724137931034,"Up",0.001,0.015406976744186
"BIOCARTA_RB_PATHWAY",13,0.538461538461538,0,"Down",0.001,0.015406976744186
"REACTOME_RNA_POL_I_PROMOTER_OPENING",20,0,0.5,"Up",0.001,0.015406976744186
"BIOCARTA_PML_PATHWAY",16,0.5,0.0625,"Down",0.001,0.015406976744186
"REACTOME_GLUTATHIONE_CONJUGATION",17,0,0.470588235294118,"Up",0.001,0.015406976744186
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT",47,0.0212765957446809,0.468085106382979,"Up",0.001,0.015406976744186
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",15,0.0666666666666667,0.466666666666667,"Up",0.001,0.015406976744186
"KEGG_PYRUVATE_METABOLISM",36,0.111111111111111,0.444444444444444,"Up",0.001,0.015406976744186
"KEGG_REGULATION_OF_AUTOPHAGY",19,0.105263157894737,0.421052631578947,"Up",0.001,0.015406976744186
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",29,0.172413793103448,0.413793103448276,"Up",0.001,0.015406976744186
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",49,0.408163265306122,0.0204081632653061,"Down",0.001,0.015406976744186
"REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS",25,0.4,0,"Down",0.001,0.015406976744186
"REACTOME_ANDROGEN_BIOSYNTHESIS",5,0,0.4,"Up",0.001,0.015406976744186
"PID_HES_HEY_PATHWAY",43,0.395348837209302,0.0465116279069767,"Down",0.001,0.015406976744186
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS",18,0.388888888888889,0.0555555555555556,"Down",0.001,0.015406976744186
"KEGG_GLUTATHIONE_METABOLISM",42,0.0714285714285714,0.380952380952381,"Up",0.001,0.015406976744186
"BIOCARTA_CALCINEURIN_PATHWAY",16,0.375,0.0625,"Down",0.001,0.015406976744186
