"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"PID_FOXM1_PATHWAY",38,0.684210526315789,0.131578947368421,"Down",0.001,0.015406976744186,"ENSMUSG00000001517, ENSMUSG00000026605, ENSMUSG00000001280, ENSMUSG00000030867, ENSMUSG00000041147, ENSMUSG00000019942, ENSMUSG00000002068, ENSMUSG00000055024, ENSMUSG00000070348, ENSMUSG00000029177, ENSMUSG00000022521, ENSMUSG00000032218, ENSMUSG00000054115, ENSMUSG00000017716, ENSMUSG00000027330, ENSMUSG00000020897, ENSMUSG00000027715, ENSMUSG00000029521, ENSMUSG00000041431, ENSMUSG00000026622, ENSMUSG00000025358, ENSMUSG00000013089","Foxm1, Cenpf, Sp1, Plk1, Brca2, Cdk1, Ccne1, Ep300, Ccnd1, Cenpa, Crebbp, Ccnb2, Skp2, Birc5, Cdc25b, Aurkb, Ccna2, Chek2, Ccnb1, Nek2, Cdk2, Etv5"
"BIOCARTA_CARM1_PATHWAY",12,0.583333333333333,0.0833333333333333,"Down",0.001,0.015406976744186,"ENSMUSG00000055024, ENSMUSG00000037992, ENSMUSG00000025958, ENSMUSG00000032185, ENSMUSG00000022521, ENSMUSG00000032601","Ep300, Rara, Creb1, Carm1, Crebbp, Prkar2a"
"PID_HEDGEHOG_2PATHWAY",21,0.571428571428571,0.0476190476190476,"Down",0.001,0.015406976744186,"ENSMUSG00000028718, ENSMUSG00000027665, ENSMUSG00000037375, ENSMUSG00000022687, ENSMUSG00000048776, ENSMUSG00000028681, ENSMUSG00000006538, ENSMUSG00000039239, ENSMUSG00000002633, ENSMUSG00000001761, ENSMUSG00000027070","Stil, Pik3ca, Hhat, Boc, Pthlh, Ptch2, Ihh, Tgfb2, Shh, Smo, Lrp2"
"REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION",23,0.565217391304348,0.0869565217391304,"Down",0.001,0.015406976744186,"ENSMUSG00000059401, ENSMUSG00000022521, ENSMUSG00000055024, ENSMUSG00000047888, ENSMUSG00000002227, ENSMUSG00000061143, ENSMUSG00000025571, ENSMUSG00000070348, ENSMUSG00000059552, ENSMUSG00000031925","Mamld1, Crebbp, Ep300, Tnrc6b, Mov10, Maml3, Tnrc6c, Ccnd1, Trp53, Maml2"
"REACTOME_GLUCONEOGENESIS",29,0.103448275862069,0.551724137931034,"Up",0.001,0.015406976744186,"ENSMUSG00000030695, ENSMUSG00000011752, ENSMUSG00000020475, ENSMUSG00000062070, ENSMUSG00000005469, ENSMUSG00000003528, ENSMUSG00000027010","Aldoa, Pgam1, Pgam2, Pgk1, Prkaca, Slc25a1, Slc25a12"
"BIOCARTA_RB_PATHWAY",13,0.538461538461538,0,"Down",0.001,0.015406976744186,"ENSMUSG00000032113, ENSMUSG00000025358, ENSMUSG00000031016, ENSMUSG00000059552, ENSMUSG00000019942, ENSMUSG00000027330, ENSMUSG00000044201","Chek1, Cdk2, Wee1, Trp53, Cdk1, Cdc25b, Cdc25c"
"REACTOME_RNA_POL_I_PROMOTER_OPENING",20,0,0.5,"Up",0.001,0.015406976744186,"ENSMUSG00000081058, ENSMUSG00000063065, ENSMUSG00000018102, ENSMUSG00000060639","Hist2h3c2, Mapk3, Hist1h2bc, Hist1h4i"
"BIOCARTA_PML_PATHWAY",16,0.5,0.0625,"Down",0.001,0.015406976744186,"ENSMUSG00000004872, ENSMUSG00000032739, ENSMUSG00000037992, ENSMUSG00000059552, ENSMUSG00000030341, ENSMUSG00000022521, ENSMUSG00000020063","Pax3, Pram1, Rara, Trp53, Tnfrsf1a, Crebbp, Sirt1"
"REACTOME_GLUTATHIONE_CONJUGATION",17,0,0.470588235294118,"Up",0.001,0.015406976744186,"ENSMUSG00000025069, ENSMUSG00000032350, ENSMUSG00000028124, ENSMUSG00000027610, ENSMUSG00000027890, ENSMUSG00000060803, ENSMUSG00000002797","Gsto2, Gclc, Gclm, Gss, Gstm4, Gstp1, Ggct"
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT",47,0.0212765957446809,0.468085106382979,"Up",0.001,0.015406976744186,"ENSMUSG00000095464, ENSMUSG00000062580, ENSMUSG00000027679, ENSMUSG00000026926, ENSMUSG00000020219, ENSMUSG00000039016, ENSMUSG00000040888, ENSMUSG00000029319, ENSMUSG00000078713, ENSMUSG00000064068, ENSMUSG00000022477, ENSMUSG00000014301, ENSMUSG00000006057, ENSMUSG00000022427, ENSMUSG00000027010","Gm21987, Timm17a, Dnajc19, Pmpca, Timm13, Timm8b, Gfer, Coq2, Tomm5, Mtx1, Aco2, Pam16, Atp5g1, Tomm22, Slc25a12"
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",15,0.0666666666666667,0.466666666666667,"Up",0.001,0.015406976744186,"ENSMUSG00000035637, ENSMUSG00000043445, ENSMUSG00000022477","Grhpr, Pgp, Aco2"
"KEGG_PYRUVATE_METABOLISM",36,0.111111111111111,0.444444444444444,"Up",0.001,0.015406976744186,"ENSMUSG00000027605, ENSMUSG00000035637, ENSMUSG00000021748, ENSMUSG00000024158, ENSMUSG00000023832, ENSMUSG00000061046, ENSMUSG00000032418, ENSMUSG00000008822, ENSMUSG00000010025, ENSMUSG00000024026, ENSMUSG00000020532","Acss2, Grhpr, Pdhb, Hagh, Acat2, Haghl, Me1, Acyp1, Aldh3a2, Glo1, Acaca"
"KEGG_REGULATION_OF_AUTOPHAGY",19,0.105263157894737,0.421052631578947,"Up",0.001,0.015406976744186,"ENSMUSG00000031950, ENSMUSG00000033628, ENSMUSG00000030314, ENSMUSG00000028550, ENSMUSG00000022663","Gabarapl2, Pik3c3, Atg7, Atg4c, Atg3"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",29,0.172413793103448,0.413793103448276,"Up",0.001,0.015406976744186,"ENSMUSG00000060803, ENSMUSG00000021033, ENSMUSG00000028138, ENSMUSG00000027890, ENSMUSG00000004032, ENSMUSG00000004035, ENSMUSG00000024885, ENSMUSG00000075296, ENSMUSG00000025069","Gstp1, Gstz1, Adh5, Gstm4, Gstm5, Gstm7, Aldh3b1, Aldh3b2, Gsto2"
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",49,0.408163265306122,0.0204081632653061,"Down",0.001,0.015406976744186,"ENSMUSG00000028156, ENSMUSG00000038759, ENSMUSG00000030091, ENSMUSG00000040667, ENSMUSG00000038446, ENSMUSG00000034826, ENSMUSG00000041781, ENSMUSG00000003226, ENSMUSG00000034120, ENSMUSG00000024097, ENSMUSG00000006005, ENSMUSG00000004642, ENSMUSG00000055436, ENSMUSG00000022142, ENSMUSG00000021374","Eif4e, Nup205, Nup210, Nup88, Cdc40, Nup54, Cpsf2, Ranbp2, Srsf2, Srsf7, Tpr, Slbp, Srsf11, Nup155, Nup153"
"REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS",25,0.4,0,"Down",0.001,0.015406976744186,"ENSMUSG00000038759, ENSMUSG00000030091, ENSMUSG00000022905, ENSMUSG00000040667, ENSMUSG00000034826, ENSMUSG00000003226, ENSMUSG00000006005, ENSMUSG00000022142, ENSMUSG00000021374","Nup205, Nup210, Kpna1, Nup88, Nup54, Ranbp2, Tpr, Nup155, Nup153"
"REACTOME_ANDROGEN_BIOSYNTHESIS",5,0,0.4,"Up",0.001,0.015406976744186,"ENSMUSG00000021594, ENSMUSG00000029233","Srd5a1, Srd5a3"
"PID_HES_HEY_PATHWAY",43,0.395348837209302,0.0465116279069767,"Down",0.001,0.015406976744186,"ENSMUSG00000019982, ENSMUSG00000041238, ENSMUSG00000019789, ENSMUSG00000015522, ENSMUSG00000020647, ENSMUSG00000040761, ENSMUSG00000022521, ENSMUSG00000026923, ENSMUSG00000055024, ENSMUSG00000031925, ENSMUSG00000074489, ENSMUSG00000021109, ENSMUSG00000036940, ENSMUSG00000022528","Myb, Rbbp8, Hey2, Arnt, Ncoa1, Spen, Crebbp, Notch1, Ep300, Maml2, Bglap3, Hif1a, Kdm1a, Hes1"
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS",18,0.388888888888889,0.0555555555555556,"Down",0.001,0.015406976744186,"ENSMUSG00000032911, ENSMUSG00000032640, ENSMUSG00000034612, ENSMUSG00000030930, ENSMUSG00000038181, ENSMUSG00000037347","Cspg4, Chsy1, Chst11, Chst15, Chpf2, Chst7"
"KEGG_GLUTATHIONE_METABOLISM",42,0.0714285714285714,0.380952380952381,"Up",0.001,0.015406976744186,"ENSMUSG00000060803, ENSMUSG00000021033, ENSMUSG00000039682, ENSMUSG00000027890, ENSMUSG00000002797, ENSMUSG00000004032, ENSMUSG00000004035, ENSMUSG00000027610, ENSMUSG00000032350, ENSMUSG00000075706, ENSMUSG00000028124, ENSMUSG00000025069, ENSMUSG00000031400","Gstp1, Gstz1, Lap3, Gstm4, Ggct, Gstm5, Gstm7, Gss, Gclc, Gpx4, Gclm, Gsto2, G6pdx"
"BIOCARTA_CALCINEURIN_PATHWAY",16,0.375,0.0625,"Down",0.001,0.015406976744186,"ENSMUSG00000001280, ENSMUSG00000016933, ENSMUSG00000027109, ENSMUSG00000033016","Sp1, Plcg1, Sp3, Nfatc1"
"BIOCARTA_KREB_PATHWAY",8,0,0.375,"Up",0.001,0.015406976744186,"ENSMUSG00000020456, ENSMUSG00000022477","Ogdh, Aco2"
"BIOCARTA_PPARA_PATHWAY",51,0.372549019607843,0.176470588235294,"Down",0.001,0.015406976744186,"ENSMUSG00000029167, ENSMUSG00000022521, ENSMUSG00000032487, ENSMUSG00000039910, ENSMUSG00000078937, ENSMUSG00000004043, ENSMUSG00000015568, ENSMUSG00000055024, ENSMUSG00000048490, ENSMUSG00000020647, ENSMUSG00000001280, ENSMUSG00000018160, ENSMUSG00000027665, ENSMUSG00000032601","Ppargc1a, Crebbp, Ptgs2, Cited2, Cpt1b, Stat5a, Lpl, Ep300, Nrip1, Ncoa1, Sp1, Med1, Pik3ca, Prkar2a"
"REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT",30,0.366666666666667,0.0333333333333333,"Down",0.001,0.015406976744186,"ENSMUSG00000028156, ENSMUSG00000038759, ENSMUSG00000030091, ENSMUSG00000040667, ENSMUSG00000034826, ENSMUSG00000041781, ENSMUSG00000003226, ENSMUSG00000006005, ENSMUSG00000022142, ENSMUSG00000021374","Eif4e, Nup205, Nup210, Nup88, Nup54, Cpsf2, Ranbp2, Tpr, Nup155, Nup153"
"PID_ATF2_PATHWAY",55,0.363636363636364,0.0727272727272727,"Down",0.001,0.015406976744186,"ENSMUSG00000015937, ENSMUSG00000057329, ENSMUSG00000055024, ENSMUSG00000039239, ENSMUSG00000023328, ENSMUSG00000070348, ENSMUSG00000027715, ENSMUSG00000034765, ENSMUSG00000025958, ENSMUSG00000022528, ENSMUSG00000026565, ENSMUSG00000029167","H2afy, Bcl2, Ep300, Tgfb2, Ache, Ccnd1, Ccna2, Dusp5, Creb1, Hes1, Pou2f1, Ppargc1a"
"REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN",25,0.36,0,"Down",0.001,0.015406976744186,"ENSMUSG00000038759, ENSMUSG00000030091, ENSMUSG00000040667, ENSMUSG00000034826, ENSMUSG00000003226, ENSMUSG00000006005, ENSMUSG00000022142, ENSMUSG00000021374","Nup205, Nup210, Nup88, Nup54, Ranbp2, Tpr, Nup155, Nup153"
"REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY",25,0.36,0,"Down",0.001,0.015406976744186,"ENSMUSG00000038759, ENSMUSG00000030091, ENSMUSG00000040667, ENSMUSG00000034826, ENSMUSG00000003226, ENSMUSG00000006005, ENSMUSG00000022142, ENSMUSG00000021374","Nup205, Nup210, Nup88, Nup54, Ranbp2, Tpr, Nup155, Nup153"
"PID_RXR_VDR_PATHWAY",26,0.346153846153846,0.0769230769230769,"Down",0.001,0.015406976744186,"ENSMUSG00000023034, ENSMUSG00000020647, ENSMUSG00000037992, ENSMUSG00000001288, ENSMUSG00000057329, ENSMUSG00000015243, ENSMUSG00000018160","Nr4a1, Ncoa1, Rara, Rarg, Bcl2, Abca1, Med1"
"REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS",29,0.344827586206897,0.0344827586206897,"Down",0.001,0.015406976744186,"ENSMUSG00000038759, ENSMUSG00000030091, ENSMUSG00000022905, ENSMUSG00000040667, ENSMUSG00000034826, ENSMUSG00000003226, ENSMUSG00000006005, ENSMUSG00000022142, ENSMUSG00000021374","Nup205, Nup210, Kpna1, Nup88, Nup54, Ranbp2, Tpr, Nup155, Nup153"
"REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES",6,0,0.333333333333333,"Up",0.001,0.015406976744186,"ENSMUSG00000026617, ENSMUSG00000028032","Bpnt1, Papss1"
